Fecha;Hora;name;stationId;Lluvia;Humedad;Presion Baro;Dir Viento;Vel Viento;Temperatura 8M;Rad Solar;Temperatura
2025-12-19;00:27;Usaquen;1;0.0;;;146.0;0.3;;;11.1
2025-12-19;00:27;Carvajal - Sevillana;3;0.0;;;42.0;1.3;;;13.9
2025-12-19;00:27;Tunal;4;0.0;83.0;563.0;283.0;0.5;;0.0;
2025-12-19;00:27;Centro de Alto Rendimiento;5;0.1;90.0;565.0;323.0;0.1;;0.0;12.4
2025-12-19;00:27;Las Ferias;6;0.0;82.0;564.0;289.0;0.5;;;13.0
2025-12-19;00:27;Guaymaral;8;0.0;81.0;564.0;350.0;0.6;10.6;0.0;10.4
2025-12-19;00:27;Kennedy;9;0.0;87.0;;274.0;0.8;;0.0;
2025-12-19;00:27;Suba;11;0.0;;;27.0;0.9;;;11.2
2025-12-19;00:27;Puente Aranda;13;0.0;98.0;563.0;249.0;1.0;;0.0;14.1
2025-12-19;00:27;MinAmbiente;17;0.0;;;-9999.0;-9999.0;;;
2025-12-19;00:27;San Cristobal;24;0.0;82.0;;107.0;1.1;;0.0;11.3
2025-12-19;00:27;Movil 7ma;26;0.0;69.0;562.0;179.0;0.5;;0.0;13.5
2025-12-19;00:27;Bolivia;27;0.0;88.0;565.0;29.0;1.0;;0.0;12.7
2025-12-19;00:27;Fontibon;30;0.0;92.0;564.0;311.0;0.4;;;13.3
2025-12-19;00:27;Usme;32;0.0;;562.0;;;;0.0;13.1
2025-12-19;00:27;Jazmin;34;0.0;97.0;564.0;277.0;0.7;;0.0;13.9
2025-12-19;00:27;Ciudad Bolivar;37;0.1;;557.0;;;;0.0;13.0
2025-12-19;00:27;Colina;38;0.3;;562.0;271.0;0.9;;53.0;14.8
2025-12-19;00:27;Movil Fontibon;39;;;565.0;;;;0.0;13.9
2025-12-19;01:38;Usaquen;1;0;;;30;0.3;;;10.8
2025-12-19;01:38;Carvajal - Sevillana;3;0;;;73;1.1;;;13.5
2025-12-19;01:38;Tunal;4;0;84;563;93;0.8;;0;
2025-12-19;01:38;Centro de Alto Rendimiento;5;0;90;564;32;1.3;;0;11.9
2025-12-19;01:38;Las Ferias;6;0;80;564;2;1.3;;;12.5
2025-12-19;01:38;Guaymaral;8;0;84;563;315;0.7;10.1;0;10.1
2025-12-19;01:38;Kennedy;9;0;88;;352;0.9;;0;
2025-12-19;01:38;Suba;11;0;;;55;0.8;;;10.4
2025-12-19;01:38;Puente Aranda;13;0.1;97;563;279;0.9;;0;14.1
2025-12-19;01:38;MinAmbiente;17;0;;;-9999;-9999;;;
2025-12-19;01:38;San Cristobal;24;0;80;;103;1.5;;0;10.5
2025-12-19;01:38;Movil 7ma;26;0;69.5;562;165;0.6;;0;13.2
2025-12-19;01:38;Bolivia;27;0.1;90;564;10;1.2;;0;11.9
2025-12-19;01:38;Fontibon;30;0;91;564;17;1.3;;;12.4
2025-12-19;01:38;Usme;32;0;;562;;;;0;11.7
2025-12-19;01:38;Jazmin;34;0;98;564;309;0.7;;0;13.6
2025-12-19;01:38;Ciudad Bolivar;37;0;;557;;;;0;12.6
2025-12-19;01:38;Colina;38;0.3;;562;271;0.9;;53;14.8
2025-12-19;01:38;Movil Fontibon;39;;;564;;;;0;13.3
