Fecha;Hora;name;stationId;Presion Baro;Rad Solar;Lluvia;Humedad;Vel Viento;Temperatura 8M;Temperatura;Dir Viento
2026-01-06;00:30;Usaquen;1;;;0;;0.7;;12.6;42
2026-01-06;00:30;Carvajal - Sevillana;3;;;0;;1.6;;11.9;243
2026-01-06;00:30;Tunal;4;564;0;0;86;0.4;;;214
2026-01-06;00:30;Centro de Alto Rendimiento;5;566;0;0.1;90;1.4;;12.6;299
2026-01-06;00:30;Las Ferias;6;565;;0.1;83;0.7;;13.1;352
2026-01-06;00:30;Guaymaral;8;564;0;0.2;86;0.4;11.7;12.1;337
2026-01-06;00:30;Kennedy;9;;0;0;87.6;0.7;;;286
2026-01-06;00:30;Suba;11;;;0;;0.5;;12.1;0
2026-01-06;00:30;Puente Aranda;13;564;0;0.1;94;0.6;;14.3;213
2026-01-06;00:30;MinAmbiente;17;;;0;;-9999;;;-9999
2026-01-06;00:30;San Cristobal;24;;0;0;90;1.1;;11.4;107
2026-01-06;00:30;Movil 7ma;26;563;0;0;75.8;0.2;;13.6;225
2026-01-06;00:30;Bolivia;27;566;0;0;93;0.7;;12.8;336
2026-01-06;00:30;Fontibon;30;565;;0;88;0.6;;13.2;349
2026-01-06;00:30;Usme;32;563;0;0;;;;12.7;
2026-01-06;00:30;Jazmin;34;565;0;0;93;0.5;;14;243
2026-01-06;00:30;Ciudad Bolivar;37;558;0;0;;;;12.8;
2026-01-06;00:30;Colina;38;563;93;0;;1.8;;16.5;169
2026-01-06;00:30;Movil Fontibon;39;565;0;;;;;14.1;
