Fecha;Hora;name;stationId;Presion Baro;Rad Solar;Lluvia;Humedad;Vel Viento;Temperatura 8M;Temperatura;Dir Viento
2026-01-06;00:30;Usaquen;1;;;0.0;;0.7;;12.6;42.0
2026-01-06;00:30;Carvajal - Sevillana;3;;;0.0;;1.6;;11.9;243.0
2026-01-06;00:30;Tunal;4;564.0;0.0;0.0;86.0;0.4;;;214.0
2026-01-06;00:30;Centro de Alto Rendimiento;5;566.0;0.0;0.1;90.0;1.4;;12.6;299.0
2026-01-06;00:30;Las Ferias;6;565.0;;0.1;83.0;0.7;;13.1;352.0
2026-01-06;00:30;Guaymaral;8;564.0;0.0;0.2;86.0;0.4;11.7;12.1;337.0
2026-01-06;00:30;Kennedy;9;;0.0;0.0;87.6;0.7;;;286.0
2026-01-06;00:30;Suba;11;;;0.0;;0.5;;12.1;0.0
2026-01-06;00:30;Puente Aranda;13;564.0;0.0;0.1;94.0;0.6;;14.3;213.0
2026-01-06;00:30;MinAmbiente;17;;;0.0;;-9999.0;;;-9999.0
2026-01-06;00:30;San Cristobal;24;;0.0;0.0;90.0;1.1;;11.4;107.0
2026-01-06;00:30;Movil 7ma;26;563.0;0.0;0.0;75.8;0.2;;13.6;225.0
2026-01-06;00:30;Bolivia;27;566.0;0.0;0.0;93.0;0.7;;12.8;336.0
2026-01-06;00:30;Fontibon;30;565.0;;0.0;88.0;0.6;;13.2;349.0
2026-01-06;00:30;Usme;32;563.0;0.0;0.0;;;;12.7;
2026-01-06;00:30;Jazmin;34;565.0;0.0;0.0;93.0;0.5;;14.0;243.0
2026-01-06;00:30;Ciudad Bolivar;37;558.0;0.0;0.0;;;;12.8;
2026-01-06;00:30;Colina;38;563.0;93.0;0.0;;1.8;;16.5;169.0
2026-01-06;00:30;Movil Fontibon;39;565.0;0.0;;;;;14.1;
2026-01-06;01:41;Usaquen;1;;;0.0;;0.6;;12.3;22.0
2026-01-06;01:41;Carvajal - Sevillana;3;;;0.0;;1.6;;11.9;243.0
2026-01-06;01:41;Tunal;4;563.0;0.0;0.0;86.0;0.3;;;203.0
2026-01-06;01:41;Centro de Alto Rendimiento;5;565.0;0.0;0.0;90.0;0.4;;12.6;153.0
2026-01-06;01:41;Las Ferias;6;564.0;;0.0;83.0;0.4;;13.0;359.0
2026-01-06;01:41;Guaymaral;8;564.0;0.0;0.0;86.0;0.4;11.6;12.0;283.0
2026-01-06;01:41;Kennedy;9;;0.0;0.0;88.7;0.6;;;310.0
2026-01-06;01:41;Suba;11;;;0.0;;0.5;;12.0;53.0
2026-01-06;01:41;Puente Aranda;13;564.0;0.0;0.0;93.0;0.8;;14.1;213.0
2026-01-06;01:41;MinAmbiente;17;;;0.0;;-9999.0;;;-9999.0
2026-01-06;01:41;San Cristobal;24;;0.0;0.0;89.0;1.3;;11.3;107.0
2026-01-06;01:41;Movil 7ma;26;562.0;0.0;0.0;75.6;0.2;;13.6;240.0
2026-01-06;01:41;Bolivia;27;565.0;0.0;0.0;95.0;0.4;;12.8;158.0
2026-01-06;01:41;Fontibon;30;565.0;;0.0;89.0;0.2;;12.8;351.0
2026-01-06;01:41;Usme;32;562.0;0.0;0.1;;;;12.5;
2026-01-06;01:41;Jazmin;34;564.0;0.0;0.0;91.0;0.4;;14.0;233.0
2026-01-06;01:41;Ciudad Bolivar;37;558.0;0.0;0.0;;;;12.9;
2026-01-06;01:41;Colina;38;563.0;93.0;0.0;;1.8;;16.5;169.0
2026-01-06;01:41;Movil Fontibon;39;565.0;0.0;;;;;13.5;
2026-01-06;02:30;Usaquen;1;;;0;;0.8;;11.7;95
2026-01-06;02:30;Carvajal - Sevillana;3;;;0;;1.6;;11.9;243
2026-01-06;02:30;Tunal;4;563;0;0;86;0.3;;;201
2026-01-06;02:30;Centro de Alto Rendimiento;5;564;0;0;90;0.2;;12;321
2026-01-06;02:30;Las Ferias;6;563;;0;84;0.1;;12.5;250
2026-01-06;02:30;Guaymaral;8;563;0;0;86;0.5;11.3;11.6;321
2026-01-06;02:30;Kennedy;9;;0;0;87.5;0.3;;;294
2026-01-06;02:30;Suba;11;;;0;;0.3;;11.4;11
2026-01-06;02:30;Puente Aranda;13;563;0;0;92;1.1;;13.9;206
2026-01-06;02:30;MinAmbiente;17;;;0;;-9999;;;-9999
2026-01-06;02:30;San Cristobal;24;;0;0;89;0.9;;11.2;109
2026-01-06;02:30;Movil 7ma;26;562;0;0;75.5;0.3;;13.2;201
2026-01-06;02:30;Bolivia;27;564;0;0;95;0.5;;12.5;320
2026-01-06;02:30;Fontibon;30;564;;0;90;0;;12.5;339
2026-01-06;02:30;Usme;32;562;0;0;;;;12.4;
2026-01-06;02:30;Jazmin;34;563;0;0;93;0.2;;13.7;218
2026-01-06;02:30;Ciudad Bolivar;37;557;0;0;;;;12.6;
2026-01-06;02:30;Colina;38;563;93;0;;1.8;;16.5;169
2026-01-06;02:30;Movil Fontibon;39;564;0;;;;;13;
