Fecha;Hora;name;stationId;eBC;BBP;NO;NOX;OZONO;SO2;NO2;CO;PM25;PM10
2026-01-10;00:26;Usaquen;1;;;-9999.0;-9999.0;-9999.0;-9999.0;-9999.0;-9999.0;4.0;5.3
2026-01-10;00:26;Carvajal - Sevillana;3;;;;;;1.5;;1.03;27.0;55.0
2026-01-10;00:26;Tunal;4;1.9;6.6;33.4;39.6;8.0;-0.1;6.2;-9999.0;15.0;39.0
2026-01-10;00:26;Centro de Alto Rendimiento;5;4.3;11.0;16.4;29.9;-9999.0;1.0;13.5;0.63;60.7;21.7
2026-01-10;00:26;Las Ferias;6;;;14.6;39.2;0.5;;24.6;0.55;16.0;19.4
2026-01-10;00:26;Guaymaral;8;;;13.2;31.5;2.4;1.1;18.3;0.51;13.0;56.0
2026-01-10;00:26;Kennedy;9;-9999.0;-9999.0;10.8;37.8;0.0;1.8;27.0;0.99;11.9;23.0
2026-01-10;00:26;Suba;11;;;1.5;19.5;2.0;0.9;18.0;0.37;17.0;32.4
2026-01-10;00:26;Puente Aranda;13;2.8;5.6;17.4;41.5;2.0;1.4;24.1;0.25;8.4;-9999.0
2026-01-10;00:26;MinAmbiente;17;;;6.9;16.6;8.4;0.9;9.7;0.52;10.0;21.0
2026-01-10;00:26;San Cristobal;24;0.7;9.7;1.5;1.6;11.5;1.3;0.1;0.25;8.0;15.0
2026-01-10;00:26;Movil 7ma;26;;;;;;;;-9999.0;19.3;43.6
2026-01-10;00:26;Bolivia;27;;;-9999.0;-9999.0;-9999.0;;-9999.0;-9999.0;14.0;46.2
2026-01-10;00:26;Fontibon;30;3.7;9.9;23.3;48.2;2.2;1.4;24.9;0.79;14.0;33.0
2026-01-10;00:26;Usme;32;;;2.7;15.1;11.0;2.8;12.4;0.26;7.5;17.5
2026-01-10;00:26;Jazmin;34;;;8.4;35.6;2.0;1.1;27.2;0.41;14.1;26.0
2026-01-10;00:26;Ciudad Bolivar;37;-9999.0;-9999.0;16.9;51.0;2.6;3.1;34.1;0.52;18.2;70.0
2026-01-10;00:26;Colina;38;;;1.8;7.5;14.8;0.8;5.8;0.35;0.0;0.0
2026-01-10;00:26;Movil Fontibon;39;;;-9999.0;-9999.0;;;-9999.0;-9999.0;11.7;35.1
