Fecha;Hora;name;stationId;Presion Baro;Rad Solar;Temperatura;Vel Viento;Temperatura 8M;Dir Viento;Humedad;Lluvia
2025-11-23;00:23;Usaquen;1;;;13.8;0.6;;76.0;;0.0
2025-11-23;00:23;Carvajal - Sevillana;3;;;15.4;1.5;;41.0;;0.0
2025-11-23;00:23;Tunal;4;563.0;1.0;;1.4;;299.0;76.0;0.0
2025-11-23;00:23;Centro de Alto Rendimiento;5;565.0;0.0;12.8;0.7;;339.0;78.0;0.0
2025-11-23;00:23;Las Ferias;6;564.0;;14.9;0.8;;305.0;74.0;0.1
2025-11-23;00:23;Guaymaral;8;564.0;0.0;13.3;0.4;13.2;272.0;82.0;0.0
2025-11-23;00:23;Kennedy;9;;0.0;;1.4;;302.0;80.4;0.0
2025-11-23;00:23;Suba;11;;;13.2;0.7;;17.0;;0.0
2025-11-23;00:23;Puente Aranda;13;564.0;0.0;15.5;1.5;;265.0;89.0;0.0
2025-11-23;00:23;MinAmbiente;17;;;;-9999.0;;-9999.0;;0.0
2025-11-23;00:23;San Cristobal;24;;0.0;13.0;1.5;;108.0;77.0;0.0
2025-11-23;00:23;Movil 7ma;26;562.0;0.0;15.9;0.5;;189.0;63.1;0.0
2025-11-23;00:23;Bolivia;27;565.0;0.0;14.1;0.7;;301.0;91.0;0.0
2025-11-23;00:23;Fontibon;30;564.0;;14.4;1.9;;295.0;84.0;0.0
2025-11-23;00:23;Usme;32;562.0;0.0;15.1;;;;;0.0
2025-11-23;00:23;Jazmin;34;564.0;0.0;15.5;1.2;;296.0;86.0;0.0
2025-11-23;00:23;Ciudad Bolivar;37;557.0;0.0;14.3;;;;;0.0
2025-11-23;00:23;Colina;38;562.0;53.0;14.8;0.9;;271.0;;0.3
2025-11-23;00:23;Movil Fontibon;39;565.0;1.0;14.7;;;;;
2025-11-23;01:34;Usaquen;1;;;14;0.9;;134;;0
2025-11-23;01:34;Carvajal - Sevillana;3;;;15;0.8;;306;;0.7
2025-11-23;01:34;Tunal;4;563;1;;1;;245;77;8.6
2025-11-23;01:34;Centro de Alto Rendimiento;5;565;0;12.5;0.6;;308;81;0
2025-11-23;01:34;Las Ferias;6;564;;14.4;0.6;;231;78;0
2025-11-23;01:34;Guaymaral;8;563;0;13.3;0.5;13.2;312;83;0
2025-11-23;01:34;Kennedy;9;;0;;0.9;;283;81.6;0
2025-11-23;01:34;Suba;11;;;13.2;0.9;;0;;0
2025-11-23;01:34;Puente Aranda;13;563;0;15.3;1.2;;244;91;0
2025-11-23;01:34;MinAmbiente;17;;;;-9999;;-9999;;0
2025-11-23;01:34;San Cristobal;24;;0;13;0.7;;143;79;0.2
2025-11-23;01:34;Movil 7ma;26;562;0;15.5;0.1;;246;65.7;0
2025-11-23;01:34;Bolivia;27;565;0;14;0.7;;314;91;0
2025-11-23;01:34;Fontibon;30;564;;14.2;0.6;;293;87;0
2025-11-23;01:34;Usme;32;562;0;13.8;;;;;1.2
2025-11-23;01:34;Jazmin;34;564;0;15.1;1.1;;307;87;0
2025-11-23;01:34;Ciudad Bolivar;37;557;0;13.6;;;;;2.6
2025-11-23;01:34;Colina;38;562;53;14.8;0.9;;271;;0.3
2025-11-23;01:34;Movil Fontibon;39;564;0;14.7;;;;;
