Fecha;Hora;name;stationId;Lluvia;Rad Solar;Vel Viento;Presion Baro;Dir Viento;Temperatura;Humedad;Temperatura 8M
2026-01-12;00:33;Usaquen;1;0.0;;1.8;;150.0;13.2;;
2026-01-12;00:33;Carvajal - Sevillana;3;0.0;;1.6;;243.0;11.9;;
2026-01-12;00:33;Tunal;4;0.0;0.0;0.7;563.0;209.0;;72.0;
2026-01-12;00:33;Centro de Alto Rendimiento;5;0.0;0.0;2.0;565.0;354.0;13.7;83.0;
2026-01-12;00:33;Las Ferias;6;0.0;;1.1;564.0;340.0;13.0;80.0;
2026-01-12;00:33;Guaymaral;8;0.2;0.0;0.6;564.0;274.0;12.5;83.0;12.2
2026-01-12;00:33;Kennedy;9;0.0;0.0;1.5;;286.0;;85.7;
2026-01-12;00:33;Suba;11;0.4;;1.2;;24.0;12.1;;
2026-01-12;00:33;Puente Aranda;13;0.0;1.0;1.2;564.0;279.0;14.2;95.0;
2026-01-12;00:33;MinAmbiente;17;0.4;;-9999.0;;-9999.0;;;
2026-01-12;00:33;San Cristobal;24;0.0;0.0;1.0;;77.0;12.7;79.0;
2026-01-12;00:33;Movil 7ma;26;0.0;0.0;0.8;562.0;93.0;14.5;70.8;
2026-01-12;00:33;Bolivia;27;0.0;0.0;1.3;565.0;5.0;12.9;93.0;
2026-01-12;00:33;Fontibon;30;0.0;;1.6;564.0;15.0;13.0;90.0;
2026-01-12;00:33;Usme;32;0.0;0.0;;562.0;;13.5;;
2026-01-12;00:33;Jazmin;34;0.0;0.0;1.4;564.0;266.0;14.4;90.0;
2026-01-12;00:33;Ciudad Bolivar;37;0.0;0.0;;557.0;;13.0;;
2026-01-12;00:33;Colina;38;0.0;93.0;1.8;563.0;169.0;16.5;;
2026-01-12;00:33;Movil Fontibon;39;;1.0;;565.0;;13.9;;
2026-01-12;01:44;Usaquen;1;0.0;;2.3;;152.0;13.1;;
2026-01-12;01:44;Carvajal - Sevillana;3;0.0;;1.6;;243.0;11.9;;
2026-01-12;01:44;Tunal;4;0.0;0.0;0.7;563.0;188.0;;73.0;
2026-01-12;01:44;Centro de Alto Rendimiento;5;2.3;0.0;1.4;564.0;320.0;13.2;85.0;
2026-01-12;01:44;Las Ferias;6;1.2;;1.1;563.0;234.0;12.8;80.0;
2026-01-12;01:44;Guaymaral;8;0.0;0.0;1.0;563.0;275.0;12.3;81.0;12.3
2026-01-12;01:44;Kennedy;9;0.0;0.0;1.3;;297.0;;85.2;
2026-01-12;01:44;Suba;11;0.0;;1.3;;17.0;12.1;;
2026-01-12;01:44;Puente Aranda;13;0.0;0.0;1.0;563.0;327.0;14.1;92.0;
2026-01-12;01:44;MinAmbiente;17;2.0;;-9999.0;;-9999.0;;;
2026-01-12;01:44;San Cristobal;24;0.0;0.0;1.4;;108.0;12.6;73.0;
2026-01-12;01:44;Movil 7ma;26;0.1;0.0;0.4;562.0;334.0;14.0;72.3;
2026-01-12;01:44;Bolivia;27;0.2;0.0;1.1;564.0;53.0;12.9;91.0;
2026-01-12;01:44;Fontibon;30;0.3;;1.0;564.0;55.0;12.8;88.0;
2026-01-12;01:44;Usme;32;0.0;0.0;;562.0;;13.2;;
2026-01-12;01:44;Jazmin;34;0.0;0.0;1.0;564.0;227.0;14.5;80.0;
2026-01-12;01:44;Ciudad Bolivar;37;0.0;0.0;;557.0;;13.0;;
2026-01-12;01:44;Colina;38;0.0;93.0;1.8;563.0;169.0;16.5;;
2026-01-12;01:44;Movil Fontibon;39;;0.0;;564.0;;13.6;;
2026-01-12;02:32;Usaquen;1;0.0;;0.5;;180.0;12.9;;
2026-01-12;02:32;Carvajal - Sevillana;3;0.0;;1.6;;243.0;11.9;;
2026-01-12;02:32;Tunal;4;0.0;0.0;0.6;562.0;191.0;;73.0;
2026-01-12;02:32;Centro de Alto Rendimiento;5;0.1;0.0;1.8;564.0;22.0;12.6;88.0;
2026-01-12;02:32;Las Ferias;6;0.7;;0.5;563.0;260.0;12.0;82.0;
2026-01-12;02:32;Guaymaral;8;0.0;0.0;1.1;563.0;129.0;12.4;78.0;12.4
2026-01-12;02:32;Kennedy;9;0.0;0.0;0.8;;308.0;;83.6;
2026-01-12;02:32;Suba;11;0.0;;0.6;;32.0;12.0;;
2026-01-12;02:32;Puente Aranda;13;0.0;0.0;1.0;563.0;11.0;13.7;96.0;
2026-01-12;02:32;MinAmbiente;17;0.0;;-9999.0;;-9999.0;;;
2026-01-12;02:32;San Cristobal;24;0.0;0.0;0.8;;134.0;12.4;72.0;
2026-01-12;02:32;Movil 7ma;26;0.1;0.0;0.3;562.0;88.0;13.5;74.4;
2026-01-12;02:32;Bolivia;27;3.1;0.0;0.8;564.0;103.0;12.4;92.0;
2026-01-12;02:32;Fontibon;30;0.0;;1.9;564.0;51.0;12.5;90.0;
2026-01-12;02:32;Usme;32;0.0;0.0;;561.0;;13.3;;
2026-01-12;02:32;Jazmin;34;0.0;0.0;1.2;563.0;337.0;13.9;91.0;
2026-01-12;02:32;Ciudad Bolivar;37;0.0;0.0;;557.0;;13.1;;
2026-01-12;02:32;Colina;38;0.0;93.0;1.8;563.0;169.0;16.5;;
2026-01-12;02:32;Movil Fontibon;39;;0.0;;564.0;;13.1;;
2026-01-12;03:38;Usaquen;1;0;;0.6;;317;12.9;;
2026-01-12;03:38;Carvajal - Sevillana;3;0;;1.6;;243;11.9;;
2026-01-12;03:38;Tunal;4;0;0;0.6;562;181;;72;
2026-01-12;03:38;Centro de Alto Rendimiento;5;0.1;0;1.4;564;8;12.3;88;
