Fecha;Hora;name;stationId;CO;OZONO;PM25;PM10;eBC;NOX;BBP;NO2;SO2;NO
2025-12-31;00:29;Usaquen;1;-9999.0;-9999.0;1.3;0.0;;-9999.0;;-9999.0;-9999.0;-9999.0
2025-12-31;00:29;Carvajal - Sevillana;3;1.03;;27.0;55.0;;;;;1.5;
2025-12-31;00:29;Tunal;4;-9999.0;11.2;3.0;12.0;0.9;40.1;6.0;6.3;1.0;33.9
2025-12-31;00:29;Centro de Alto Rendimiento;5;0.21;-9999.0;3.6;4.2;1.0;12.8;12.1;10.7;1.2;2.1
2025-12-31;00:29;Las Ferias;6;0.27;15.9;5.0;4.2;;8.7;;5.9;;2.8
2025-12-31;00:29;Guaymaral;8;0.35;8.5;3.0;17.0;;19.3;;11.4;0.1;7.9
2025-12-31;00:29;Kennedy;9;1.1;2.2;3.1;16.1;3.5;54.0;11.8;25.1;0.7;28.9
2025-12-31;00:29;Suba;11;0.34;2.2;2.0;19.4;;27.1;;15.3;0.6;11.8
2025-12-31;00:29;Puente Aranda;13;0.24;4.5;3.4;2.3;1.3;24.2;3.4;17.5;1.4;6.7
2025-12-31;00:29;MinAmbiente;17;0.37;8.2;2.0;14.0;;14.0;;7.8;0.6;6.2
2025-12-31;00:29;San Cristobal;24;0.31;10.9;3.0;12.0;0.5;1.5;13.9;0.1;1.3;1.4
2025-12-31;00:29;Movil 7ma;26;-9999.0;;1.9;19.7;;;;;;
2025-12-31;00:29;Bolivia;27;0.44;2.1;4.3;9.1;;35.2;;20.8;;14.5
2025-12-31;00:29;Fontibon;30;0.64;2.1;7.0;13.0;2.0;29.2;6.6;20.5;-0.4;8.7
2025-12-31;00:29;Usme;32;0.31;14.3;1.5;11.0;;14.5;;9.8;1.0;4.7
2025-12-31;00:29;Jazmin;34;0.29;9.4;4.4;2.7;;17.3;;15.0;1.0;2.3
2025-12-31;00:29;Ciudad Bolivar;37;0.07;14.5;2.1;10.6;0.6;22.8;26.5;13.4;1.0;9.4
2025-12-31;00:29;Colina;38;0.35;14.8;0.0;0.0;;7.5;;5.8;0.8;1.8
2025-12-31;00:29;Movil Fontibon;39;-9999.0;;6.1;19.0;;-9999.0;;-9999.0;;-9999.0
2025-12-31;01:40;Usaquen;1;-9999.0;-9999.0;2.6;4.5;;-9999.0;;-9999.0;-9999.0;-9999.0
2025-12-31;01:40;Carvajal - Sevillana;3;1.03;;27.0;55.0;;;;;1.5;
2025-12-31;01:40;Tunal;4;-9999.0;14.1;7.0;8.0;0.7;34.5;3.9;3.7;1.1;30.9
2025-12-31;01:40;Centro de Alto Rendimiento;5;0.21;-9999.0;3.1;4.2;1.0;11.5;12.0;10.2;0.8;1.3
2025-12-31;01:40;Las Ferias;6;0.22;15.7;4.0;3.6;;7.0;;5.3;;1.8
2025-12-31;01:40;Guaymaral;8;0.33;7.3;4.0;18.0;;22.2;;10.4;0.1;11.8
2025-12-31;01:40;Kennedy;9;1.05;1.4;3.2;18.5;3.1;51.2;8.7;24.8;0.6;26.4
2025-12-31;01:40;Suba;11;0.28;2.3;13.0;14.5;;22.3;;15.0;0.7;7.3
2025-12-31;01:40;Puente Aranda;13;0.18;5.2;3.2;1.8;1.5;23.3;3.7;16.7;1.1;6.5
2025-12-31;01:40;MinAmbiente;17;0.31;8.9;3.0;8.0;;12.0;;8.5;0.6;3.5
2025-12-31;01:40;San Cristobal;24;0.14;15.9;3.0;8.0;0.4;1.5;11.3;0.1;1.2;1.4
2025-12-31;01:40;Movil 7ma;26;-9999.0;;2.0;15.9;;;;;;
2025-12-31;01:40;Bolivia;27;0.44;1.9;4.5;19.5;;39.6;;22.0;;17.6
2025-12-31;01:40;Fontibon;30;0.52;4.1;6.0;13.0;1.2;20.9;5522.5;17.4;0.9;3.5
2025-12-31;01:40;Usme;32;0.19;19.4;3.1;14.3;;6.0;;4.4;0.5;1.5
2025-12-31;01:40;Jazmin;34;0.21;12.8;4.0;5.0;;11.1;;10.1;1.0;1.0
2025-12-31;01:40;Ciudad Bolivar;37;-0.02;17.7;2.2;10.3;0.5;15.0;11.3;6.6;1.4;8.4
2025-12-31;01:40;Colina;38;0.35;14.8;0.0;0.0;;7.5;;5.8;0.8;1.8
2025-12-31;01:40;Movil Fontibon;39;-9999.0;;5.2;10.3;;-9999.0;;-9999.0;;-9999.0
2025-12-31;02:27;Usaquen;1;-9999.0;-9999.0;1.8;8.6;;-9999.0;;-9999.0;-9999.0;-9999.0
2025-12-31;02:27;Carvajal - Sevillana;3;1.03;;27.0;55.0;;;;;1.5;
