Fecha;Hora;name;stationId;OZONO;PM10;NOX;PM25;SO2;BBP;CO;eBC;NO2;NO
2026-01-15;00:30;Usaquen;1;-9999.0;0.0;-9999.0;0.0;-9999.0;;-9999.0;;-9999.0;-9999.0
2026-01-15;00:30;Carvajal - Sevillana;3;;55.0;;27.0;1.5;;1.03;;;
2026-01-15;00:30;Tunal;4;4.5;22.0;40.6;11.0;0.9;1.4;-9999.0;1.4;5.5;35.2
2026-01-15;00:30;Centro de Alto Rendimiento;5;-9999.0;3.4;6.0;2.4;1.0;5.6;0.11;0.5;5.1;0.8
2026-01-15;00:30;Las Ferias;6;12.5;6.1;5.0;4.0;;;0.29;;3.7;1.3
2026-01-15;00:30;Guaymaral;8;2.5;19.0;33.8;2.0;1.5;;0.31;;11.6;22.2
2026-01-15;00:30;Kennedy;9;0.0;23.9;30.8;8.2;1.8;-9999.0;0.79;-9999.0;16.3;14.5
2026-01-15;00:30;Suba;11;6.9;29.2;7.5;4.0;0.8;;0.26;;5.4;2.1
2026-01-15;00:30;Puente Aranda;13;2.3;-9999.0;27.1;4.3;1.1;5.1;0.11;1.8;17.0;10.1
2026-01-15;00:30;MinAmbiente;17;10.2;6.0;9.6;3.0;0.8;;0.32;;5.9;3.7
2026-01-15;00:30;San Cristobal;24;11.2;7.0;1.5;20.0;1.8;10.5;0.19;0.4;0.1;1.4
2026-01-15;00:30;Movil 7ma;26;;15.2;;4.6;;;-9999.0;;;
2026-01-15;00:30;Bolivia;27;-9999.0;13.8;-9999.0;4.3;;;-9999.0;;-9999.0;-9999.0
2026-01-15;00:30;Fontibon;30;2.3;16.0;29.3;7.0;0.9;7.6;0.64;2.1;17.7;11.6
2026-01-15;00:30;Usme;32;9.7;14.7;12.9;2.9;1.6;;0.27;;9.1;3.8
2026-01-15;00:30;Jazmin;34;0.7;8.7;35.5;4.5;0.8;;0.41;;21.4;14.2
2026-01-15;00:30;Ciudad Bolivar;37;14.6;9.8;14.8;3.9;1.0;-9999.0;-0.03;-9999.0;6.1;8.7
2026-01-15;00:30;Colina;38;14.8;0.0;7.5;0.0;0.8;;0.35;;5.8;1.8
2026-01-15;00:30;Movil Fontibon;39;;43.4;-9999.0;4.8;;;-9999.0;;-9999.0;-9999.0
2026-01-15;01:40;Usaquen;1;-9999.0;0.9;-9999.0;2.1;-9999.0;;-9999.0;;-9999.0;-9999.0
2026-01-15;01:40;Carvajal - Sevillana;3;;55.0;;27.0;1.5;;1.03;;;
2026-01-15;01:40;Tunal;4;6.3;13.0;37.4;7.0;1.4;0.0;-9999.0;1.9;5.1;32.4
2026-01-15;01:40;Centro de Alto Rendimiento;5;-9999.0;3.4;4.5;2.4;0.6;11.9;0.08;0.4;3.7;0.8
2026-01-15;01:40;Las Ferias;6;10.3;8.3;6.0;0.0;;;0.24;;5.1;0.9
2026-01-15;01:40;Guaymaral;8;1.6;20.0;41.7;4.0;1.8;;0.31;;12.2;29.5
2026-01-15;01:40;Kennedy;9;0.0;19.5;28.6;6.9;1.6;-9999.0;0.7;-9999.0;16.7;11.9
2026-01-15;01:40;Suba;11;4.2;29.6;12.5;1.0;0.3;;0.21;;8.7;3.8
2026-01-15;01:40;Puente Aranda;13;2.7;-9999.0;24.4;4.7;1.4;1.5;0.17;2.1;16.2;8.3
2026-01-15;01:40;MinAmbiente;17;11.5;4.0;4.4;3.0;0.7;;0.22;;2.6;1.8
2026-01-15;01:40;San Cristobal;24;12.5;4.0;1.5;1.0;1.8;2.7;0.16;0.4;0.1;1.5
2026-01-15;01:40;Movil 7ma;26;;9.7;;4.5;;;-9999.0;;;
2026-01-15;01:40;Bolivia;27;-9999.0;10.3;-9999.0;4.2;;;-9999.0;;-9999.0;-9999.0
2026-01-15;01:40;Fontibon;30;2.4;12.0;25.4;8.0;0.8;5.7;0.61;2.0;15.5;9.9
2026-01-15;01:40;Usme;32;8.6;21.2;11.0;3.7;5.0;;0.1;;8.7;2.2
2026-01-15;01:40;Jazmin;34;2.7;14.4;24.0;4.4;0.8;;0.26;;17.4;6.5
2026-01-15;01:40;Ciudad Bolivar;37;13.5;13.3;15.2;3.8;1.1;-9999.0;0.13;-9999.0;6.8;8.3
2026-01-15;01:40;Colina;38;14.8;0.0;7.5;0.0;0.8;;0.35;;5.8;1.8
2026-01-15;01:40;Movil Fontibon;39;;32.5;-9999.0;4.4;;;-9999.0;;-9999.0;-9999.0
2026-01-15;02:29;Usaquen;1;-9999.0;2.8;-9999.0;5.5;-9999.0;;-9999.0;;-9999.0;-9999.0
2026-01-15;02:29;Carvajal - Sevillana;3;;55.0;;27.0;1.5;;1.03;;;
2026-01-15;02:29;Tunal;4;4.7;12.0;36.8;15.0;0.9;0.7;-9999.0;1.2;5.2;31.6
2026-01-15;02:29;Centro de Alto Rendimiento;5;-9999.0;3.1;4.8;2.4;0.4;8.0;0.09;0.4;4.1;0.7
2026-01-15;02:29;Las Ferias;6;12.4;7.4;3.4;4.0;;;0.22;;2.6;0.8
2026-01-15;02:29;Guaymaral;8;2.1;24.0;32.5;5.0;1.6;;0.25;;10.7;21.7
2026-01-15;02:29;Kennedy;9;0.0;18.5;37.4;6.3;1.6;-9999.0;0.72;-9999.0;18.7;18.7
2026-01-15;02:29;Suba;11;4.0;22.0;10.9;4.0;0.3;;0.2;;8.1;2.8
2026-01-15;02:29;Puente Aranda;13;2.7;-9999.0;38.3;3.7;1.6;1.5;0.28;3.3;17.0;21.3
2026-01-15;02:29;MinAmbiente;17;12.8;0.0;2.8;2.0;0.7;;0.2;;2.0;0.9
2026-01-15;02:29;San Cristobal;24;11.4;5.0;1.6;52.0;1.6;488.1;0.16;0.4;0.1;1.5
2026-01-15;02:29;Movil 7ma;26;;12.1;;4.4;;;-9999.0;;;
2026-01-15;02:29;Bolivia;27;-9999.0;16.7;-9999.0;4.3;;;-9999.0;;-9999.0;-9999.0
2026-01-15;02:29;Fontibon;30;2.6;11.0;21.9;5.0;0.9;9.0;0.52;1.7;15.2;6.7
2026-01-15;02:29;Usme;32;11.6;22.1;7.8;7.2;1.9;;0.08;;5.8;2.0
2026-01-15;02:29;Jazmin;34;6.3;10.8;13.6;4.6;0.7;;0.15;;10.2;3.4
2026-01-15;02:29;Ciudad Bolivar;37;11.8;10.5;17.0;3.7;1.3;-9999.0;0.13;-9999.0;8.2;8.8
2026-01-15;02:29;Colina;38;14.8;0.0;7.5;0.0;0.8;;0.35;;5.8;1.8
2026-01-15;02:29;Movil Fontibon;39;;33.9;-9999.0;8.6;;;-9999.0;;-9999.0;-9999.0
2026-01-15;03:37;Usaquen;1;-9999;5;-9999;3.9;-9999;;-9999;;-9999;-9999
2026-01-15;03:37;Carvajal - Sevillana;3;;55;;27;1.5;;1.03;;;
2026-01-15;03:37;Tunal;4;6.8;61;34.7;9;0.6;3.6;-9999;1;4.3;30.4
2026-01-15;03:37;Centro de Alto Rendimiento;5;-9999;3.1;4.4;2.4;0.4;8.6;0.08;0.4;3.7;0.7
2026-01-15;03:37;Las Ferias;6;3.7;6.2;14.7;6;;;0.2;;11;3.7
2026-01-15;03:37;Guaymaral;8;2.2;13;12;3;1.2;;0.2;;9;3
2026-01-15;03:37;Kennedy;9;0;19.2;31.8;8.4;1.9;-9999;0.66;-9999;17.1;14.7
2026-01-15;03:37;Suba;11;2.6;16;11.9;4;0.4;;0.2;;9.4;2.4
2026-01-15;03:37;Puente Aranda;13;4.5;-9999;16.2;3.4;1.4;0.8;0.07;1.5;12;4.2
2026-01-15;03:37;MinAmbiente;17;9.6;0;3.4;1;0.7;;0.21;;2.6;0.8
2026-01-15;03:37;San Cristobal;24;11.9;6;1.6;2;1.8;5.5;0.16;0.3;0.1;1.5
2026-01-15;03:37;Movil 7ma;26;;9.5;;4.4;;;-9999;;;
2026-01-15;03:37;Bolivia;27;-9999;21.3;-9999;4.2;;;-9999;;-9999;-9999
2026-01-15;03:37;Fontibon;30;2;7;24.6;8;1;10.4;0.51;2.2;15.9;8.7
2026-01-15;03:37;Usme;32;9.9;13.1;9.5;6.7;4.2;;0.08;;7.3;2.2
2026-01-15;03:37;Jazmin;34;7.1;12.9;11.1;4.5;0.6;;0.1;;10.2;0.9
2026-01-15;03:37;Ciudad Bolivar;37;12.8;8.3;16.7;3.7;1.6;-9999;0.13;-9999;7.7;9
2026-01-15;03:37;Colina;38;14.8;0;7.5;0;0.8;;0.35;;5.8;1.8
2026-01-15;03:37;Movil Fontibon;39;;48.5;-9999;11.1;;;-9999;;-9999;-9999
