Fecha;Hora;name;stationId;OZONO;PM10;NOX;PM25;SO2;BBP;CO;eBC;NO2;NO
2026-01-15;00:30;Usaquen;1;-9999.0;0.0;-9999.0;0.0;-9999.0;;-9999.0;;-9999.0;-9999.0
2026-01-15;00:30;Carvajal - Sevillana;3;;55.0;;27.0;1.5;;1.03;;;
2026-01-15;00:30;Tunal;4;4.5;22.0;40.6;11.0;0.9;1.4;-9999.0;1.4;5.5;35.2
2026-01-15;00:30;Centro de Alto Rendimiento;5;-9999.0;3.4;6.0;2.4;1.0;5.6;0.11;0.5;5.1;0.8
2026-01-15;00:30;Las Ferias;6;12.5;6.1;5.0;4.0;;;0.29;;3.7;1.3
2026-01-15;00:30;Guaymaral;8;2.5;19.0;33.8;2.0;1.5;;0.31;;11.6;22.2
2026-01-15;00:30;Kennedy;9;0.0;23.9;30.8;8.2;1.8;-9999.0;0.79;-9999.0;16.3;14.5
2026-01-15;00:30;Suba;11;6.9;29.2;7.5;4.0;0.8;;0.26;;5.4;2.1
2026-01-15;00:30;Puente Aranda;13;2.3;-9999.0;27.1;4.3;1.1;5.1;0.11;1.8;17.0;10.1
2026-01-15;00:30;MinAmbiente;17;10.2;6.0;9.6;3.0;0.8;;0.32;;5.9;3.7
2026-01-15;00:30;San Cristobal;24;11.2;7.0;1.5;20.0;1.8;10.5;0.19;0.4;0.1;1.4
2026-01-15;00:30;Movil 7ma;26;;15.2;;4.6;;;-9999.0;;;
2026-01-15;00:30;Bolivia;27;-9999.0;13.8;-9999.0;4.3;;;-9999.0;;-9999.0;-9999.0
2026-01-15;00:30;Fontibon;30;2.3;16.0;29.3;7.0;0.9;7.6;0.64;2.1;17.7;11.6
2026-01-15;00:30;Usme;32;9.7;14.7;12.9;2.9;1.6;;0.27;;9.1;3.8
2026-01-15;00:30;Jazmin;34;0.7;8.7;35.5;4.5;0.8;;0.41;;21.4;14.2
2026-01-15;00:30;Ciudad Bolivar;37;14.6;9.8;14.8;3.9;1.0;-9999.0;-0.03;-9999.0;6.1;8.7
2026-01-15;00:30;Colina;38;14.8;0.0;7.5;0.0;0.8;;0.35;;5.8;1.8
2026-01-15;00:30;Movil Fontibon;39;;43.4;-9999.0;4.8;;;-9999.0;;-9999.0;-9999.0
2026-01-15;01:40;Usaquen;1;-9999;0.9;-9999;2.1;-9999;;-9999;;-9999;-9999
2026-01-15;01:40;Carvajal - Sevillana;3;;55;;27;1.5;;1.03;;;
2026-01-15;01:40;Tunal;4;6.3;13;37.4;7;1.4;0;-9999;1.9;5.1;32.4
2026-01-15;01:40;Centro de Alto Rendimiento;5;-9999;3.4;4.5;2.4;0.6;11.9;0.08;0.4;3.7;0.8
2026-01-15;01:40;Las Ferias;6;10.3;8.3;6;0;;;0.24;;5.1;0.9
2026-01-15;01:40;Guaymaral;8;1.6;20;41.7;4;1.8;;0.31;;12.2;29.5
2026-01-15;01:40;Kennedy;9;0;19.5;28.6;6.9;1.6;-9999;0.7;-9999;16.7;11.9
2026-01-15;01:40;Suba;11;4.2;29.6;12.5;1;0.3;;0.21;;8.7;3.8
2026-01-15;01:40;Puente Aranda;13;2.7;-9999;24.4;4.7;1.4;1.5;0.17;2.1;16.2;8.3
2026-01-15;01:40;MinAmbiente;17;11.5;4;4.4;3;0.7;;0.22;;2.6;1.8
2026-01-15;01:40;San Cristobal;24;12.5;4;1.5;1;1.8;2.7;0.16;0.4;0.1;1.5
2026-01-15;01:40;Movil 7ma;26;;9.7;;4.5;;;-9999;;;
2026-01-15;01:40;Bolivia;27;-9999;10.3;-9999;4.2;;;-9999;;-9999;-9999
2026-01-15;01:40;Fontibon;30;2.4;12;25.4;8;0.8;5.7;0.61;2;15.5;9.9
2026-01-15;01:40;Usme;32;8.6;21.2;11;3.7;5;;0.1;;8.7;2.2
2026-01-15;01:40;Jazmin;34;2.7;14.4;24;4.4;0.8;;0.26;;17.4;6.5
2026-01-15;01:40;Ciudad Bolivar;37;13.5;13.3;15.2;3.8;1.1;-9999;0.13;-9999;6.8;8.3
2026-01-15;01:40;Colina;38;14.8;0;7.5;0;0.8;;0.35;;5.8;1.8
2026-01-15;01:40;Movil Fontibon;39;;32.5;-9999;4.4;;;-9999;;-9999;-9999
