Fecha;Hora;name;stationId;SO2;OZONO;BBP;PM25;NO;eBC;PM10;CO;NOX;NO2
2026-01-17;00:25;Usaquen;1;-9999.0;-9999.0;;5.6;-9999.0;;7.5;-9999.0;-9999.0;-9999.0
2026-01-17;00:25;Carvajal - Sevillana;3;1.5;;;27.0;;;55.0;1.03;;
2026-01-17;00:25;Tunal;4;0.9;8.6;2.6;5.0;33.2;1.2;24.0;-9999.0;36.7;3.5
2026-01-17;00:25;Centro de Alto Rendimiento;5;1.2;-9999.0;9.6;4.9;2.4;1.4;18.0;0.28;12.7;10.3
2026-01-17;00:25;Las Ferias;6;;5.1;;8.0;2.7;;9.4;0.34;16.0;13.3
2026-01-17;00:25;Guaymaral;8;1.0;1.1;;6.0;16.7;;18.0;0.4;31.4;14.7
2026-01-17;00:25;Kennedy;9;0.5;0.0;-9999.0;25.7;11.5;-9999.0;49.5;0.89;32.9;21.4
2026-01-17;00:25;Suba;11;0.8;2.9;;10.0;4.3;;41.7;0.31;17.8;13.6
2026-01-17;00:25;Puente Aranda;13;1.4;1.5;6.5;14.7;16.1;2.4;-9999.0;0.46;36.6;20.6
2026-01-17;00:25;MinAmbiente;17;0.8;13.2;;6.0;3.2;;4.0;0.38;10.1;6.9
2026-01-17;00:25;San Cristobal;24;158.6;2.1;3.4;10.0;-9999.0;1.2;19.0;0.59;-9999.0;-9999.0
2026-01-17;00:25;Movil 7ma;26;;;;3.3;;;25.1;-9999.0;;
2026-01-17;00:25;Bolivia;27;;-9999.0;;7.2;-9999.0;;42.3;-9999.0;-9999.0;-9999.0
2026-01-17;00:25;Fontibon;30;0.9;2.1;6.5;14.2;12.1;1.9;20.9;0.73;30.6;18.5
2026-01-17;00:25;Usme;32;2.8;6.6;;2.9;7.5;;25.0;0.33;21.3;13.8
2026-01-17;00:25;Jazmin;34;0.8;0.7;;16.3;8.8;;40.4;0.48;33.4;24.6
2026-01-17;00:25;Ciudad Bolivar;37;0.9;1.5;-9999.0;4.3;55.6;-9999.0;28.5;0.96;88.4;32.9
2026-01-17;00:25;Colina;38;0.8;14.8;;0.0;1.8;;0.0;0.35;7.5;5.8
2026-01-17;00:25;Movil Fontibon;39;;;;21.7;-9999.0;;54.8;-9999.0;-9999.0;-9999.0
2026-01-17;01:37;Usaquen;1;-9999.0;-9999.0;;3.2;-9999.0;;5.2;-9999.0;-9999.0;-9999.0
2026-01-17;01:37;Carvajal - Sevillana;3;1.5;;;27.0;;;55.0;1.03;;
2026-01-17;01:37;Tunal;4;0.9;6.0;2.1;12.0;33.0;1.7;19.0;-9999.0;39.6;6.6
2026-01-17;01:37;Centro de Alto Rendimiento;5;0.8;-9999.0;6.4;5.0;2.7;1.4;16.8;0.25;12.2;9.6
2026-01-17;01:37;Las Ferias;6;;5.1;;8.0;6.3;;8.8;0.34;19.0;12.7
2026-01-17;01:37;Guaymaral;8;2.1;0.5;;8.0;68.0;;20.0;0.62;84.5;16.5
2026-01-17;01:37;Kennedy;9;0.4;0.0;-9999.0;19.1;20.5;-9999.0;35.3;1.07;43.4;22.9
2026-01-17;01:37;Suba;11;0.9;1.9;;8.0;7.2;;33.6;0.33;22.2;14.9
2026-01-17;01:37;Puente Aranda;13;1.3;5.0;7.3;22.1;6.7;3.2;-9999.0;0.38;21.7;15.0
2026-01-17;01:37;MinAmbiente;17;0.6;15.6;;1.0;1.7;;3.0;0.24;6.1;4.4
2026-01-17;01:37;San Cristobal;24;158.5;9.8;3.1;8.0;-9999.0;1.1;10.0;0.31;-9999.0;-9999.0
2026-01-17;01:37;Movil 7ma;26;;;;3.4;;;24.1;-9999.0;;
2026-01-17;01:37;Bolivia;27;;-9999.0;;8.6;-9999.0;;31.3;-9999.0;-9999.0;-9999.0
2026-01-17;01:37;Fontibon;30;0.8;1.9;7.7;11.0;21.4;2.5;10.0;0.7;42.0;20.6
2026-01-17;01:37;Usme;32;2.5;12.8;;2.7;2.2;;13.6;0.21;10.1;7.9
2026-01-17;01:37;Jazmin;34;0.6;4.1;;14.7;5.9;;38.1;0.35;26.3;20.3
2026-01-17;01:37;Ciudad Bolivar;37;1.2;9.0;-9999.0;4.3;10.2;-9999.0;28.4;0.27;25.4;15.2
2026-01-17;01:37;Colina;38;0.8;14.8;;0.0;1.8;;0.0;0.35;7.5;5.8
2026-01-17;01:37;Movil Fontibon;39;;;;18.0;-9999.0;;39.3;-9999.0;-9999.0;-9999.0
2026-01-17;02:23;Usaquen;1;-9999.0;-9999.0;;1.6;-9999.0;;1.8;-9999.0;-9999.0;-9999.0
2026-01-17;02:23;Carvajal - Sevillana;3;1.5;;;27.0;;;55.0;1.03;;
2026-01-17;02:23;Tunal;4;0.9;11.3;5.3;7.0;31.8;0.8;19.0;-9999.0;35.7;3.9
2026-01-17;02:23;Centro de Alto Rendimiento;5;0.7;-9999.0;6.7;4.7;2.4;1.2;14.7;0.27;12.6;10.2
2026-01-17;02:23;Las Ferias;6;;4.8;;5.0;4.8;;6.9;0.3;19.2;14.4
2026-01-17;02:23;Guaymaral;8;2.0;0.5;;10.0;54.2;;32.0;0.53;68.6;14.4
2026-01-17;02:23;Kennedy;9;0.6;0.0;-9999.0;15.6;38.4;-9999.0;26.2;1.01;63.3;24.8
2026-01-17;02:23;Suba;11;1.0;2.3;;8.0;2.7;;25.8;0.29;15.5;12.8
2026-01-17;02:23;Puente Aranda;13;1.2;3.6;3.7;15.9;6.1;1.7;-9999.0;0.23;22.1;16.0
2026-01-17;02:23;MinAmbiente;17;0.7;14.9;;0.0;1.6;;3.0;0.25;5.1;3.5
2026-01-17;02:23;San Cristobal;24;158.6;16.3;1.3;985.0;-9999.0;0.5;6.0;0.18;-9999.0;-9999.0
2026-01-17;02:23;Movil 7ma;26;;;;3.6;;;17.9;-9999.0;;
2026-01-17;02:23;Bolivia;27;;-9999.0;;6.8;-9999.0;;38.7;-9999.0;-9999.0;-9999.0
2026-01-17;02:23;Fontibon;30;0.3;2.0;8.3;8.0;13.8;2.9;12.0;0.64;33.8;20.0
2026-01-17;02:23;Usme;32;0.9;14.1;;2.6;1.8;;7.7;0.17;9.2;7.3
2026-01-17;02:23;Jazmin;34;0.5;1.8;;11.2;6.0;;27.2;0.43;29.0;23.0
2026-01-17;02:23;Ciudad Bolivar;37;1.6;14.4;-9999.0;4.3;8.9;-9999.0;21.9;0.14;19.0;10.1
2026-01-17;02:23;Colina;38;0.8;14.8;;0.0;1.8;;0.0;0.35;7.5;5.8
2026-01-17;02:23;Movil Fontibon;39;;;;18.0;-9999.0;;29.1;-9999.0;-9999.0;-9999.0
2026-01-17;03:32;Usaquen;1;-9999.0;-9999.0;;0.6;-9999.0;;0.0;-9999.0;-9999.0;-9999.0
2026-01-17;03:32;Carvajal - Sevillana;3;1.5;;;27.0;;;55.0;1.03;;
2026-01-17;03:32;Tunal;4;0.8;17.2;8.9;3.0;29.3;0.5;22.0;-9999.0;31.7;2.4
2026-01-17;03:32;Centro de Alto Rendimiento;5;0.7;-9999.0;9.1;4.5;1.4;0.7;13.0;0.17;8.3;6.9
2026-01-17;03:32;Las Ferias;6;;13.1;;5.0;0.1;;6.4;0.19;6.0;5.9
2026-01-17;03:32;Guaymaral;8;1.1;0.6;;8.0;11.2;;19.0;0.34;24.3;13.0
2026-01-17;03:32;Kennedy;9;0.6;0.0;-9999.0;11.7;43.4;-9999.0;25.5;1.1;67.6;24.2
2026-01-17;03:32;Suba;11;1.0;1.7;;12.0;2.1;;26.2;0.29;15.1;13.0
2026-01-17;03:32;Puente Aranda;13;1.3;5.2;2.6;11.3;7.5;2.0;-9999.0;0.28;23.9;16.3
2026-01-17;03:32;MinAmbiente;17;0.7;15.5;;1.0;1.6;;9.0;0.21;6.3;4.7
2026-01-17;03:32;San Cristobal;24;158.6;18.6;5.1;985.0;-9999.0;0.4;4.0;0.14;-9999.0;-9999.0
2026-01-17;03:32;Movil 7ma;26;;;;3.5;;;20.6;-9999.0;;
2026-01-17;03:32;Bolivia;27;;-9999.0;;5.0;-9999.0;;29.6;-9999.0;-9999.0;-9999.0
2026-01-17;03:32;Fontibon;30;1.2;2.5;9.8;14.0;20.2;2.6;12.0;0.62;40.2;20.0
2026-01-17;03:32;Usme;32;2.5;15.1;;2.4;2.0;;7.4;0.14;8.6;6.6
2026-01-17;03:32;Jazmin;34;0.4;9.6;;11.2;1.7;;20.1;0.25;17.1;15.3
2026-01-17;03:32;Ciudad Bolivar;37;1.4;16.2;-9999.0;4.3;8.4;-9999.0;22.8;0.15;16.7;8.3
2026-01-17;03:32;Colina;38;0.8;14.8;;0.0;1.8;;0.0;0.35;7.5;5.8
2026-01-17;03:32;Movil Fontibon;39;;;;13.2;-9999.0;;24.1;-9999.0;-9999.0;-9999.0
2026-01-17;04:25;Usaquen;1;-9999.0;-9999.0;;0.1;-9999.0;;0.0;-9999.0;-9999.0;-9999.0
