Fecha;Hora;name;stationId;NO;OZONO;NO2;eBC;PM25;SO2;PM10;NOX;BBP;CO
2026-01-14;00:30;Usaquen;1;-9999.0;-9999.0;-9999.0;;0.1;-9999.0;6.8;-9999.0;;-9999.0
2026-01-14;00:30;Carvajal - Sevillana;3;;;;;27.0;1.5;55.0;;;1.03
2026-01-14;00:30;Tunal;4;31.5;9.1;4.6;1.4;10.0;0.7;36.0;36.1;3.0;-9999.0
2026-01-14;00:30;Centro de Alto Rendimiento;5;6.1;-9999.0;13.3;2.9;19.0;1.1;31.5;19.4;6.9;0.4
2026-01-14;00:30;Las Ferias;6;0.0;15.6;5.3;;7.0;;20.0;5.0;;0.38
2026-01-14;00:30;Guaymaral;8;5.2;12.5;6.5;;10.0;1.1;28.0;11.6;;0.27
2026-01-14;00:30;Kennedy;9;27.4;0.0;34.3;-9999.0;20.9;0.9;25.3;61.7;-9999.0;1.15
2026-01-14;00:30;Suba;11;4.0;1.0;16.3;;12.0;0.7;24.3;20.3;;0.34
2026-01-14;00:30;Puente Aranda;13;38.0;0.8;30.8;5.7;22.6;1.7;-9999.0;68.6;3.1;0.85
2026-01-14;00:30;MinAmbiente;17;3.8;13.1;6.9;;10.0;1.0;10.0;10.7;;0.32
2026-01-14;00:30;San Cristobal;24;1.4;6.5;0.1;1.0;13.0;2.1;22.0;1.5;5.0;0.42
2026-01-14;00:30;Movil 7ma;26;;;;;12.4;;21.8;;;-9999.0
2026-01-14;00:30;Bolivia;27;-9999.0;-9999.0;-9999.0;;13.8;;33.0;-9999.0;;-9999.0
2026-01-14;00:30;Fontibon;30;28.1;1.9;27.2;4.5;15.0;1.3;21.0;55.2;7.2;0.82
2026-01-14;00:30;Usme;32;4.5;11.0;12.0;;5.8;1.3;26.9;16.5;;0.27
2026-01-14;00:30;Jazmin;34;37.5;0.4;37.5;;23.7;1.3;47.3;75.0;;0.83
2026-01-14;00:30;Ciudad Bolivar;37;8.7;12.7;12.6;-9999.0;11.7;1.7;32.3;21.3;-9999.0;0.22
2026-01-14;00:30;Colina;38;1.8;14.8;5.8;;0.0;0.8;0.0;7.5;;0.35
2026-01-14;00:30;Movil Fontibon;39;-9999.0;;-9999.0;;14.3;;34.3;-9999.0;;-9999.0
