Fecha;Hora;name;stationId;Temperatura;Dir Viento;Lluvia;Humedad;Vel Viento;Presion Baro;Rad Solar;Temperatura 8M
2025-11-09;00:21;Usaquen;1;14.0;115.0;0.0;;0.9;;;
2025-11-09;00:21;Carvajal - Sevillana;3;15.2;249.0;0.0;;1.5;;;
2025-11-09;00:21;Tunal;4;;188.0;0.0;75.0;1.0;563.0;1.0;
2025-11-09;00:21;Centro de Alto Rendimiento;5;11.1;283.0;0.0;86.0;0.1;565.0;0.0;
2025-11-09;00:21;Las Ferias;6;14.6;61.0;0.0;67.0;1.1;564.0;;
2025-11-09;00:21;Guaymaral;8;13.4;283.0;0.0;76.0;0.6;564.0;0.0;13.4
2025-11-09;00:21;Kennedy;9;;174.0;0.0;46.2;1.7;;615.0;
2025-11-09;00:21;Suba;11;13.0;38.0;0.0;;0.9;;;
2025-11-09;00:21;Puente Aranda;13;15.5;268.0;0.0;81.0;0.9;564.0;0.0;
2025-11-09;00:21;MinAmbiente;17;;-9999.0;0.0;;-9999.0;;;
2025-11-09;00:21;San Cristobal;24;12.6;114.0;0.0;73.0;0.6;;0.0;
2025-11-09;00:21;Movil 7ma;26;14.7;244.0;0.0;61.6;0.2;562.0;0.0;
2025-11-09;00:21;Bolivia;27;14.5;65.0;0.0;81.0;1.2;565.0;0.0;
2025-11-09;00:21;Fontibon;30;13.6;22.0;0.0;85.0;1.1;565.0;;
2025-11-09;00:21;Usme;32;13.9;;0.0;;;562.0;0.0;
2025-11-09;00:21;Jazmin;34;15.2;297.0;0.0;77.0;0.6;564.0;0.0;
2025-11-09;00:21;Ciudad Bolivar;37;14.3;;0.0;;;558.0;0.0;
2025-11-09;00:21;Colina;38;14.8;271.0;0.3;;0.9;562.0;53.0;
2025-11-09;00:21;Movil Fontibon;39;14.5;;;;;565.0;0.0;
2025-11-09;01:32;Usaquen;1;13.5;347.0;0.0;;0.5;;;
2025-11-09;01:32;Carvajal - Sevillana;3;14.9;217.0;0.0;;1.6;;;
2025-11-09;01:32;Tunal;4;;193.0;0.0;75.0;1.0;563.0;1.0;
2025-11-09;01:32;Centro de Alto Rendimiento;5;11.8;80.0;0.0;80.0;0.8;565.0;0.0;
2025-11-09;01:32;Las Ferias;6;14.2;37.0;0.1;71.0;2.4;564.0;;
2025-11-09;01:32;Guaymaral;8;13.6;179.0;0.0;76.0;0.9;564.0;0.0;13.5
2025-11-09;01:32;Kennedy;9;;174.0;0.0;46.2;1.7;;615.0;
2025-11-09;01:32;Suba;11;13.0;67.0;0.0;;1.1;;;
2025-11-09;01:32;Puente Aranda;13;15.4;255.0;0.0;83.0;1.1;563.0;0.0;
2025-11-09;01:32;MinAmbiente;17;;-9999.0;0.0;;-9999.0;;;
2025-11-09;01:32;San Cristobal;24;12.7;105.0;0.0;73.0;0.5;;0.0;
2025-11-09;01:32;Movil 7ma;26;14.6;140.0;0.0;60.7;0.5;562.0;0.0;
2025-11-09;01:32;Bolivia;27;14.6;90.0;0.0;80.0;1.5;565.0;0.0;
2025-11-09;01:32;Fontibon;30;14.2;65.0;0.0;80.0;1.4;564.0;;
2025-11-09;01:32;Usme;32;13.8;;0.0;;;562.0;0.0;
2025-11-09;01:32;Jazmin;34;15.2;263.0;0.0;77.0;1.0;564.0;0.0;
2025-11-09;01:32;Ciudad Bolivar;37;14.2;;0.0;;;557.0;0.0;
2025-11-09;01:32;Colina;38;14.8;271.0;0.3;;0.9;562.0;53.0;
2025-11-09;01:32;Movil Fontibon;39;14.1;;;;;564.0;1.0;
2025-11-09;02:21;Usaquen;1;13.0;106.0;0.0;;1.8;;;
2025-11-09;02:21;Carvajal - Sevillana;3;14.3;249.0;0.0;;1.7;;;
2025-11-09;02:21;Tunal;4;;215.0;0.0;77.0;0.7;562.0;1.0;
