Fecha;Hora;name;stationId;NOX;PM25;PM10;NO2;eBC;CO;SO2;OZONO;NO;BBP
2025-10-02;00:20;Usaquen;1;-9999.0;4.0;5.5;-9999.0;;-9999.0;-9999.0;-9999.0;-9999.0;
2025-10-02;00:20;Carvajal - Sevillana;3;;28.0;74.0;;;0.84;1.1;;;
2025-10-02;00:20;Tunal;4;6.3;8.0;16.0;4.7;1.1;-9999.0;0.1;14.9;1.6;3.2
2025-10-02;00:20;Centro de Alto Rendimiento;5;8.2;3.3;6.5;6.9;0.9;0.16;0.2;9.9;1.3;7.4
2025-10-02;00:20;Las Ferias;6;7.5;6.0;4.6;6.8;;0.14;;16.7;0.7;
2025-10-02;00:20;Guaymaral;8;18.0;1.0;13.0;15.9;;0.3;0.7;3.7;2.0;
2025-10-02;00:20;Kennedy;9;43.3;2.9;26.9;24.1;5.5;1.02;0.8;1.2;19.3;8.7
2025-10-02;00:20;Suba;11;17.3;8.0;23.9;13.5;;0.39;0.8;3.8;3.9;
2025-10-02;00:20;Puente Aranda;13;27.9;1.9;2.3;21.2;0.8;0.3;1.0;4.1;6.7;3.3
2025-10-02;00:20;MinAmbiente;17;15.4;6.0;9.0;8.9;;0.52;0.6;12.0;6.5;
2025-10-02;00:20;San Cristobal;24;5.0;4.0;5.0;4.0;0.1;0.19;0.8;20.6;0.9;2.8
2025-10-02;00:20;Movil 7ma;26;;2.1;24.9;;;-9999.0;;;;
2025-10-02;00:20;Bolivia;27;35.2;1.9;17.5;21.5;;0.53;;4.3;13.7;
2025-10-02;00:20;Fontibon;30;26.1;12.4;21.3;21.4;2.7;0.3;1.1;4.1;4.7;3.3
2025-10-02;00:20;Usme;32;27.3;4.8;10.6;20.5;;0.29;0.9;11.3;6.8;
2025-10-02;00:20;Jazmin;34;12.0;2.7;19.3;10.9;;0.24;0.8;17.8;1.1;
2025-10-02;00:20;Ciudad Bolivar;37;6.9;5.6;16.2;6.6;1.0;0.2;1.2;22.2;0.4;2.4
2025-10-02;00:20;Colina;38;16.0;3.0;10.4;12.7;;0.38;1.0;8.7;3.3;
2025-10-02;00:20;Movil Fontibon;39;-9999.0;9.9;53.6;-9999.0;;-9999.0;;;-9999.0;
2025-10-02;01:33;Usaquen;1;-9999.0;4.8;6.6;-9999.0;;-9999.0;-9999.0;-9999.0;-9999.0;
2025-10-02;01:33;Carvajal - Sevillana;3;;26.0;53.0;;;0.53;0.9;;;
2025-10-02;01:33;Tunal;4;4.2;6.0;14.0;3.2;0.8;-9999.0;0.1;17.1;1.0;3.4
2025-10-02;01:33;Centro de Alto Rendimiento;5;8.6;3.4;5.8;6.9;1.2;0.22;0.1;7.7;1.7;9.2
2025-10-02;01:33;Las Ferias;6;7.1;3.0;4.5;7.3;;0.21;;15.5;0.0;
2025-10-02;01:33;Guaymaral;8;19.8;4.0;22.0;14.6;;0.24;0.7;7.0;5.2;
2025-10-02;01:33;Kennedy;9;24.8;2.9;23.9;22.2;2.5;0.61;0.8;2.0;2.6;6.9
2025-10-02;01:33;Suba;11;16.6;13.0;18.1;13.0;;0.39;0.5;3.5;3.7;
2025-10-02;01:33;Puente Aranda;13;29.3;2.0;3.0;22.2;0.7;0.39;1.1;2.6;7.1;2.8
2025-10-02;01:33;MinAmbiente;17;12.6;4.0;6.0;6.9;;0.29;0.5;9.6;5.7;
2025-10-02;01:33;San Cristobal;24;2.4;3.0;5.0;2.1;0.1;0.18;0.9;22.4;0.3;2.7
2025-10-02;01:33;Movil 7ma;26;;1.9;19.0;;;-9999.0;;;;
2025-10-02;01:33;Bolivia;27;37.8;2.0;18.7;21.8;;0.5;;4.6;16.0;
2025-10-02;01:33;Fontibon;30;30.7;9.0;10.1;22.1;3.0;0.26;1.3;3.4;8.5;3.8
2025-10-02;01:33;Usme;32;14.5;4.9;8.5;11.5;;0.17;0.3;17.1;3.0;
