Fecha;Hora;name;stationId;Temperatura 8M;Humedad;Temperatura;Rad Solar;Presion Baro;Vel Viento;Dir Viento;Lluvia
2026-01-08;00:29;Usaquen;1;;;13.6;;;0.7;142.0;0.0
2026-01-08;00:29;Carvajal - Sevillana;3;;;11.9;;;1.6;243.0;0.0
2026-01-08;00:29;Tunal;4;;76.0;;0.0;563.0;0.7;196.0;0.0
2026-01-08;00:29;Centro de Alto Rendimiento;5;;87.0;13.3;0.0;565.0;0.3;330.0;0.0
2026-01-08;00:29;Las Ferias;6;;71.0;13.8;;564.0;0.4;344.0;0.0
2026-01-08;00:29;Guaymaral;8;13.3;75.0;13.4;0.0;564.0;1.0;38.0;0.0
2026-01-08;00:29;Kennedy;9;;84.8;;0.0;;0.4;297.0;0.0
2026-01-08;00:29;Suba;11;;;12.2;;;1.1;23.0;0.0
2026-01-08;00:29;Puente Aranda;13;;92.0;14.3;0.0;563.0;0.7;252.0;0.0
2026-01-08;00:29;MinAmbiente;17;;;;;;-9999.0;-9999.0;0.0
2026-01-08;00:29;San Cristobal;24;;77.0;12.9;0.0;;0.5;117.0;0.0
2026-01-08;00:29;Movil 7ma;26;;72.7;14.5;0.0;562.0;0.2;282.0;0.0
2026-01-08;00:29;Bolivia;27;;91.0;13.1;0.0;565.0;1.0;346.0;0.0
2026-01-08;00:29;Fontibon;30;;88.0;13.5;;564.0;0.4;341.0;0.0
2026-01-08;00:29;Usme;32;;;14.4;0.0;562.0;;;0.0
2026-01-08;00:29;Jazmin;34;;91.0;14.3;0.0;564.0;0.7;283.0;0.0
2026-01-08;00:29;Ciudad Bolivar;37;;;13.2;0.0;557.0;;;0.0
2026-01-08;00:29;Colina;38;;;16.5;93.0;563.0;1.8;169.0;0.0
2026-01-08;00:29;Movil Fontibon;39;;;13.9;0.0;564.0;;;
2026-01-08;01:41;Usaquen;1;;;13.6;;;0.4;244;0
2026-01-08;01:41;Carvajal - Sevillana;3;;;11.9;;;1.6;243;0
2026-01-08;01:41;Tunal;4;;74;;0;563;0.7;178;0
2026-01-08;01:41;Centro de Alto Rendimiento;5;;87;13.1;0;564;1.4;316;0
2026-01-08;01:41;Las Ferias;6;;72;13.7;;563;1;316;0
2026-01-08;01:41;Guaymaral;8;13;77;13.2;0;563;0.8;267;0
2026-01-08;01:41;Kennedy;9;;86.2;;0;;0.9;10;0
2026-01-08;01:41;Suba;11;;;12;;;1;359;0
2026-01-08;01:41;Puente Aranda;13;;90;14.5;0;563;0.7;286;0.1
2026-01-08;01:41;MinAmbiente;17;;;;;;-9999;-9999;0
2026-01-08;01:41;San Cristobal;24;;75;12.7;0;;0.8;91;0
2026-01-08;01:41;Movil 7ma;26;;71.4;14.5;0;562;0.3;357;0
2026-01-08;01:41;Bolivia;27;;90;12.8;0;564;1.3;14;0
2026-01-08;01:41;Fontibon;30;;87;13.1;;564;1.6;33;0
2026-01-08;01:41;Usme;32;;;14.4;0;562;;;0
2026-01-08;01:41;Jazmin;34;;82;14.7;0;563;0.5;235;0
2026-01-08;01:41;Ciudad Bolivar;37;;;13.6;0;557;;;0
2026-01-08;01:41;Colina;38;;;16.5;93;563;1.8;169;0
2026-01-08;01:41;Movil Fontibon;39;;;13.7;1;564;;;
