Fecha;Hora;name;stationId;Humedad;Vel Viento;Dir Viento;Lluvia;Presion Baro;Rad Solar;Temperatura;Temperatura 8M
2025-10-05;00:20;Usaquen;1;;1.0;154.0;0.0;;;12.4;
2025-10-05;00:20;Carvajal - Sevillana;3;;2.7;257.0;0.0;;;14.5;
2025-10-05;00:20;Tunal;4;75.0;1.0;180.0;0.0;564.0;1.0;;
2025-10-05;00:20;Centro de Alto Rendimiento;5;80.0;0.3;297.0;0.0;566.0;0.0;10.4;
2025-10-05;00:20;Las Ferias;6;71.0;0.6;345.0;0.1;565.0;;12.7;
2025-10-05;00:20;Guaymaral;8;75.0;0.8;343.0;0.0;565.0;0.0;12.6;12.5
2025-10-05;00:20;Kennedy;9;69.2;1.0;202.0;0.0;;0.0;;
2025-10-05;00:20;Suba;11;;1.1;49.0;0.0;;;12.4;
2025-10-05;00:20;Puente Aranda;13;73.0;1.4;195.0;0.0;564.0;0.0;14.5;
2025-10-05;00:20;MinAmbiente;17;;-9999.0;-9999.0;0.0;;;;
2025-10-05;00:20;San Cristobal;24;82.0;0.9;111.0;0.0;;0.0;10.6;
2025-10-05;00:20;Movil 7ma;26;60.6;0.2;178.0;0.0;563.0;0.0;13.7;
2025-10-05;00:20;Bolivia;27;82.0;1.2;106.0;0.0;566.0;0.0;13.2;
2025-10-05;00:20;Fontibon;30;69.0;1.5;56.0;0.0;565.0;;13.6;
2025-10-05;00:20;Usme;32;;;;0.0;563.0;0.0;13.4;
2025-10-05;00:20;Jazmin;34;75.0;0.8;197.0;0.0;565.0;0.0;14.4;
2025-10-05;00:20;Ciudad Bolivar;37;;;;0.0;558.0;0.0;13.5;
2025-10-05;00:20;Colina;38;;1.0;80.0;0.0;565.0;0.0;13.6;
2025-10-05;00:20;Movil Fontibon;39;;;;;566.0;0.0;14.4;
2025-10-05;01:30;Usaquen;1;;1;130;0;;;12.3;
2025-10-05;01:30;Carvajal - Sevillana;3;;2.3;242;0;;;14.2;
2025-10-05;01:30;Tunal;4;73;0.8;191;0;564;1;;
2025-10-05;01:30;Centro de Alto Rendimiento;5;76;0.5;105;0.1;565;0;10.6;
2025-10-05;01:30;Las Ferias;6;70;1.2;27;0;564;;12.7;
2025-10-05;01:30;Guaymaral;8;74;0.9;148;0;564;0;12.2;12.3
2025-10-05;01:30;Kennedy;9;67.8;0.7;193;0;;0;;
2025-10-05;01:30;Suba;11;;0.9;33;0;;;11.9;
2025-10-05;01:30;Puente Aranda;13;70;1.3;133;0.1;564;0;14.6;
2025-10-05;01:30;MinAmbiente;17;;-9999;-9999;0;;;;
2025-10-05;01:30;San Cristobal;24;82;0.3;82;0;;0;10.8;
2025-10-05;01:30;Movil 7ma;26;60.3;0.4;230;0;563;0;13.8;
2025-10-05;01:30;Bolivia;27;84;1.4;44;0;565;0;13.1;
2025-10-05;01:30;Fontibon;30;72;1.5;65;0;565;;13.5;
2025-10-05;01:30;Usme;32;;;;0;563;0;13.3;
2025-10-05;01:30;Jazmin;34;67;1.6;143;0;564;0;14.5;
2025-10-05;01:30;Ciudad Bolivar;37;;;;0;558;0;12.9;
2025-10-05;01:30;Colina;38;;0.7;94;0;565;0;13.4;
2025-10-05;01:30;Movil Fontibon;39;;;;;565;0;14.2;
