Fecha;Hora;name;stationId;PM10;SO2;NO;CO;NO2;PM25;OZONO;BBP;NOX;eBC
2025-09-29;11:14;Usaquen;1;30.4;-9999.0;-9999.0;-9999.0;-9999.0;6.0;-9999.0;;-9999.0;
2025-09-29;11:14;Carvajal - Sevillana;3;50.0;1.1;;3.98;;12.0;;;;
2025-09-29;11:14;Tunal;4;14.0;0.3;8.8;-9999.0;4.2;6.0;24.0;2.1;13.0;1.5
2025-09-29;11:14;Centro de Alto Rendimiento;5;48.9;0.6;8.5;0.67;21.4;29.9;24.7;6.4;29.8;5.6
2025-09-29;11:14;Las Ferias;6;44.0;;11.3;0.67;31.7;23.0;20.6;;43.0;
2025-09-29;11:14;Guaymaral;8;23.0;0.7;-9999.0;0.24;-9999.0;5.0;23.4;;-9999.0;
2025-09-29;11:14;Kennedy;9;30.2;0.8;6.7;0.5;11.8;21.9;28.8;2.1;18.5;1.8
2025-09-29;11:14;Suba;11;65.0;0.6;3.0;0.27;4.0;8.0;15.4;;6.9;
2025-09-29;11:14;Puente Aranda;13;46.5;0.7;7.6;0.25;17.6;16.4;15.7;4.1;25.3;0.9
2025-09-29;11:14;MinAmbiente;17;25.0;51.1;7.9;0.49;16.8;9.0;22.2;;24.7;
2025-09-29;11:14;San Cristobal;24;8.0;0.7;2.1;0.22;4.0;5.0;24.7;453.7;6.0;0.4
2025-09-29;11:14;Movil 7ma;26;44.7;;;-9999.0;;27.9;;;;
2025-09-29;11:14;Bolivia;27;38.2;;6.1;0.54;17.5;8.8;12.9;;23.6;
2025-09-29;11:14;Fontibon;30;33.4;1.9;11.2;0.62;29.6;61.6;22.8;0.9;40.8;5.4
2025-09-29;11:14;Usme;32;29.0;3.1;2.4;0.08;4.8;10.1;24.6;;7.3;
2025-09-29;11:14;Jazmin;34;36.8;0.9;2.8;0.21;6.7;14.1;26.7;;9.4;
2025-09-29;11:14;Ciudad Bolivar;37;33.8;0.8;2.7;0.12;5.4;9.9;32.0;8.1;8.0;1.2
2025-09-29;11:14;Colina;38;20.5;1.0;4.7;0.33;10.8;5.9;15.5;;15.5;
2025-09-29;11:14;Movil Fontibon;39;81.4;;-9999.0;-9999.0;-9999.0;21.2;;;-9999.0;
2025-09-29;12:20;Usaquen;1;32.9;-9999.0;-9999.0;-9999.0;-9999.0;7.5;-9999.0;;-9999.0;
2025-09-29;12:20;Carvajal - Sevillana;3;98.0;2.5;;3.99;;9.0;;;;
2025-09-29;12:20;Tunal;4;15.0;0.7;9.1;-9999.0;4.9;12.0;25.5;6.6;14.0;2.8
2025-09-29;12:20;Centro de Alto Rendimiento;5;45.1;0.5;5.6;0.44;12.8;28.9;31.4;3.6;18.5;3.4
2025-09-29;12:20;Las Ferias;6;36.3;;9.2;0.68;33.1;21.0;24.3;;42.3;
2025-09-29;12:20;Guaymaral;8;12.0;0.6;-9999.0;0.25;-9999.0;3.0;22.4;;-9999.0;
2025-09-29;12:20;Kennedy;9;30.2;0.9;5.4;0.55;11.3;17.1;28.8;2.1;16.7;2.9
2025-09-29;12:20;Suba;11;49.2;0.6;2.5;0.25;3.5;6.0;15.3;;6.0;
2025-09-29;12:20;Puente Aranda;13;34.6;1.0;8.9;0.33;21.9;12.4;17.8;4.1;30.9;1.3
2025-09-29;12:20;MinAmbiente;17;28.0;0.1;9.0;0.33;17.6;8.0;72.7;;26.7;
2025-09-29;12:20;San Cristobal;24;14.0;0.7;2.0;0.2;3.7;1.0;25.9;28.5;5.7;0.4
2025-09-29;12:20;Movil 7ma;26;43.0;;;-9999.0;;27.6;;;;
2025-09-29;12:20;Bolivia;27;28.9;;10.6;0.53;20.3;7.9;11.6;;30.9;
2025-09-29;12:20;Fontibon;30;29.6;1.5;9.4;0.5;26.7;55.1;26.4;2.1;36.2;5.1
2025-09-29;12:20;Usme;32;38.6;2.0;2.7;0.11;5.3;14.5;27.3;;7.9;
2025-09-29;12:20;Jazmin;34;26.6;61.7;26.4;2.88;11.4;17.8;27.7;;37.7;
