Fecha;Hora;name;stationId;Vel Viento;Dir Viento;Presion Baro;Temperatura 8M;Humedad;Rad Solar;Lluvia;Temperatura
2025-10-19;00:22;Usaquen;1;0.1;283.0;;;;;0.0;10.8
2025-10-19;00:22;Carvajal - Sevillana;3;1.4;246.0;;;;;0.0;12.1
2025-10-19;00:22;Tunal;4;0.5;211.0;565.0;;78.0;1.0;0.0;
2025-10-19;00:22;Centro de Alto Rendimiento;5;0.3;284.0;566.0;;87.0;0.0;0.0;8.1
2025-10-19;00:22;Las Ferias;6;;;565.0;;76.0;;0.0;11.4
2025-10-19;00:22;Guaymaral;8;0.4;287.0;565.0;8.8;84.0;0.0;0.0;8.7
2025-10-19;00:22;Kennedy;9;0.6;318.0;;;82.7;0.0;0.0;
2025-10-19;00:22;Suba;11;0.8;49.0;;;;;0.0;9.4
2025-10-19;00:22;Puente Aranda;13;1.4;224.0;565.0;;79.0;0.0;0.0;13.2
2025-10-19;00:22;MinAmbiente;17;-9999.0;-9999.0;;;;;0.0;
2025-10-19;00:22;San Cristobal;24;1.5;102.0;;;79.0;0.0;0.0;10.1
2025-10-19;00:22;Movil 7ma;26;0.2;96.0;563.0;;63.7;0.0;0.0;13.0
2025-10-19;00:22;Bolivia;27;1.4;70.0;566.0;;88.0;0.0;0.0;11.6
2025-10-19;00:22;Fontibon;30;0.8;29.0;566.0;;86.0;;0.0;11.6
2025-10-19;00:22;Usme;32;;;563.0;;;0.0;0.0;11.0
2025-10-19;00:22;Jazmin;34;0.6;226.0;565.0;;79.0;0.0;0.0;12.8
2025-10-19;00:22;Ciudad Bolivar;37;;;559.0;;;0.0;0.0;11.5
2025-10-19;00:22;Colina;38;0.9;271.0;562.0;;;53.0;0.3;14.8
2025-10-19;00:22;Movil Fontibon;39;;;566.0;;;0.0;;12.5
2025-10-19;01:32;Usaquen;1;0.8;2.0;;;;;0.0;10.8
2025-10-19;01:32;Carvajal - Sevillana;3;0.4;251.0;;;;;0.0;11.6
2025-10-19;01:32;Tunal;4;0.5;241.0;564.0;;78.0;1.0;0.0;
2025-10-19;01:32;Centro de Alto Rendimiento;5;0.3;31.0;566.0;;87.0;0.0;0.0;8.2
2025-10-19;01:32;Las Ferias;6;;;565.0;;78.0;;0.0;11.0
2025-10-19;01:32;Guaymaral;8;0.4;292.0;565.0;8.5;84.0;0.0;0.0;8.4
2025-10-19;01:32;Kennedy;9;0.9;324.0;;;85.1;0.0;0.0;
2025-10-19;01:32;Suba;11;1.1;41.0;;;;;0.0;9.3
2025-10-19;01:32;Puente Aranda;13;1.2;226.0;565.0;;79.0;0.0;0.0;12.8
2025-10-19;01:32;MinAmbiente;17;-9999.0;-9999.0;;;;;0.0;
2025-10-19;01:32;San Cristobal;24;1.7;110.0;;;79.0;0.0;0.0;9.7
2025-10-19;01:32;Movil 7ma;26;0.3;80.0;563.0;;65.0;0.0;0.0;12.7
2025-10-19;01:32;Bolivia;27;0.9;347.0;566.0;;90.0;0.0;0.0;10.7
2025-10-19;01:32;Fontibon;30;1.0;350.0;565.0;;87.0;;0.0;11.3
2025-10-19;01:32;Usme;32;;;563.0;;;0.0;0.0;10.7
2025-10-19;01:32;Jazmin;34;0.6;237.0;565.0;;79.0;0.0;0.0;12.4
2025-10-19;01:32;Ciudad Bolivar;37;;;558.0;;;0.0;0.0;11.2
2025-10-19;01:32;Colina;38;0.9;271.0;562.0;;;53.0;0.3;14.8
2025-10-19;01:32;Movil Fontibon;39;;;566.0;;;0.0;;11.4
2025-10-19;02:18;Usaquen;1;0.4;57.0;;;;;0.0;10.4
2025-10-19;02:18;Carvajal - Sevillana;3;0.3;304.0;;;;;0.0;11.7
2025-10-19;02:18;Tunal;4;0.4;218.0;564.0;;77.0;1.0;0.0;
2025-10-19;02:18;Centro de Alto Rendimiento;5;0.1;271.0;565.0;;87.0;0.0;0.0;8.0
2025-10-19;02:18;Las Ferias;6;;;564.0;;79.0;;0.0;10.6
2025-10-19;02:18;Guaymaral;8;0.4;323.0;564.0;8.0;84.0;0.0;0.0;7.9
2025-10-19;02:18;Kennedy;9;0.8;331.0;;;86.9;0.0;0.0;
2025-10-19;02:18;Suba;11;0.6;28.0;;;;;0.0;8.8
2025-10-19;02:18;Puente Aranda;13;1.0;239.0;564.0;;85.0;0.0;0.0;12.4
2025-10-19;02:18;MinAmbiente;17;-9999.0;-9999.0;;;;;0.0;
2025-10-19;02:18;San Cristobal;24;1.6;108.0;;;78.0;0.0;0.0;9.8
2025-10-19;02:18;Movil 7ma;26;0.3;88.0;563.0;;65.9;0.0;0.0;12.4
2025-10-19;02:18;Bolivia;27;0.6;309.0;565.0;;94.0;0.0;0.0;9.8
2025-10-19;02:18;Fontibon;30;1.1;351.0;565.0;;89.0;;0.0;10.7
2025-10-19;02:18;Usme;32;;;563.0;;;0.0;0.0;10.7
2025-10-19;02:18;Jazmin;34;0.5;240.0;564.0;;81.0;0.0;0.0;12.4
2025-10-19;02:18;Ciudad Bolivar;37;;;558.0;;;0.0;0.0;11.0
2025-10-19;02:18;Colina;38;0.9;271.0;562.0;;;53.0;0.3;14.8
2025-10-19;02:18;Movil Fontibon;39;;;565.0;;;0.0;;10.6
2025-10-19;03:26;Usaquen;1;0.5;36.0;;;;;0.0;10.1
2025-10-19;03:26;Carvajal - Sevillana;3;0.1;303.0;;;;;0.0;11.1
2025-10-19;03:26;Tunal;4;0.4;248.0;564.0;;79.0;1.0;0.0;
2025-10-19;03:26;Centro de Alto Rendimiento;5;0.3;250.0;565.0;;87.0;0.0;0.0;7.5
2025-10-19;03:26;Las Ferias;6;;;564.0;;80.0;;0.0;10.4
2025-10-19;03:26;Guaymaral;8;0.6;311.0;564.0;8.0;85.0;0.0;0.0;8.0
2025-10-19;03:26;Kennedy;9;0.7;357.0;;;86.8;0.0;0.0;
2025-10-19;03:26;Suba;11;1.2;32.0;;;;;0.0;8.8
2025-10-19;03:26;Puente Aranda;13;0.9;260.0;564.0;;94.0;0.0;0.0;12.0
2025-10-19;03:26;MinAmbiente;17;-9999.0;-9999.0;;;;;0.0;
2025-10-19;03:26;San Cristobal;24;1.7;108.0;;;80.0;0.0;0.0;9.4
2025-10-19;03:26;Movil 7ma;26;0.2;96.0;562.0;;67.1;0.0;0.0;11.8
2025-10-19;03:26;Bolivia;27;1.2;58.0;565.0;;93.0;0.0;0.0;10.3
2025-10-19;03:26;Fontibon;30;0.7;22.0;565.0;;90.0;;0.0;10.3
2025-10-19;03:26;Usme;32;;;563.0;;;0.0;0.0;9.9
2025-10-19;03:26;Jazmin;34;0.5;293.0;564.0;;91.0;0.0;0.0;11.7
2025-10-19;03:26;Ciudad Bolivar;37;;;558.0;;;0.0;0.0;10.5
2025-10-19;03:26;Colina;38;0.9;271.0;562.0;;;53.0;0.3;14.8
2025-10-19;03:26;Movil Fontibon;39;;;565.0;;;0.0;;10.7
2025-10-19;04:20;Usaquen;1;0.5;55.0;;;;;0.0;9.6
2025-10-19;04:20;Carvajal - Sevillana;3;1.3;248.0;;;;;0.0;11.1
2025-10-19;04:20;Tunal;4;0.5;231.0;564.0;;80.0;1.0;0.0;
2025-10-19;04:20;Centro de Alto Rendimiento;5;0.2;243.0;565.0;;87.0;0.0;0.0;7.4
2025-10-19;04:20;Las Ferias;6;;;564.0;;80.0;;0.0;10.2
2025-10-19;04:20;Guaymaral;8;0.4;323.0;564.0;7.5;85.0;0.0;0.0;7.3
2025-10-19;04:20;Kennedy;9;0.7;330.0;;;87.6;0.0;0.0;
2025-10-19;04:20;Suba;11;1.1;36.0;;;;;0.0;8.5
2025-10-19;04:20;Puente Aranda;13;0.8;222.0;564.0;;93.0;0.0;0.0;11.9
2025-10-19;04:20;MinAmbiente;17;-9999.0;-9999.0;;;;;0.0;
2025-10-19;04:20;San Cristobal;24;1.1;110.0;;;81.0;0.0;0.0;9.0
2025-10-19;04:20;Movil 7ma;26;0.3;88.0;562.0;;66.3;0.0;0.0;11.6
2025-10-19;04:20;Bolivia;27;1.3;51.0;565.0;;92.0;0.0;0.0;10.0
2025-10-19;04:20;Fontibon;30;0.6;31.0;565.0;;91.0;;0.0;10.1
2025-10-19;04:20;Usme;32;;;562.0;;;0.0;0.0;10.0
2025-10-19;04:20;Jazmin;34;0.4;281.0;564.0;;88.0;0.0;0.0;11.5
2025-10-19;04:20;Ciudad Bolivar;37;;;558.0;;;0.0;0.0;10.4
2025-10-19;04:20;Colina;38;0.9;271.0;562.0;;;53.0;0.3;14.8
2025-10-19;04:20;Movil Fontibon;39;;;565.0;;;0.0;;10.4
2025-10-19;05:21;Usaquen;1;0.7;116.0;;;;;0.0;8.9
2025-10-19;05:21;Carvajal - Sevillana;3;0.2;41.0;;;;;0.0;10.4
2025-10-19;05:21;Tunal;4;0.6;208.0;564.0;;82.0;1.0;0.0;
2025-10-19;05:21;Centro de Alto Rendimiento;5;0.3;287.0;565.0;;88.0;0.0;0.0;6.7
2025-10-19;05:21;Las Ferias;6;;;564.0;;82.0;;0.0;9.4
2025-10-19;05:21;Guaymaral;8;0.6;258.0;564.0;7.3;85.0;0.0;0.0;7.1
2025-10-19;05:21;Kennedy;9;0.5;339.0;;;87.5;0.0;0.1;
2025-10-19;05:21;Suba;11;0.9;43.0;;;;;0.0;8.0
2025-10-19;05:21;Puente Aranda;13;0.9;279.0;564.0;;94.0;0.0;0.0;11.7
2025-10-19;05:21;MinAmbiente;17;-9999.0;-9999.0;;;;;0.0;
2025-10-19;05:21;San Cristobal;24;1.6;101.0;;;81.0;0.0;0.0;8.6
2025-10-19;05:21;Movil 7ma;26;0.3;91.0;562.0;;66.8;0.0;0.0;10.9
2025-10-19;05:21;Bolivia;27;1.2;328.0;565.0;;92.0;0.0;0.0;9.6
2025-10-19;05:21;Fontibon;30;1.5;32.0;565.0;;91.0;;0.0;9.8
2025-10-19;05:21;Usme;32;;;562.0;;;0.0;0.0;11.1
2025-10-19;05:21;Jazmin;34;0.4;305.0;564.0;;88.0;0.0;0.0;11.1
2025-10-19;05:21;Ciudad Bolivar;37;;;558.0;;;0.0;0.0;10.0
2025-10-19;05:21;Colina;38;0.9;271.0;562.0;;;53.0;0.3;14.8
2025-10-19;05:21;Movil Fontibon;39;;;565.0;;;0.0;;10.1
2025-10-19;06:16;Usaquen;1;0.8;83.0;;;;;0.0;9.3
2025-10-19;06:16;Carvajal - Sevillana;3;0.8;189.0;;;;;0.0;10.2
2025-10-19;06:16;Tunal;4;0.5;149.0;564.0;;83.0;5.0;0.0;
2025-10-19;06:16;Centro de Alto Rendimiento;5;0.8;34.0;566.0;;88.0;4.0;0.0;6.5
2025-10-19;06:16;Las Ferias;6;;;565.0;;82.0;;0.0;9.2
2025-10-19;06:16;Guaymaral;8;0.7;335.0;565.0;7.6;86.0;0.0;0.0;7.8
2025-10-19;06:16;Kennedy;9;1.1;97.0;;;88.9;3.0;0.0;
2025-10-19;06:16;Suba;11;1.9;22.0;;;;;0.0;7.9
2025-10-19;06:16;Puente Aranda;13;1.0;43.0;564.0;;94.0;3.0;0.0;11.3
2025-10-19;06:16;MinAmbiente;17;-9999.0;-9999.0;;;;;0.0;
2025-10-19;06:16;San Cristobal;24;1.5;110.0;;;82.0;2.0;0.0;8.2
2025-10-19;06:16;Movil 7ma;26;0.5;80.0;563.0;;67.3;2.0;0.0;10.6
2025-10-19;06:16;Bolivia;27;1.6;80.0;566.0;;93.0;5.0;0.1;9.3
2025-10-19;06:16;Fontibon;30;2.1;53.0;565.0;;91.0;;0.0;9.8
2025-10-19;06:16;Usme;32;;;563.0;;;3.0;0.0;9.9
2025-10-19;06:16;Jazmin;34;0.7;320.0;565.0;;93.0;4.0;0.0;10.9
2025-10-19;06:16;Ciudad Bolivar;37;;;558.0;;;2.0;0.0;9.8
2025-10-19;06:16;Colina;38;0.9;271.0;562.0;;;53.0;0.3;14.8
2025-10-19;06:16;Movil Fontibon;39;;;565.0;;;4.0;;10.5
2025-10-19;07:42;Usaquen;1;1.1;90.0;;;;;0.0;11.0
2025-10-19;07:42;Carvajal - Sevillana;3;1.6;179.0;;;;;0.0;12.5
2025-10-19;07:42;Tunal;4;0.8;179.0;564.0;;81.0;119.0;0.0;
2025-10-19;07:42;Centro de Alto Rendimiento;5;0.6;25.0;566.0;;87.0;121.0;0.1;9.3
2025-10-19;07:42;Las Ferias;6;;;565.0;;71.0;;0.0;12.2
2025-10-19;07:42;Guaymaral;8;1.1;336.0;565.0;7.9;87.0;17.0;0.0;8.3
2025-10-19;07:42;Kennedy;9;1.8;90.0;;;90.6;44.0;0.0;
2025-10-19;07:42;Suba;11;2.4;15.0;;;;;0.0;8.2
2025-10-19;07:42;Puente Aranda;13;1.0;182.0;565.0;;88.0;95.0;0.0;12.2
2025-10-19;07:42;MinAmbiente;17;-9999.0;-9999.0;;;;;0.0;
2025-10-19;07:42;San Cristobal;24;0.4;94.0;;;79.0;82.0;0.0;9.9
2025-10-19;07:42;Movil 7ma;26;0.1;134.0;563.0;;67.0;38.0;0.0;11.4
2025-10-19;07:42;Bolivia;27;2.0;52.0;566.0;;94.0;129.0;0.0;9.1
2025-10-19;07:42;Fontibon;30;2.2;43.0;565.0;;88.0;;0.0;11.0
2025-10-19;07:42;Usme;32;;;563.0;;;88.0;0.0;12.0
2025-10-19;07:42;Jazmin;34;0.7;288.0;565.0;;89.0;154.0;0.0;12.0
2025-10-19;07:42;Ciudad Bolivar;37;;;558.0;;;103.0;0.0;11.2
2025-10-19;07:42;Colina;38;0.9;271.0;562.0;;;53.0;0.3;14.8
2025-10-19;07:42;Movil Fontibon;39;;;566.0;;;106.0;;11.2
2025-10-19;08:25;Usaquen;1;1.5;356.0;;;;;0.0;13.3
2025-10-19;08:25;Carvajal - Sevillana;3;2.2;246.0;;;;;0.0;15.5
2025-10-19;08:25;Tunal;4;1.2;165.0;565.0;;61.0;283.0;0.0;
2025-10-19;08:25;Centro de Alto Rendimiento;5;1.0;37.0;566.0;;70.0;211.0;0.0;13.4
2025-10-19;08:25;Las Ferias;6;;;565.0;;60.0;;0.0;14.9
2025-10-19;08:25;Guaymaral;8;1.6;337.0;565.0;9.7;88.0;190.0;0.0;10.6
2025-10-19;08:25;Kennedy;9;1.0;107.0;;;84.2;87.0;0.0;
2025-10-19;08:25;Suba;11;2.2;20.0;;;;;0.0;9.7
2025-10-19;08:25;Puente Aranda;13;0.9;7.0;565.0;;73.0;238.0;0.0;14.4
2025-10-19;08:25;MinAmbiente;17;-9999.0;-9999.0;;;;;0.0;
2025-10-19;08:25;San Cristobal;24;0.5;126.0;;;64.0;136.0;0.0;13.8
2025-10-19;08:25;Movil 7ma;26;0.0;115.0;564.0;;65.0;81.0;0.0;12.8
2025-10-19;08:25;Bolivia;27;2.1;56.0;566.0;;90.0;316.0;0.0;11.0
2025-10-19;08:25;Fontibon;30;2.5;64.0;566.0;;76.0;;0.0;13.2
2025-10-19;08:25;Usme;32;;;563.0;;;221.0;0.0;14.4
2025-10-19;08:25;Jazmin;34;0.9;305.0;565.0;;68.0;423.0;0.0;14.7
2025-10-19;08:25;Ciudad Bolivar;37;;;559.0;;;267.0;0.0;13.9
2025-10-19;08:25;Colina;38;0.9;271.0;562.0;;;53.0;0.3;14.8
2025-10-19;08:25;Movil Fontibon;39;;;566.0;;;356.0;;13.0
2025-10-19;09:18;Usaquen;1;1.0;299.0;;;;;0.0;14.9
2025-10-19;09:18;Carvajal - Sevillana;3;3.4;207.0;;;;;0.0;17.6
2025-10-19;09:18;Tunal;4;2.5;144.0;565.0;;52.0;356.0;0.0;
2025-10-19;09:18;Centro de Alto Rendimiento;5;2.0;96.0;567.0;;51.0;401.0;0.0;15.8
2025-10-19;09:18;Las Ferias;6;;;566.0;;51.0;;0.0;16.6
2025-10-19;09:18;Guaymaral;8;1.4;323.0;566.0;14.0;78.0;225.0;0.0;14.7
2025-10-19;09:18;Kennedy;9;1.8;125.0;;;65.0;221.0;0.1;
2025-10-19;09:18;Suba;11;2.0;23.0;;;;;0.0;13.0
2025-10-19;09:18;Puente Aranda;13;1.6;138.0;566.0;;61.0;256.0;0.0;15.9
2025-10-19;09:18;MinAmbiente;17;-9999.0;-9999.0;;;;;0.0;
2025-10-19;09:18;San Cristobal;24;2.1;153.0;;;60.0;189.0;0.0;14.1
2025-10-19;09:18;Movil 7ma;26;0.4;184.0;564.0;;51.9;357.0;0.0;15.8
2025-10-19;09:18;Bolivia;27;2.4;51.0;567.0;;80.0;297.0;0.0;13.4
2025-10-19;09:18;Fontibon;30;3.4;83.0;566.0;;56.0;;0.0;15.9
2025-10-19;09:18;Usme;32;;;564.0;;;169.0;0.0;14.8
2025-10-19;09:18;Jazmin;34;1.9;145.0;566.0;;58.0;346.0;0.0;15.9
2025-10-19;09:18;Ciudad Bolivar;37;;;559.0;;;207.0;0.0;14.3
2025-10-19;09:18;Colina;38;0.9;271.0;562.0;;;53.0;0.3;14.8
2025-10-19;09:18;Movil Fontibon;39;;;567.0;;;402.0;;15.8
2025-10-19;10:20;Usaquen;1;1.8;244.0;;;;;0.0;16.5
2025-10-19;10:20;Carvajal - Sevillana;3;3.7;242.0;;;;;0.0;17.9
2025-10-19;10:20;Tunal;4;2.5;164.0;565.0;;49.0;744.0;0.0;
2025-10-19;10:20;Centro de Alto Rendimiento;5;2.9;100.0;567.0;;52.0;381.0;0.0;15.4
2025-10-19;10:20;Las Ferias;6;;;566.0;;50.0;;0.0;17.1
2025-10-19;10:20;Guaymaral;8;1.6;124.0;566.0;15.8;60.0;272.0;0.0;16.4
2025-10-19;10:20;Kennedy;9;1.3;169.0;;;49.3;613.0;0.0;
2025-10-19;10:20;Suba;11;2.2;10.0;;;;;0.0;15.5
2025-10-19;10:20;Puente Aranda;13;2.3;159.0;565.0;;54.0;285.0;0.0;16.7
2025-10-19;10:20;MinAmbiente;17;-9999.0;-9999.0;;;;;0.0;
2025-10-19;10:20;San Cristobal;24;2.1;139.0;;;56.0;448.0;0.0;15.6
2025-10-19;10:20;Movil 7ma;26;0.8;180.0;564.0;;44.1;647.0;0.0;18.7
2025-10-19;10:20;Bolivia;27;2.3;90.0;567.0;;70.0;525.0;0.0;15.4
2025-10-19;10:20;Fontibon;30;5.4;84.0;566.0;;51.0;;0.0;16.5
2025-10-19;10:20;Usme;32;;;564.0;;;324.0;0.0;15.7
2025-10-19;10:20;Jazmin;34;3.0;152.0;566.0;;53.0;508.0;0.0;16.6
2025-10-19;10:20;Ciudad Bolivar;37;;;559.0;;;470.0;0.0;15.5
2025-10-19;10:20;Colina;38;0.9;271.0;562.0;;;53.0;0.3;14.8
2025-10-19;10:20;Movil Fontibon;39;;;566.0;;;444.0;;17.0
2025-10-19;11:25;Usaquen;1;0.6;234.0;;;;;0.0;16.6
2025-10-19;11:25;Carvajal - Sevillana;3;3.9;259.0;;;;;0.0;19.2
2025-10-19;11:25;Tunal;4;2.1;173.0;565.0;;44.0;794.0;0.0;
2025-10-19;11:25;Centro de Alto Rendimiento;5;2.2;116.0;566.0;;47.0;452.0;0.0;16.7
2025-10-19;11:25;Las Ferias;6;;;565.0;;46.0;;0.0;18.5
2025-10-19;11:25;Guaymaral;8;2.0;70.0;565.0;17.1;53.0;373.0;0.0;18.3
2025-10-19;11:25;Kennedy;9;1.4;184.0;;;42.4;610.0;0.0;
2025-10-19;11:25;Suba;11;2.3;77.0;;;;;0.0;17.6
2025-10-19;11:25;Puente Aranda;13;2.7;162.0;565.0;;52.0;504.0;0.0;17.6
2025-10-19;11:25;MinAmbiente;17;-9999.0;-9999.0;;;;;0.0;
2025-10-19;11:25;San Cristobal;24;2.0;130.0;;;50.0;734.0;0.0;17.6
2025-10-19;11:25;Movil 7ma;26;0.9;206.0;563.0;;40.5;655.0;0.0;20.0
2025-10-19;11:25;Bolivia;27;3.0;115.0;566.0;;61.0;711.0;0.0;16.9
2025-10-19;11:25;Fontibon;30;4.3;89.0;566.0;;48.0;;0.0;17.3
