Fecha;Hora;name;stationId;BBP;NOX;NO2;NO;eBC;SO2;PM25;PM10;OZONO;CO
2026-01-18;00:28;Usaquen;1;;-9999.0;-9999.0;-9999.0;;-9999.0;2.7;4.2;-9999.0;-9999.0
2026-01-18;00:28;Carvajal - Sevillana;3;;;;;;1.5;27.0;55.0;;1.03
2026-01-18;00:28;Tunal;4;6.6;34.0;4.3;29.8;1.1;0.8;5.0;24.0;11.6;-9999.0
2026-01-18;00:28;Centro de Alto Rendimiento;5;21.6;5.9;5.3;0.6;0.4;1.0;3.1;5.7;-9999.0;0.16
2026-01-18;00:28;Las Ferias;6;;8.3;6.8;1.4;;;9.0;4.1;16.6;0.22
2026-01-18;00:28;Guaymaral;8;;7.3;8.7;-1.4;;0.7;8.0;30.0;9.6;0.29
2026-01-18;00:28;Kennedy;9;-9999.0;28.8;18.5;10.2;-9999.0;1.0;7.4;15.0;0.0;0.86
2026-01-18;00:28;Suba;11;;22.1;14.3;7.8;;0.9;7.0;19.3;2.4;0.38
2026-01-18;00:28;Puente Aranda;13;5.9;23.2;17.3;5.9;1.2;1.3;6.3;-9999.0;6.4;0.22
2026-01-18;00:28;MinAmbiente;17;;9.6;6.3;3.3;;0.9;0.0;10.0;15.3;0.36
2026-01-18;00:28;San Cristobal;24;1.9;-9999.0;-9999.0;-9999.0;0.7;158.9;9.0;12.0;11.3;0.36
2026-01-18;00:28;Movil 7ma;26;;;;;;;3.1;8.2;;-9999.0
2026-01-18;00:28;Bolivia;27;;-9999.0;-9999.0;-9999.0;;;2.6;27.9;-9999.0;-9999.0
2026-01-18;00:28;Fontibon;30;4.2;49.1;22.8;26.3;4.1;1.2;7.7;20.1;1.9;1.07
2026-01-18;00:28;Usme;32;;15.2;10.3;4.9;;1.0;3.7;11.3;14.9;0.33
2026-01-18;00:28;Jazmin;34;;23.2;17.7;5.6;;0.7;5.0;6.7;8.2;0.37
2026-01-18;00:28;Ciudad Bolivar;37;-9999.0;18.2;9.3;8.8;-9999.0;1.5;3.7;16.8;17.8;0.16
2026-01-18;00:28;Colina;38;;7.5;5.8;1.8;;0.8;0.0;0.0;14.8;0.35
2026-01-18;00:28;Movil Fontibon;39;;-9999.0;-9999.0;-9999.0;;;7.9;46.6;;-9999.0
2026-01-18;01:38;Usaquen;1;;-9999.0;-9999.0;-9999.0;;-9999.0;2.9;6.3;-9999.0;-9999.0
2026-01-18;01:38;Carvajal - Sevillana;3;;;;;;1.5;27.0;55.0;;1.03
2026-01-18;01:38;Tunal;4;9.7;34.1;4.8;29.3;1.0;0.8;7.0;19.0;13.4;-9999.0
2026-01-18;01:38;Centro de Alto Rendimiento;5;22.9;7.4;6.8;0.6;0.6;1.0;3.1;7.0;-9999.0;0.19
2026-01-18;01:38;Las Ferias;6;;6.0;4.9;1.0;;;5.0;4.4;17.1;0.19
2026-01-18;01:38;Guaymaral;8;;8.9;7.4;1.5;;0.7;5.0;21.0;9.4;0.3
2026-01-18;01:38;Kennedy;9;-9999.0;22.7;15.9;6.8;-9999.0;1.3;6.8;21.7;0.0;0.72
2026-01-18;01:38;Suba;11;;14.4;12.5;1.8;;0.3;11.0;18.0;2.6;0.3
2026-01-18;01:38;Puente Aranda;13;7.2;20.1;16.6;3.3;1.0;1.2;5.5;-9999.0;6.6;0.19
2026-01-18;01:38;MinAmbiente;17;;10.2;7.0;3.2;;0.8;1.0;13.0;10.8;0.4
2026-01-18;01:38;San Cristobal;24;6.0;-9999.0;-9999.0;-9999.0;0.6;159.0;985.0;8.0;8.0;0.38
2026-01-18;01:38;Movil 7ma;26;;;;;;;3.1;19.9;;-9999.0
2026-01-18;01:38;Bolivia;27;;-9999.0;-9999.0;-9999.0;;;2.6;20.6;-9999.0;-9999.0
2026-01-18;01:38;Fontibon;30;9.3;46.7;23.1;23.6;3.1;1.2;20.0;39.0;1.7;0.89
2026-01-18;01:38;Usme;32;;13.2;11.1;2.1;;1.5;3.6;8.2;12.6;0.25
2026-01-18;01:38;Jazmin;34;;19.4;17.4;2.0;;1.0;5.4;5.9;7.5;0.31
2026-01-18;01:38;Ciudad Bolivar;37;-9999.0;16.9;8.4;8.5;-9999.0;1.0;3.7;13.9;18.8;0.0
2026-01-18;01:38;Colina;38;;7.5;5.8;1.8;;0.8;0.0;0.0;14.8;0.35
2026-01-18;01:38;Movil Fontibon;39;;-9999.0;-9999.0;-9999.0;;;6.1;50.9;;-9999.0
2026-01-18;02:24;Usaquen;1;;-9999.0;-9999.0;-9999.0;;-9999.0;5.0;5.6;-9999.0;-9999.0
2026-01-18;02:24;Carvajal - Sevillana;3;;;;;;1.5;27.0;55.0;;1.03
2026-01-18;02:24;Tunal;4;13.9;33.7;4.0;29.6;0.8;1.0;11.0;35.0;13.4;-9999.0
2026-01-18;02:24;Centro de Alto Rendimiento;5;17.8;8.2;7.4;0.7;0.8;1.0;3.2;7.2;-9999.0;0.2
2026-01-18;02:24;Las Ferias;6;;5.4;5.0;0.5;;;6.0;4.3;16.7;0.22
2026-01-18;02:24;Guaymaral;8;;8.9;7.3;1.6;;0.7;3.0;11.0;12.6;0.26
2026-01-18;02:24;Kennedy;9;-9999.0;19.0;14.8;4.1;-9999.0;1.8;6.5;15.7;0.0;0.64
2026-01-18;02:24;Suba;11;;12.3;11.2;1.1;;0.3;9.0;46.3;4.0;0.29
2026-01-18;02:24;Puente Aranda;13;4.6;14.9;12.7;2.1;0.8;1.5;4.7;-9999.0;10.0;0.11
2026-01-18;02:24;MinAmbiente;17;;12.9;9.5;3.4;;0.8;9.0;9.0;8.9;0.43
2026-01-18;02:24;San Cristobal;24;4.6;-9999.0;-9999.0;-9999.0;0.6;159.2;9.0;17.0;12.4;0.31
2026-01-18;02:24;Movil 7ma;26;;;;;;;3.5;27.5;;-9999.0
2026-01-18;02:24;Bolivia;27;;-9999.0;-9999.0;-9999.0;;;2.7;18.1;-9999.0;-9999.0
2026-01-18;02:24;Fontibon;30;7.1;26.2;20.6;5.6;2.0;0.9;9.0;39.9;3.1;0.69
2026-01-18;02:24;Usme;32;;9.3;7.4;2.0;;0.5;4.0;24.8;16.4;0.21
2026-01-18;02:24;Jazmin;34;;14.5;13.5;1.0;;1.5;5.3;13.0;10.2;0.24
2026-01-18;02:24;Ciudad Bolivar;37;-9999.0;15.4;7.2;8.2;-9999.0;1.1;3.7;19.0;19.8;-0.03
2026-01-18;02:24;Colina;38;;7.5;5.8;1.8;;0.8;0.0;0.0;14.8;0.35
2026-01-18;02:24;Movil Fontibon;39;;-9999.0;-9999.0;-9999.0;;;13.0;51.0;;-9999.0
2026-01-18;03:32;Usaquen;1;;-9999;-9999;-9999;;-9999;6.3;9;-9999;-9999
2026-01-18;03:32;Carvajal - Sevillana;3;;;;;;1.5;27;55;;1.03
2026-01-18;03:32;Tunal;4;11.2;34.2;3.1;31.1;0.7;0.9;9;53;15.2;-9999
2026-01-18;03:32;Centro de Alto Rendimiento;5;21.9;6.1;5.4;0.7;0.5;1;3.1;10.5;-9999;0.16
2026-01-18;03:32;Las Ferias;6;;2;2;0;;;7;4.3;19.2;0.14
2026-01-18;03:32;Guaymaral;8;;4.5;4.3;0.2;;0.7;4;13;13.9;0.24
2026-01-18;03:32;Kennedy;9;-9999;18.1;13.3;4.8;-9999;2.6;6.4;15.8;0;0.61
2026-01-18;03:32;Suba;11;;7.2;6.4;0.8;;0.2;7;31.6;7.5;0.22
2026-01-18;03:32;Puente Aranda;13;6.7;14.3;11.6;2.7;0.7;1.3;4.4;-9999;10;0.08
2026-01-18;03:32;MinAmbiente;17;;7.3;5.9;1.4;;0.8;5;11;13.6;0.28
2026-01-18;03:32;San Cristobal;24;5.2;-9999;-9999;-9999;0.4;159.3;985;9;16.6;0.2
