Fecha;Hora;name;stationId;SO2;PM25;CO;eBC;OZONO;NOX;PM10;NO2;NO;BBP
2025-12-12;00:27;Usaquen;1;-9999.0;2.0;-9999.0;;-9999.0;-9999.0;35.3;-9999.0;-9999.0;
2025-12-12;00:27;Carvajal - Sevillana;3;2.7;17.0;1.72;;;;74.0;;;
2025-12-12;00:27;Tunal;4;1.0;0.0;-9999.0;5.1;3.6;38.5;48.0;9.5;29.1;0.3
2025-12-12;00:27;Centro de Alto Rendimiento;5;0.5;4.9;0.68;4.3;-9999.0;38.4;12.5;13.9;24.5;3.8
2025-12-12;00:27;Las Ferias;6;;11.0;0.51;;0.8;33.2;11.4;16.8;16.4;
2025-12-12;00:27;Guaymaral;8;2.4;15.0;0.78;;0.2;81.1;56.0;16.6;64.6;
2025-12-12;00:27;Kennedy;9;1.4;11.7;1.52;7.3;0.2;88.4;33.7;23.4;65.1;8.3
2025-12-12;00:27;Suba;11;0.7;985.0;0.6;;0.5;39.4;76.8;14.7;24.7;
2025-12-12;00:27;Puente Aranda;13;1.4;12.5;1.15;-9999.0;0.8;100.6;30.6;21.8;79.3;0.1
2025-12-12;00:27;MinAmbiente;17;0.8;3.0;0.45;;-9999.0;15.5;13.0;8.6;6.8;
2025-12-12;00:27;San Cristobal;24;0.7;1.0;0.58;0.9;2.3;-9999.0;23.0;-9999.0;-9999.0;0.1
2025-12-12;00:27;Movil 7ma;26;;6.1;-9999.0;;;;24.6;;;
2025-12-12;00:27;Bolivia;27;;7.8;0.66;;0.5;40.7;44.0;17.5;23.1;
2025-12-12;00:27;Fontibon;30;-9999.0;9.0;0.67;4.4;1.9;50.8;-9999.0;22.1;28.7;7.1
2025-12-12;00:27;Usme;32;3.1;4.6;0.69;;9.5;9.6;24.8;7.9;1.7;
2025-12-12;00:27;Jazmin;34;0.7;4.8;1.39;;0.2;117.6;22.2;26.0;91.6;
2025-12-12;00:27;Ciudad Bolivar;37;1.4;3.2;0.58;2.7;7.8;60.9;17.8;19.2;41.7;11.7
2025-12-12;00:27;Colina;38;0.4;8.0;0.7;;-9999.0;86.3;2.4;62.8;23.5;
