Fecha;Hora;name;stationId;Rad Solar;Temperatura;Lluvia;Temperatura 8M;Dir Viento;Presion Baro;Vel Viento;Humedad
2025-12-30;00:28;Usaquen;1;;13.7;0.0;;113.0;;0.2;
2025-12-30;00:28;Carvajal - Sevillana;3;;11.9;0.0;;243.0;;1.6;
2025-12-30;00:28;Tunal;4;0.0;;0.0;;199.0;564.0;0.7;72.0
2025-12-30;00:28;Centro de Alto Rendimiento;5;0.0;14.2;0.0;;158.0;565.0;2.3;67.0
2025-12-30;00:28;Las Ferias;6;;14.1;0.0;;57.0;564.0;2.0;65.0
2025-12-30;00:28;Guaymaral;8;0.0;12.7;0.0;12.6;340.0;564.0;0.8;73.0
2025-12-30;00:28;Kennedy;9;0.0;;0.0;;186.0;;0.9;69.6
2025-12-30;00:28;Suba;11;;12.3;0.0;;4.0;;2.2;
2025-12-30;00:28;Puente Aranda;13;0.0;15.3;0.0;;193.0;564.0;1.2;72.0
2025-12-30;00:28;MinAmbiente;17;;;0.0;;-9999.0;;-9999.0;
2025-12-30;00:28;San Cristobal;24;0.0;12.4;0.0;;136.0;;0.5;72.0
2025-12-30;00:28;Movil 7ma;26;0.0;15.1;0.0;;287.0;563.0;0.4;57.4
2025-12-30;00:28;Bolivia;27;0.0;13.4;0.0;;38.0;565.0;1.9;80.0
2025-12-30;00:28;Fontibon;30;;14.1;0.0;;19.0;565.0;1.4;74.0
2025-12-30;00:28;Usme;32;0.0;14.2;0.0;;;563.0;;
2025-12-30;00:28;Jazmin;34;0.0;15.3;0.0;;187.0;564.0;1.0;68.0
2025-12-30;00:28;Ciudad Bolivar;37;0.0;13.9;0.0;;;558.0;;
2025-12-30;00:28;Colina;38;53.0;14.8;0.3;;271.0;562.0;0.9;
2025-12-30;00:28;Movil Fontibon;39;0.0;15.0;;;;565.0;;
2025-12-30;01:39;Usaquen;1;;13.0;0.0;;58.0;;1.0;
2025-12-30;01:39;Carvajal - Sevillana;3;;11.9;0.0;;243.0;;1.6;
2025-12-30;01:39;Tunal;4;0.0;;0.0;;184.0;563.0;0.7;75.0
2025-12-30;01:39;Centro de Alto Rendimiento;5;0.0;14.1;0.0;;118.0;565.0;2.5;66.0
2025-12-30;01:39;Las Ferias;6;;14.1;0.0;;52.0;564.0;1.7;62.0
2025-12-30;01:39;Guaymaral;8;0.0;12.7;0.0;12.7;102.0;564.0;0.9;75.0
2025-12-30;01:39;Kennedy;9;0.0;;0.0;;193.0;;0.9;69.4
2025-12-30;01:39;Suba;11;;11.7;0.0;;345.0;;1.7;
2025-12-30;01:39;Puente Aranda;13;0.0;15.0;0.0;;220.0;564.0;1.2;74.0
2025-12-30;01:39;MinAmbiente;17;;;0.0;;-9999.0;;-9999.0;
2025-12-30;01:39;San Cristobal;24;0.0;12.6;0.0;;105.0;;1.1;71.0
2025-12-30;01:39;Movil 7ma;26;0.0;14.4;0.0;;222.0;562.0;0.4;57.9
2025-12-30;01:39;Bolivia;27;0.0;12.9;0.0;;17.0;565.0;1.9;82.0
2025-12-30;01:39;Fontibon;30;;13.8;0.0;;25.0;564.0;1.9;75.0
2025-12-30;01:39;Usme;32;0.0;14.1;0.0;;;562.0;;
2025-12-30;01:39;Jazmin;34;0.0;14.8;0.0;;234.0;564.0;0.9;72.0
2025-12-30;01:39;Ciudad Bolivar;37;0.0;13.6;0.0;;;557.0;;
2025-12-30;01:39;Colina;38;53.0;14.8;0.3;;271.0;562.0;0.9;
2025-12-30;01:39;Movil Fontibon;39;1.0;14.7;;;;565.0;;
2025-12-30;02:27;Usaquen;1;;12.5;0.0;;357.0;;0.9;
2025-12-30;02:27;Carvajal - Sevillana;3;;11.9;0.0;;243.0;;1.6;
2025-12-30;02:27;Tunal;4;0.0;;0.0;;216.0;563.0;0.5;76.0
2025-12-30;02:27;Centro de Alto Rendimiento;5;0.0;13.1;0.0;;134.0;564.0;1.1;72.0
2025-12-30;02:27;Las Ferias;6;;13.6;0.0;;43.0;563.0;1.6;65.0
2025-12-30;02:27;Guaymaral;8;0.0;12.4;0.0;12.2;338.0;563.0;0.6;74.0
2025-12-30;02:27;Kennedy;9;0.0;;0.0;;195.0;;0.9;72.1
2025-12-30;02:27;Suba;11;;11.7;0.0;;11.0;;1.6;
2025-12-30;02:27;Puente Aranda;13;0.0;14.9;0.0;;241.0;563.0;0.8;74.0
2025-12-30;02:27;MinAmbiente;17;;;0.0;;-9999.0;;-9999.0;
2025-12-30;02:27;San Cristobal;24;0.0;11.8;0.0;;107.0;;1.1;75.0
2025-12-30;02:27;Movil 7ma;26;0.0;14.0;0.0;;208.0;562.0;0.4;60.4
2025-12-30;02:27;Bolivia;27;0.0;13.0;0.0;;43.0;564.0;1.6;81.0
