Fecha;Hora;name;stationId;Temperatura 8M;Humedad;Vel Viento;Dir Viento;Lluvia;Temperatura;Presion Baro;Rad Solar
2025-10-14;00:21;Usaquen;1;;;0.5;30.0;0.0;11.8;;
2025-10-14;00:21;Carvajal - Sevillana;3;;;;;0.0;12.9;;
2025-10-14;00:21;Tunal;4;;88.0;0.7;193.0;0.0;;563.0;1.0
2025-10-14;00:21;Centro de Alto Rendimiento;5;;87.0;0.3;106.0;0.1;9.1;565.0;0.0
2025-10-14;00:21;Las Ferias;6;;83.0;0.8;344.0;0.0;11.9;564.0;
2025-10-14;00:21;Guaymaral;8;11.4;85.0;0.6;337.0;0.0;11.5;564.0;0.0
2025-10-14;00:21;Kennedy;9;;76.1;1.3;234.0;0.0;;;0.0
2025-10-14;00:21;Suba;11;;;1.0;23.0;0.0;11.7;;
2025-10-14;00:21;Puente Aranda;13;;92.0;0.7;228.0;0.0;13.4;563.0;0.0
2025-10-14;00:21;MinAmbiente;17;;;-9999.0;-9999.0;0.0;;;
2025-10-14;00:21;San Cristobal;24;;82.0;0.7;169.0;0.0;11.0;;0.0
2025-10-14;00:21;Movil 7ma;26;;65.0;0.1;139.0;0.0;13.3;562.0;0.0
2025-10-14;00:21;Bolivia;27;;90.0;1.6;50.0;0.0;12.8;565.0;0.0
2025-10-14;00:21;Fontibon;30;;87.0;1.2;61.0;0.0;12.8;564.0;
2025-10-14;00:21;Usme;32;;;;;0.0;13.0;562.0;0.0
2025-10-14;00:21;Jazmin;34;;97.0;0.8;295.0;0.0;12.7;564.0;0.0
2025-10-14;00:21;Ciudad Bolivar;37;;;;;0.0;12.2;557.0;0.0
2025-10-14;00:21;Colina;38;;;0.7;322.0;0.0;12.6;564.0;0.0
2025-10-14;00:21;Movil Fontibon;39;;;;;;13.0;565.0;0.0
2025-10-14;01:34;Usaquen;1;;;1.2;103.0;0.0;11.5;;
2025-10-14;01:34;Carvajal - Sevillana;3;;;;;0.0;12.8;;
2025-10-14;01:34;Tunal;4;;88.0;0.9;168.0;0.0;;563.0;1.0
2025-10-14;01:34;Centro de Alto Rendimiento;5;;87.0;0.6;58.0;0.0;9.2;564.0;0.0
2025-10-14;01:34;Las Ferias;6;;80.0;1.6;358.0;0.0;12.0;563.0;
2025-10-14;01:34;Guaymaral;8;11.1;85.0;0.7;122.0;0.0;11.1;563.0;0.0
2025-10-14;01:34;Kennedy;9;;76.1;1.3;234.0;0.0;;;0.0
2025-10-14;01:34;Suba;11;;;1.1;65.0;0.0;11.4;;
2025-10-14;01:34;Puente Aranda;13;;82.0;1.3;45.0;0.0;13.9;563.0;0.0
2025-10-14;01:34;MinAmbiente;17;;;-9999.0;-9999.0;0.0;;;
2025-10-14;01:34;San Cristobal;24;;82.0;0.7;101.0;0.0;10.3;;0.0
2025-10-14;01:34;Movil 7ma;26;;64.1;0.2;25.0;0.0;13.2;562.0;0.0
2025-10-14;01:34;Bolivia;27;;91.0;1.8;49.0;0.0;12.5;564.0;0.0
2025-10-14;01:34;Fontibon;30;;86.0;1.5;45.0;0.0;12.5;564.0;
2025-10-14;01:34;Usme;32;;;;;0.0;12.9;562.0;0.0
2025-10-14;01:34;Jazmin;34;;93.0;0.7;296.0;0.1;12.8;563.0;0.0
2025-10-14;01:34;Ciudad Bolivar;37;;;;;0.0;12.1;557.0;0.0
2025-10-14;01:34;Colina;38;;;1.0;351.0;0.0;12.4;564.0;0.0
2025-10-14;01:34;Movil Fontibon;39;;;;;;12.9;564.0;0.0
2025-10-14;02:23;Usaquen;1;;;0.7;35;0;11.8;;
2025-10-14;02:23;Carvajal - Sevillana;3;;;;;0;12.4;;
2025-10-14;02:23;Tunal;4;;87;0.7;274;0;;562;1
2025-10-14;02:23;Centro de Alto Rendimiento;5;;87;0.1;297;0;9.4;564;0
2025-10-14;02:23;Las Ferias;6;;78;1.1;358;0;11.8;563;
2025-10-14;02:23;Guaymaral;8;11.3;83;0.7;263;0.1;11.2;563;0
2025-10-14;02:23;Kennedy;9;;76.1;1.3;234;0;;;0
2025-10-14;02:23;Suba;11;;;0.6;32;0;11;;
2025-10-14;02:23;Puente Aranda;13;;87;1;316;0;13.6;563;0
2025-10-14;02:23;MinAmbiente;17;;;-9999;-9999;0;;;
2025-10-14;02:23;San Cristobal;24;;84;1.2;111;0;10.1;;0
2025-10-14;02:23;Movil 7ma;26;;67.2;0;219;0;12.8;561;0
2025-10-14;02:23;Bolivia;27;;89;1.1;78;0;12.5;564;0
2025-10-14;02:23;Fontibon;30;;88;1.5;42;0;12.2;564;
2025-10-14;02:23;Usme;32;;;;;0;12.3;561;0
2025-10-14;02:23;Jazmin;34;;90;0.9;276;0;12.8;563;0
2025-10-14;02:23;Ciudad Bolivar;37;;;;;0;11.3;557;0
2025-10-14;02:23;Colina;38;;;0.5;317;0;11.7;563;0
2025-10-14;02:23;Movil Fontibon;39;;;;;;12.9;564;0
