Fecha;Hora;name;stationId;Presion Baro;Vel Viento;Rad Solar;Temperatura 8M;Temperatura;Humedad;Lluvia;Dir Viento
2025-10-31;00:24;Usaquen;1;;1.2;;;13.6;;0.0;92.0
2025-10-31;00:24;Carvajal - Sevillana;3;;2.2;;;15.1;;0.0;243.0
2025-10-31;00:24;Tunal;4;565.0;0.9;1.0;;;76.0;0.0;173.0
2025-10-31;00:24;Centro de Alto Rendimiento;5;566.0;0.5;0.0;;11.0;81.0;0.0;340.0
2025-10-31;00:24;Las Ferias;6;565.0;1.6;;;14.3;65.0;0.0;355.0
2025-10-31;00:24;Guaymaral;8;565.0;0.7;0.0;12.2;12.3;77.0;0.0;353.0
2025-10-31;00:24;Kennedy;9;;1.7;615.0;;;46.2;0.0;174.0
2025-10-31;00:24;Suba;11;;1.3;;;12.3;;0.0;24.0
2025-10-31;00:24;Puente Aranda;13;565.0;1.4;0.0;;15.0;77.0;0.0;206.0
2025-10-31;00:24;MinAmbiente;17;;-9999.0;;;;;0.0;-9999.0
2025-10-31;00:24;San Cristobal;24;;1.1;0.0;;12.5;73.0;0.0;107.0
2025-10-31;00:24;Movil 7ma;26;564.0;0.4;0.0;;15.2;58.2;0.0;185.0
2025-10-31;00:24;Bolivia;27;566.0;1.8;0.0;;13.5;83.0;0.0;62.0
2025-10-31;00:24;Fontibon;30;566.0;1.3;;;13.6;81.0;0.0;30.0
2025-10-31;00:24;Usme;32;564.0;;0.0;;14.1;;0.0;
2025-10-31;00:24;Jazmin;34;565.0;0.6;0.0;;14.8;75.0;0.0;221.0
2025-10-31;00:24;Ciudad Bolivar;37;559.0;;0.0;;14.2;;0.0;
2025-10-31;00:24;Colina;38;562.0;0.9;53.0;;14.8;;0.3;271.0
2025-10-31;00:24;Movil Fontibon;39;566.0;;1.0;;14.3;;;
2025-10-31;01:35;Usaquen;1;;1.8;;;13.4;;0.0;124.0
2025-10-31;01:35;Carvajal - Sevillana;3;;1.7;;;14.7;;0.0;246.0
2025-10-31;01:35;Tunal;4;564.0;0.6;1.0;;;75.0;0.0;192.0
2025-10-31;01:35;Centro de Alto Rendimiento;5;566.0;0.6;0.0;;10.9;81.0;0.0;300.0
2025-10-31;01:35;Las Ferias;6;565.0;1.5;;;13.7;69.0;0.0;355.0
2025-10-31;01:35;Guaymaral;8;565.0;0.7;0.0;12.1;12.1;78.0;0.0;318.0
2025-10-31;01:35;Kennedy;9;;1.7;615.0;;;46.2;0.0;174.0
2025-10-31;01:35;Suba;11;;1.1;;;11.8;;0.0;19.0
2025-10-31;01:35;Puente Aranda;13;565.0;1.4;0.0;;14.9;76.0;0.0;210.0
2025-10-31;01:35;MinAmbiente;17;;-9999.0;;;;;0.0;-9999.0
2025-10-31;01:35;San Cristobal;24;;1.1;0.0;;12.3;74.0;0.0;103.0
2025-10-31;01:35;Movil 7ma;26;563.0;0.4;0.0;;15.0;59.0;0.0;186.0
2025-10-31;01:35;Bolivia;27;566.0;1.8;0.0;;12.9;86.0;0.0;39.0
2025-10-31;01:35;Fontibon;30;565.0;1.8;;;13.0;83.0;0.0;21.0
2025-10-31;01:35;Usme;32;563.0;;0.0;;14.1;;0.0;
2025-10-31;01:35;Jazmin;34;565.0;0.7;0.0;;14.7;75.0;0.0;237.0
2025-10-31;01:35;Ciudad Bolivar;37;558.0;;0.0;;13.9;;0.0;
2025-10-31;01:35;Colina;38;562.0;0.9;53.0;;14.8;;0.3;271.0
2025-10-31;01:35;Movil Fontibon;39;566.0;;0.0;;13.9;;;
2025-10-31;02:22;Usaquen;1;;1.1;;;13.1;;0.0;352.0
2025-10-31;02:22;Carvajal - Sevillana;3;;0.8;;;14.1;;0.0;30.0
2025-10-31;02:22;Tunal;4;564.0;0.5;1.0;;;76.0;0.0;236.0
2025-10-31;02:22;Centro de Alto Rendimiento;5;565.0;0.7;0.0;;11.3;78.0;0.0;330.0
2025-10-31;02:22;Las Ferias;6;564.0;0.6;;;13.2;72.0;0.0;294.0
2025-10-31;02:22;Guaymaral;8;564.0;0.6;0.0;11.9;12.0;79.0;0.0;311.0
2025-10-31;02:22;Kennedy;9;;1.7;615.0;;;46.2;0.0;174.0
2025-10-31;02:22;Suba;11;;1.3;;;11.8;;0.0;33.0
2025-10-31;02:22;Puente Aranda;13;564.0;0.9;0.0;;14.4;84.0;0.0;284.0
2025-10-31;02:22;MinAmbiente;17;;-9999.0;;;;;0.0;-9999.0
2025-10-31;02:22;San Cristobal;24;;1.4;0.0;;12.1;74.0;0.0;109.0
2025-10-31;02:22;Movil 7ma;26;563.0;0.2;0.0;;14.7;63.4;0.0;312.0
2025-10-31;02:22;Bolivia;27;565.0;1.4;0.0;;13.1;85.0;0.0;52.0
2025-10-31;02:22;Fontibon;30;565.0;1.6;;;12.7;85.0;0.0;27.0
2025-10-31;02:22;Usme;32;563.0;;0.0;;13.6;;0.0;
2025-10-31;02:22;Jazmin;34;565.0;0.7;0.0;;14.3;80.0;0.0;304.0
2025-10-31;02:22;Ciudad Bolivar;37;558.0;;0.0;;13.0;;0.0;
2025-10-31;02:22;Colina;38;562.0;0.9;53.0;;14.8;;0.3;271.0
2025-10-31;02:22;Movil Fontibon;39;565.0;;1.0;;13.4;;;
2025-10-31;03:30;Usaquen;1;;1.0;;;13.0;;0.0;349.0
2025-10-31;03:30;Carvajal - Sevillana;3;;0.7;;;13.3;;0.0;32.0
2025-10-31;03:30;Tunal;4;564.0;0.5;1.0;;;75.0;0.0;242.0
2025-10-31;03:30;Centro de Alto Rendimiento;5;565.0;0.4;0.0;;10.9;81.0;0.0;292.0
2025-10-31;03:30;Las Ferias;6;564.0;0.6;;;13.2;73.0;0.0;354.0
2025-10-31;03:30;Guaymaral;8;564.0;0.5;0.0;11.8;12.0;80.0;0.0;333.0
2025-10-31;03:30;Kennedy;9;;1.7;615.0;;;46.2;0.0;174.0
2025-10-31;03:30;Suba;11;;1.3;;;11.6;;0.0;24.0
2025-10-31;03:30;Puente Aranda;13;564.0;0.8;0.0;;14.2;86.0;0.0;275.0
2025-10-31;03:30;MinAmbiente;17;;-9999.0;;;;;0.0;-9999.0
2025-10-31;03:30;San Cristobal;24;;1.1;0.0;;11.7;76.0;0.0;104.0
2025-10-31;03:30;Movil 7ma;26;562.0;0.2;0.0;;14.4;63.9;0.0;72.0
2025-10-31;03:30;Bolivia;27;565.0;1.1;0.0;;12.9;86.0;0.0;55.0
2025-10-31;03:30;Fontibon;30;565.0;0.9;;;12.7;85.0;0.0;33.0
2025-10-31;03:30;Usme;32;562.0;;0.0;;12.6;;0.0;
2025-10-31;03:30;Jazmin;34;564.0;0.6;0.0;;14.0;81.0;0.0;283.0
2025-10-31;03:30;Ciudad Bolivar;37;558.0;;0.0;;12.3;;0.0;
2025-10-31;03:30;Colina;38;562.0;0.9;53.0;;14.8;;0.3;271.0
2025-10-31;03:30;Movil Fontibon;39;565.0;;1.0;;13.4;;;
2025-10-31;04:26;Usaquen;1;;0.7;;;12.6;;0.0;21.0
2025-10-31;04:26;Carvajal - Sevillana;3;;0.6;;;12.8;;0.0;34.0
2025-10-31;04:26;Tunal;4;563.0;0.4;1.0;;;77.0;0.0;218.0
2025-10-31;04:26;Centro de Alto Rendimiento;5;565.0;0.4;0.0;;10.2;83.0;0.0;272.0
2025-10-31;04:26;Las Ferias;6;564.0;0.9;;;12.9;73.0;0.0;352.0
2025-10-31;04:26;Guaymaral;8;564.0;0.5;0.0;11.4;11.4;80.0;0.0;0.0
2025-10-31;04:26;Kennedy;9;;1.7;615.0;;;46.2;0.0;174.0
2025-10-31;04:26;Suba;11;;0.8;;;11.4;;0.0;41.0
2025-10-31;04:26;Puente Aranda;13;564.0;0.9;0.0;;14.1;84.0;0.0;222.0
2025-10-31;04:26;MinAmbiente;17;;-9999.0;;;;;0.0;-9999.0
2025-10-31;04:26;San Cristobal;24;;0.8;0.0;;11.4;76.0;0.0;98.0
2025-10-31;04:26;Movil 7ma;26;562.0;0.1;0.0;;14.2;65.1;0.0;101.0
2025-10-31;04:26;Bolivia;27;565.0;1.0;0.0;;12.5;87.0;0.0;353.0
2025-10-31;04:26;Fontibon;30;565.0;1.0;;;12.6;85.0;0.0;22.0
2025-10-31;04:26;Usme;32;562.0;;0.0;;12.3;;0.0;
2025-10-31;04:26;Jazmin;34;564.0;0.6;0.0;;13.7;79.0;0.0;260.0
2025-10-31;04:26;Ciudad Bolivar;37;558.0;;0.0;;11.9;;0.0;
2025-10-31;04:26;Colina;38;562.0;0.9;53.0;;14.8;;0.3;271.0
2025-10-31;04:26;Movil Fontibon;39;565.0;;0.0;;12.8;;;
2025-10-31;05:25;Usaquen;1;;0.9;;;12.7;;0.0;343.0
2025-10-31;05:25;Carvajal - Sevillana;3;;0.8;;;13.0;;0.0;38.0
2025-10-31;05:25;Tunal;4;563.0;0.6;1.0;;;76.0;0.0;266.0
2025-10-31;05:25;Centro de Alto Rendimiento;5;565.0;0.6;0.0;;10.0;85.0;0.0;0.0
2025-10-31;05:25;Las Ferias;6;564.0;1.3;;;12.7;74.0;0.0;355.0
2025-10-31;05:25;Guaymaral;8;564.0;0.9;0.0;11.5;11.2;82.0;0.0;114.0
2025-10-31;05:25;Kennedy;9;;1.7;615.0;;;46.2;0.0;174.0
2025-10-31;05:25;Suba;11;;1.1;;;11.0;;0.0;21.0
2025-10-31;05:25;Puente Aranda;13;564.0;1.0;0.0;;14.1;86.0;0.0;357.0
2025-10-31;05:25;MinAmbiente;17;;-9999.0;;;;;0.0;-9999.0
2025-10-31;05:25;San Cristobal;24;;0.9;0.0;;12.2;72.0;0.0;109.0
2025-10-31;05:25;Movil 7ma;26;562.0;0.4;0.0;;14.0;66.5;0.0;24.0
2025-10-31;05:25;Bolivia;27;565.0;1.7;0.0;;12.6;87.0;0.0;56.0
2025-10-31;05:25;Fontibon;30;565.0;1.5;;;12.5;86.0;0.0;37.0
2025-10-31;05:25;Usme;32;562.0;;0.0;;13.6;;0.0;
2025-10-31;05:25;Jazmin;34;564.0;0.8;0.0;;13.7;82.0;0.0;285.0
2025-10-31;05:25;Ciudad Bolivar;37;558.0;;0.0;;12.1;;0.0;
2025-10-31;05:25;Colina;38;562.0;0.9;53.0;;14.8;;0.3;271.0
2025-10-31;05:25;Movil Fontibon;39;565.0;;0.0;;13.1;;;
2025-10-31;06:19;Usaquen;1;;1.0;;;12.7;;0.0;85.0
2025-10-31;06:19;Carvajal - Sevillana;3;;1.1;;;12.8;;0.0;66.0
2025-10-31;06:19;Tunal;4;564.0;0.5;4.0;;;78.0;0.0;273.0
2025-10-31;06:19;Centro de Alto Rendimiento;5;565.0;0.3;2.0;;9.7;85.0;0.0;310.0
2025-10-31;06:19;Las Ferias;6;564.0;1.5;;;12.7;74.0;0.0;7.0
2025-10-31;06:19;Guaymaral;8;564.0;0.7;0.0;12.0;12.1;80.0;0.0;345.0
2025-10-31;06:19;Kennedy;9;;1.7;615.0;;;46.2;0.0;174.0
2025-10-31;06:19;Suba;11;;1.3;;;10.9;;0.0;26.0
2025-10-31;06:19;Puente Aranda;13;564.0;1.0;3.0;;14.0;85.0;0.0;299.0
2025-10-31;06:19;MinAmbiente;17;;-9999.0;;;;;0.0;-9999.0
2025-10-31;06:19;San Cristobal;24;;0.5;1.0;;12.2;73.0;0.0;97.0
2025-10-31;06:19;Movil 7ma;26;563.0;0.1;2.0;;13.7;66.4;0.0;176.0
2025-10-31;06:19;Bolivia;27;565.0;1.7;2.0;;12.4;87.0;0.0;47.0
2025-10-31;06:19;Fontibon;30;565.0;1.7;;;12.4;85.0;0.0;36.0
2025-10-31;06:19;Usme;32;563.0;;2.0;;13.2;;0.0;
2025-10-31;06:19;Jazmin;34;565.0;0.9;4.0;;13.5;87.0;0.0;298.0
2025-10-31;06:19;Ciudad Bolivar;37;558.0;;1.0;;12.6;;0.0;
2025-10-31;06:19;Colina;38;562.0;0.9;53.0;;14.8;;0.3;271.0
2025-10-31;06:19;Movil Fontibon;39;565.0;;4.0;;12.8;;;
2025-10-31;07:49;Usaquen;1;;2.9;;;13.3;;0.0;110.0
2025-10-31;07:49;Carvajal - Sevillana;3;;1.0;;;13.4;;0.0;45.0
2025-10-31;07:49;Tunal;4;564.0;0.4;74.0;;;76.0;0.0;213.0
2025-10-31;07:49;Centro de Alto Rendimiento;5;566.0;0.7;44.0;;11.2;83.0;0.0;292.0
2025-10-31;07:49;Las Ferias;6;565.0;1.5;;;13.8;67.0;0.0;8.0
2025-10-31;07:49;Guaymaral;8;565.0;0.8;9.0;12.1;12.4;81.0;0.0;324.0
2025-10-31;07:49;Kennedy;9;;1.7;615.0;;;46.2;0.0;174.0
2025-10-31;07:49;Suba;11;;1.7;;;11.4;;0.0;13.0
2025-10-31;07:49;Puente Aranda;13;565.0;1.0;44.0;;13.9;86.0;0.0;259.0
2025-10-31;07:49;MinAmbiente;17;;-9999.0;;;;;0.0;-9999.0
2025-10-31;07:49;San Cristobal;24;;0.1;45.0;;12.8;73.0;0.0;126.0
2025-10-31;07:49;Movil 7ma;26;563.0;0.2;45.0;;14.4;63.0;0.0;218.0
2025-10-31;07:49;Bolivia;27;566.0;1.8;51.0;;12.7;86.0;0.0;43.0
2025-10-31;07:49;Fontibon;30;565.0;0.8;;;12.9;84.0;0.0;32.0
2025-10-31;07:49;Usme;32;563.0;;39.0;;13.5;;0.0;
2025-10-31;07:49;Jazmin;34;565.0;0.8;63.0;;14.0;85.0;0.0;267.0
2025-10-31;07:49;Ciudad Bolivar;37;558.0;;52.0;;12.9;;0.0;
2025-10-31;07:49;Colina;38;562.0;0.9;53.0;;14.8;;0.3;271.0
2025-10-31;07:49;Movil Fontibon;39;566.0;;51.0;;12.9;;;
2025-10-31;08:33;Usaquen;1;;1.7;;;14.1;;0.0;115.0
2025-10-31;08:33;Carvajal - Sevillana;3;;1.3;;;15.4;;0.0;43.0
2025-10-31;08:33;Tunal;4;565.0;0.8;144.0;;;70.0;0.0;210.0
2025-10-31;08:33;Centro de Alto Rendimiento;5;566.0;0.7;126.0;;13.9;68.0;0.0;308.0
2025-10-31;08:33;Las Ferias;6;565.0;2.0;;;15.2;63.0;0.0;10.0
2025-10-31;08:33;Guaymaral;8;565.0;0.8;42.0;13.8;14.1;76.0;0.0;297.0
2025-10-31;08:33;Kennedy;9;;1.7;615.0;;;46.2;0.0;174.0
2025-10-31;08:33;Suba;11;;1.5;;;12.7;;0.0;8.0
2025-10-31;08:33;Puente Aranda;13;565.0;1.2;129.0;;14.6;82.0;0.0;255.0
2025-10-31;08:33;MinAmbiente;17;;-9999.0;;;;;0.0;-9999.0
2025-10-31;08:33;San Cristobal;24;;1.1;92.0;;14.0;66.0;0.0;140.0
2025-10-31;08:33;Movil 7ma;26;564.0;0.2;120.0;;15.6;60.7;0.0;331.0
2025-10-31;08:33;Bolivia;27;566.0;1.7;131.0;;13.5;83.0;0.0;29.0
2025-10-31;08:33;Fontibon;30;566.0;0.9;;;14.2;77.0;0.0;352.0
2025-10-31;08:33;Usme;32;564.0;;122.0;;15.1;;0.0;
2025-10-31;08:33;Jazmin;34;566.0;1.2;151.0;;14.9;79.0;0.0;291.0
2025-10-31;08:33;Ciudad Bolivar;37;559.0;;141.0;;14.3;;0.0;
2025-10-31;08:33;Colina;38;562.0;0.9;53.0;;14.8;;0.3;271.0
2025-10-31;08:33;Movil Fontibon;39;566.0;;166.0;;13.3;;;
2025-10-31;09:24;Usaquen;1;;0.9;;;15.7;;0.0;73.0
2025-10-31;09:24;Carvajal - Sevillana;3;;2.2;;;17.2;;0.0;275.0
2025-10-31;09:24;Tunal;4;565.0;1.2;262.0;;;60.0;0.0;208.0
2025-10-31;09:24;Centro de Alto Rendimiento;5;567.0;1.6;182.0;;15.4;60.0;0.0;304.0
2025-10-31;09:24;Las Ferias;6;566.0;1.7;;;17.3;58.0;0.0;339.0
2025-10-31;09:24;Guaymaral;8;566.0;1.3;54.0;14.8;15.2;68.0;0.0;319.0
2025-10-31;09:24;Kennedy;9;;1.7;615.0;;;46.2;0.0;174.0
2025-10-31;09:24;Suba;11;;2.3;;;14.6;;0.0;357.0
2025-10-31;09:24;Puente Aranda;13;565.0;1.2;141.0;;15.7;75.0;0.0;280.0
2025-10-31;09:24;MinAmbiente;17;;-9999.0;;;;;0.0;-9999.0
2025-10-31;09:24;San Cristobal;24;;1.4;179.0;;15.2;62.0;0.0;129.0
2025-10-31;09:24;Movil 7ma;26;564.0;0.2;157.0;;17.0;55.7;0.0;222.0
2025-10-31;09:24;Bolivia;27;567.0;2.0;245.0;;14.6;79.0;0.0;21.0
2025-10-31;09:24;Fontibon;30;566.0;1.6;;;15.5;70.0;0.0;352.0
2025-10-31;09:24;Usme;32;564.0;;215.0;;15.9;;0.0;
2025-10-31;09:24;Jazmin;34;566.0;1.2;244.0;;16.2;68.0;0.0;310.0
2025-10-31;09:24;Ciudad Bolivar;37;559.0;;208.0;;15.2;;0.0;
2025-10-31;09:24;Colina;38;562.0;0.9;53.0;;14.8;;0.3;271.0
2025-10-31;09:24;Movil Fontibon;39;567.0;;255.0;;15.7;;;
2025-10-31;10:23;Usaquen;1;;1.2;;;15.6;;0.0;89.0
2025-10-31;10:23;Carvajal - Sevillana;3;;0.2;;;17.3;;0.0;70.0
2025-10-31;10:23;Tunal;4;565.0;1.4;177.0;;;55.0;0.0;183.0
2025-10-31;10:23;Centro de Alto Rendimiento;5;567.0;2.1;140.0;;14.9;64.0;0.0;0.0
2025-10-31;10:23;Las Ferias;6;566.0;1.8;;;16.5;60.0;0.0;338.0
2025-10-31;10:23;Guaymaral;8;566.0;1.7;60.0;15.0;15.6;66.0;0.0;6.0
2025-10-31;10:23;Kennedy;9;;1.7;615.0;;;46.2;0.0;174.0
2025-10-31;10:23;Suba;11;;2.6;;;15.4;;0.0;358.0
2025-10-31;10:23;Puente Aranda;13;566.0;1.5;105.0;;16.1;74.0;0.0;327.0
2025-10-31;10:23;MinAmbiente;17;;-9999.0;;;;;0.0;-9999.0
2025-10-31;10:23;San Cristobal;24;;1.4;110.0;;15.2;61.0;0.0;121.0
2025-10-31;10:23;Movil 7ma;26;564.0;0.2;110.0;;17.1;56.1;0.0;344.0
2025-10-31;10:23;Bolivia;27;567.0;2.4;230.0;;15.1;77.0;0.0;39.0
2025-10-31;10:23;Fontibon;30;566.0;3.0;;;15.1;71.0;0.0;31.0
2025-10-31;10:23;Usme;32;564.0;;173.0;;16.2;;0.0;
2025-10-31;10:23;Jazmin;34;566.0;1.6;113.0;;16.3;67.0;0.0;328.0
2025-10-31;10:23;Ciudad Bolivar;37;559.0;;168.0;;15.6;;0.0;
2025-10-31;10:23;Colina;38;562.0;0.9;53.0;;14.8;;0.3;271.0
2025-10-31;10:23;Movil Fontibon;39;567.0;;120.0;;15.6;;;
2025-10-31;11:30;Usaquen;1;;0.5;;;17.5;;0.0;56.0
2025-10-31;11:30;Carvajal - Sevillana;3;;1.1;;;17.7;;0.0;116.0
2025-10-31;11:30;Tunal;4;565.0;1.2;320.0;;;60.0;0.0;317.0
2025-10-31;11:30;Centro de Alto Rendimiento;5;566.0;1.4;324.0;;17.0;56.0;0.0;348.0
2025-10-31;11:30;Las Ferias;6;565.0;1.7;;;18.7;53.0;0.0;1.0
2025-10-31;11:30;Guaymaral;8;565.0;1.5;190.0;16.4;16.9;62.0;0.0;105.0
2025-10-31;11:30;Kennedy;9;;1.7;615.0;;;46.2;0.0;174.0
2025-10-31;11:30;Suba;11;;2.5;;;17.4;;0.0;34.0
2025-10-31;11:30;Puente Aranda;13;565.0;1.1;261.0;;16.8;70.0;0.0;10.0
2025-10-31;11:30;MinAmbiente;17;;-9999.0;;;;;0.0;-9999.0
2025-10-31;11:30;San Cristobal;24;;1.3;270.0;;16.6;56.0;0.0;140.0
2025-10-31;11:30;Movil 7ma;26;563.0;0.3;256.0;;18.1;52.8;0.0;240.0
2025-10-31;11:30;Bolivia;27;566.0;2.4;597.0;;16.5;71.0;0.0;61.0
2025-10-31;11:30;Fontibon;30;566.0;2.6;;;16.7;64.0;0.0;42.0
2025-10-31;11:30;Usme;32;564.0;;274.0;;16.9;;0.0;
2025-10-31;11:30;Jazmin;34;565.0;1.1;292.0;;16.6;68.0;0.0;327.0
2025-10-31;11:30;Ciudad Bolivar;37;559.0;;281.0;;16.0;;0.0;
2025-10-31;11:30;Colina;38;562.0;0.9;53.0;;14.8;;0.3;271.0
2025-10-31;11:30;Movil Fontibon;39;566.0;;456.0;;16.8;;;
2025-10-31;12:21;Usaquen;1;;1.8;;;16.9;;0.0;75.0
2025-10-31;12:21;Carvajal - Sevillana;3;;1.9;;;19.3;;0.0;232.0
2025-10-31;12:21;Tunal;4;564.0;1.4;359.0;;;51.0;0.0;205.0
2025-10-31;12:21;Centro de Alto Rendimiento;5;566.0;1.5;422.0;;17.5;52.0;0.0;174.0
2025-10-31;12:21;Las Ferias;6;564.0;2.4;;;18.7;51.0;0.0;39.0
2025-10-31;12:21;Guaymaral;8;564.0;2.0;190.0;16.5;17.3;58.0;0.0;108.0
2025-10-31;12:21;Kennedy;9;;1.7;615.0;;;46.2;0.0;174.0
2025-10-31;12:21;Suba;11;;3.1;;;19.0;;0.0;75.0
2025-10-31;12:21;Puente Aranda;13;564.0;1.4;336.0;;17.9;61.0;0.0;193.0
2025-10-31;12:21;MinAmbiente;17;;-9999.0;;;;;0.0;-9999.0
2025-10-31;12:21;San Cristobal;24;;2.3;272.0;;17.2;54.0;0.0;114.0
2025-10-31;12:21;Movil 7ma;26;563.0;2.1;315.0;;19.0;49.7;0.0;186.0
2025-10-31;12:21;Bolivia;27;565.0;3.1;404.0;;17.3;66.0;0.0;78.0
2025-10-31;12:21;Fontibon;30;565.0;1.2;;;18.4;54.0;0.0;114.0
2025-10-31;12:21;Usme;32;563.0;;374.0;;17.5;;0.0;
2025-10-31;12:21;Jazmin;34;565.0;1.4;366.0;;18.0;56.0;0.0;143.0
2025-10-31;12:21;Ciudad Bolivar;37;558.0;;454.0;;17.3;;0.0;
2025-10-31;12:21;Colina;38;562.0;0.9;53.0;;14.8;;0.3;271.0
2025-10-31;12:21;Movil Fontibon;39;565.0;;439.0;;18.2;;;
2025-10-31;13:34;Usaquen;1;;2.3;;;17.7;;0.0;137.0
2025-10-31;13:34;Carvajal - Sevillana;3;;3.6;;;18.6;;0.0;248.0
2025-10-31;13:34;Tunal;4;563.0;2.1;253.0;;;51.0;0.0;173.0
2025-10-31;13:34;Centro de Alto Rendimiento;5;565.0;2.4;229.0;;16.3;54.0;0.0;146.0
2025-10-31;13:34;Las Ferias;6;564.0;2.2;;;19.1;49.0;0.0;88.0
2025-10-31;13:34;Guaymaral;8;564.0;1.9;267.0;17.8;18.4;57.0;0.0;127.0
2025-10-31;13:34;Kennedy;9;;1.7;615.0;;;46.2;0.0;174.0
2025-10-31;13:34;Suba;11;;2.8;;;18.0;;0.0;59.0
2025-10-31;13:34;Puente Aranda;13;564.0;2.6;160.0;;17.7;60.0;0.0;144.0
2025-10-31;13:34;MinAmbiente;17;;-9999.0;;;;;0.0;-9999.0
2025-10-31;13:34;San Cristobal;24;;2.8;274.0;;16.4;58.0;0.0;120.0
2025-10-31;13:34;Movil 7ma;26;562.0;2.3;245.0;;18.6;50.0;0.0;166.0
2025-10-31;13:34;Bolivia;27;565.0;2.3;221.0;;17.3;67.0;0.0;112.0
2025-10-31;13:34;Fontibon;30;564.0;3.5;;;17.9;54.0;0.0;130.0
2025-10-31;13:34;Usme;32;562.0;;298.0;;17.0;;0.0;
2025-10-31;13:34;Jazmin;34;564.0;3.4;252.0;;17.6;57.0;0.0;145.0
2025-10-31;13:34;Ciudad Bolivar;37;558.0;;230.0;;16.7;;0.0;
2025-10-31;13:34;Colina;38;562.0;0.9;53.0;;14.8;;0.3;271.0
2025-10-31;13:34;Movil Fontibon;39;565.0;;261.0;;18.1;;;
2025-10-31;14:17;Usaquen;1;;3.7;;;17.0;;0.0;132.0
2025-10-31;14:17;Carvajal - Sevillana;3;;3.1;;;18.7;;0.0;245.0
2025-10-31;14:17;Tunal;4;563.0;1.6;256.0;;;51.0;0.0;165.0
2025-10-31;14:17;Centro de Alto Rendimiento;5;565.0;1.4;211.0;;16.0;56.0;0.0;114.0
2025-10-31;14:17;Las Ferias;6;564.0;1.7;;;18.8;52.0;0.0;111.0
2025-10-31;14:17;Guaymaral;8;563.0;1.7;210.0;18.0;18.5;53.0;0.0;148.0
2025-10-31;14:17;Kennedy;9;;1.7;615.0;;;46.2;0.0;174.0
2025-10-31;14:17;Suba;11;;2.5;;;18.5;;0.0;89.0
2025-10-31;14:17;Puente Aranda;13;563.0;2.0;210.0;;17.7;60.0;0.0;161.0
2025-10-31;14:17;MinAmbiente;17;;-9999.0;;;;;0.0;-9999.0
2025-10-31;14:17;San Cristobal;24;;2.4;209.0;;16.4;59.0;0.0;132.0
2025-10-31;14:17;Movil 7ma;26;562.0;1.9;224.0;;17.7;52.6;0.0;163.0
