Fecha;Hora;name;stationId;eBC;NO2;OZONO;NOX;SO2;NO;PM25;CO;BBP;PM10
2025-12-23;00:28;Usaquen;1;;-9999.0;-9999.0;-9999.0;-9999.0;-9999.0;5.0;-9999.0;;33.4
2025-12-23;00:28;Carvajal - Sevillana;3;;;;;1.1;;17.0;1.45;;59.0
2025-12-23;00:28;Tunal;4;0.8;5.9;20.0;10.4;-1.7;4.5;10.0;-9999.0;14.5;22.0
2025-12-23;00:28;Centro de Alto Rendimiento;5;3.0;15.7;-9999.0;17.5;1.2;1.8;52.8;0.42;4.4;22.5
2025-12-23;00:28;Las Ferias;6;;31.8;2.1;43.4;;11.7;16.0;0.6;;15.5
2025-12-23;00:28;Guaymaral;8;;17.6;0.5;63.7;1.9;46.1;17.0;0.53;;29.0
2025-12-23;00:28;Kennedy;9;1.1;12.2;25.6;13.2;0.9;1.0;20.9;0.47;7.3;30.9
2025-12-23;00:28;Suba;11;;17.5;1.5;21.7;0.7;4.2;14.0;0.37;;23.4
2025-12-23;00:28;Puente Aranda;13;2.7;23.9;8.8;29.4;1.4;5.5;12.2;0.24;0.5;24.7
2025-12-23;00:28;MinAmbiente;17;;7.2;4.7;12.4;0.8;5.1;9.0;0.35;;17.0
2025-12-23;00:28;San Cristobal;24;1.3;0.1;0.9;1.4;0.9;1.3;10.0;0.43;6.5;21.0
2025-12-23;00:28;Movil 7ma;26;;;;;;;17.7;-9999.0;;46.4
2025-12-23;00:28;Bolivia;27;;22.7;6.3;26.7;;3.9;23.5;0.53;;63.1
2025-12-23;00:28;Fontibon;30;4.5;12.6;15.3;13.1;0.7;0.6;22.0;0.4;0.0;46.0
2025-12-23;00:28;Usme;32;;23.3;0.8;44.0;1.2;20.7;16.6;0.8;;40.5
2025-12-23;00:28;Jazmin;34;;36.3;1.0;48.3;1.1;12.0;16.6;0.67;;29.4
2025-12-23;00:28;Ciudad Bolivar;37;1.7;18.1;23.6;28.9;1.3;10.8;15.2;0.11;9.2;36.4
2025-12-23;00:28;Colina;38;;62.8;-9999.0;86.3;0.4;23.5;8.0;0.7;;2.4
2025-12-23;00:28;Movil Fontibon;39;;-9999.0;;-9999.0;;-9999.0;19.7;-9999.0;;56.9
2025-12-23;01:40;Usaquen;1;;-9999.0;-9999.0;-9999.0;-9999.0;-9999.0;4.8;-9999.0;;47.7
2025-12-23;01:40;Carvajal - Sevillana;3;;;;;1.0;;16.0;1.37;;47.0
2025-12-23;01:40;Tunal;4;0.8;5.9;20.0;10.4;-1.7;4.5;10.0;-9999.0;14.5;22.0
2025-12-23;01:40;Centro de Alto Rendimiento;5;3.7;8.5;-9999.0;13.7;1.0;5.2;71.2;0.6;11.0;29.1
2025-12-23;01:40;Las Ferias;6;;25.5;2.1;33.9;;8.4;15.0;0.5;;19.9
2025-12-23;01:40;Guaymaral;8;;15.3;0.5;69.7;2.3;54.4;9.0;0.51;;36.0
2025-12-23;01:40;Kennedy;9;0.9;11.3;27.0;12.1;0.5;0.8;19.1;0.43;6.8;22.3
2025-12-23;01:40;Suba;11;;17.2;0.8;26.2;0.4;9.0;10.0;0.34;;23.8
