Fecha;Hora;name;stationId;Dir Viento;Vel Viento;Temperatura;Presion Baro;Temperatura 8M;Humedad;Lluvia;Rad Solar
2025-12-23;00:28;Usaquen;1;113.0;0.6;11.4;;;;0.0;
2025-12-23;00:28;Carvajal - Sevillana;3;337.0;1.4;14.7;;;;0.0;
2025-12-23;00:28;Tunal;4;187.0;1.0;;563.0;;64.0;0.0;0.0
2025-12-23;00:28;Centro de Alto Rendimiento;5;270.0;1.5;13.4;564.0;;89.0;0.1;0.0
2025-12-23;00:28;Las Ferias;6;243.0;0.5;13.2;563.0;;83.0;0.0;
2025-12-23;00:28;Guaymaral;8;303.0;0.7;11.8;563.0;11.8;80.0;0.0;0.0
2025-12-23;00:28;Kennedy;9;258.0;1.7;;;;84.3;0.0;0.0
2025-12-23;00:28;Suba;11;359.0;0.8;13.2;;;;0.0;
2025-12-23;00:28;Puente Aranda;13;222.0;1.7;14.5;563.0;;93.0;0.0;1.0
2025-12-23;00:28;MinAmbiente;17;-9999.0;-9999.0;;;;;0.1;
2025-12-23;00:28;San Cristobal;24;106.0;0.8;11.2;;;89.0;0.1;0.0
2025-12-23;00:28;Movil 7ma;26;210.0;0.3;14.1;562.0;;74.0;0.0;0.0
2025-12-23;00:28;Bolivia;27;299.0;0.8;13.9;564.0;;88.0;0.0;0.0
2025-12-23;00:28;Fontibon;30;262.0;2.3;13.9;564.0;;83.0;0.0;
2025-12-23;00:28;Usme;32;;;13.0;562.0;;;0.1;0.0
2025-12-23;00:28;Jazmin;34;208.0;0.6;14.4;563.0;;88.0;0.0;0.0
2025-12-23;00:28;Ciudad Bolivar;37;;;13.2;557.0;;;0.0;0.0
2025-12-23;00:28;Colina;38;271.0;0.9;14.8;562.0;;;0.3;53.0
2025-12-23;00:28;Movil Fontibon;39;;;14.4;564.0;;;;1.0
2025-12-23;01:40;Usaquen;1;135.0;0.8;11.4;;;;0.0;
2025-12-23;01:40;Carvajal - Sevillana;3;19.0;1.3;14.7;;;;0.0;
2025-12-23;01:40;Tunal;4;187.0;1.0;;563.0;;64.0;0.0;0.0
2025-12-23;01:40;Centro de Alto Rendimiento;5;87.0;0.1;12.9;564.0;;89.0;0.0;0.0
2025-12-23;01:40;Las Ferias;6;19.0;0.7;13.3;563.0;;79.0;0.0;
2025-12-23;01:40;Guaymaral;8;294.0;0.5;11.0;563.0;10.9;82.0;0.0;0.0
2025-12-23;01:40;Kennedy;9;267.0;1.5;;;;84.8;0.0;0.0
2025-12-23;01:40;Suba;11;358.0;0.6;12.8;;;;0.0;
2025-12-23;01:40;Puente Aranda;13;229.0;1.8;14.4;563.0;;91.0;0.1;0.0
2025-12-23;01:40;MinAmbiente;17;-9999.0;-9999.0;;;;;0.0;
2025-12-23;01:40;San Cristobal;24;110.0;1.4;10.9;;;87.0;0.0;0.0
2025-12-23;01:40;Movil 7ma;26;179.0;0.4;13.9;561.0;;72.4;0.0;0.0
2025-12-23;01:40;Bolivia;27;274.0;1.1;13.6;564.0;;89.0;0.0;0.0
2025-12-23;01:40;Fontibon;30;250.0;2.7;13.5;564.0;;87.0;0.0;
2025-12-23;01:40;Usme;32;;;13.0;561.0;;;0.0;0.0
2025-12-23;01:40;Jazmin;34;229.0;0.6;14.4;563.0;;86.0;0.0;0.0
2025-12-23;01:40;Ciudad Bolivar;37;;;13.2;557.0;;;0.0;0.0
2025-12-23;01:40;Colina;38;271.0;0.9;14.8;562.0;;;0.3;53.0
2025-12-23;01:40;Movil Fontibon;39;;;14.0;564.0;;;;1.0
2025-12-23;02:28;Usaquen;1;133.0;0.6;11.8;;;;0.0;
2025-12-23;02:28;Carvajal - Sevillana;3;49.0;1.8;14.9;;;;0.0;
2025-12-23;02:28;Tunal;4;187.0;1.0;;563.0;;64.0;0.0;0.0
2025-12-23;02:28;Centro de Alto Rendimiento;5;34.0;0.3;12.8;564.0;;89.0;0.1;0.0
2025-12-23;02:28;Las Ferias;6;35.0;0.9;13.4;563.0;;79.0;0.0;
2025-12-23;02:28;Guaymaral;8;302.0;0.4;11.0;563.0;10.9;83.0;0.0;0.0
2025-12-23;02:28;Kennedy;9;309.0;1.4;;;;84.2;0.0;0.0
2025-12-23;02:28;Suba;11;21.0;1.0;12.6;;;;0.0;
2025-12-23;02:28;Puente Aranda;13;263.0;1.3;14.3;562.0;;93.0;0.0;0.0
2025-12-23;02:28;MinAmbiente;17;-9999.0;-9999.0;;;;;0.0;
2025-12-23;02:28;San Cristobal;24;102.0;1.6;10.9;;;82.0;0.0;0.0
2025-12-23;02:28;Movil 7ma;26;172.0;0.5;13.7;561.0;;71.7;0.0;0.0
2025-12-23;02:28;Bolivia;27;288.0;1.0;13.5;564.0;;89.0;0.0;0.0
2025-12-23;02:28;Fontibon;30;270.0;2.1;13.3;563.0;;89.0;0.0;
2025-12-23;02:28;Usme;32;;;12.9;561.0;;;0.0;0.0
2025-12-23;02:28;Jazmin;34;271.0;0.3;14.3;563.0;;85.0;1.2;0.0
2025-12-23;02:28;Ciudad Bolivar;37;;;13.3;556.0;;;0.0;0.0
2025-12-23;02:28;Colina;38;271.0;0.9;14.8;562.0;;;0.3;53.0
2025-12-23;02:28;Movil Fontibon;39;;;13.7;563.0;;;;1.0
2025-12-23;03:35;Usaquen;1;87.0;0.6;11.4;;;;0.0;
2025-12-23;03:35;Carvajal - Sevillana;3;25.0;1.4;14.1;;;;0.0;
2025-12-23;03:35;Tunal;4;187.0;1.0;;563.0;;64.0;0.0;0.0
2025-12-23;03:35;Centro de Alto Rendimiento;5;299.0;0.5;12.8;563.0;;89.0;0.1;0.0
2025-12-23;03:35;Las Ferias;6;5.0;0.8;12.8;562.0;;78.0;0.0;
2025-12-23;03:35;Guaymaral;8;319.0;0.5;10.4;562.0;10.4;83.0;0.0;0.0
2025-12-23;03:35;Kennedy;9;296.0;1.4;;;;85.4;0.0;0.0
2025-12-23;03:35;Suba;11;39.0;0.7;11.4;;;;0.0;
2025-12-23;03:35;Puente Aranda;13;261.0;1.2;14.0;562.0;;95.0;0.0;0.0
2025-12-23;03:35;MinAmbiente;17;-9999.0;-9999.0;;;;;0.0;
2025-12-23;03:35;San Cristobal;24;111.0;1.5;10.9;;;82.0;0.0;0.0
2025-12-23;03:35;Movil 7ma;26;236.0;0.2;13.6;561.0;;71.9;0.0;0.0
2025-12-23;03:35;Bolivia;27;37.0;1.3;13.0;563.0;;85.0;0.0;0.0
2025-12-23;03:35;Fontibon;30;339.0;1.7;13.2;563.0;;89.0;0.0;
2025-12-23;03:35;Usme;32;;;12.8;561.0;;;0.1;0.0
2025-12-23;03:35;Jazmin;34;290.0;0.8;14.1;562.0;;93.0;0.1;0.0
2025-12-23;03:35;Ciudad Bolivar;37;;;12.7;556.0;;;0.0;0.0
2025-12-23;03:35;Colina;38;271.0;0.9;14.8;562.0;;;0.3;53.0
2025-12-23;03:35;Movil Fontibon;39;;;13.5;563.0;;;;1.0
2025-12-23;04:30;Usaquen;1;139.0;0.7;10.5;;;;0.0;
2025-12-23;04:30;Carvajal - Sevillana;3;4.0;2.0;14.0;;;;0.0;
2025-12-23;04:30;Tunal;4;187.0;1.0;;563.0;;64.0;0.0;0.0
