Fecha;Hora;name;stationId;NO2;NO;PM25;BBP;SO2;PM10;NOX;eBC;OZONO;CO
2025-11-28;00:25;Usaquen;1;-9999.0;-9999.0;2.4;;-9999.0;15.7;-9999.0;;-9999.0;-9999.0
2025-11-28;00:25;Carvajal - Sevillana;3;;;31.0;;1.7;81.0;;;;2.14
2025-11-28;00:25;Tunal;4;14.7;25.6;0.0;4.1;2.4;75.0;40.3;5.5;1.4;-9999.0
2025-11-28;00:25;Centro de Alto Rendimiento;5;14.0;16.6;5.9;10.3;1.4;35.5;30.6;3.9;0.0;0.62
2025-11-28;00:25;Las Ferias;6;22.2;23.2;11.0;;;15.8;45.4;;0.6;0.63
2025-11-28;00:25;Guaymaral;8;17.9;50.8;15.0;;1.8;37.0;68.7;;2.2;0.54
2025-11-28;00:25;Kennedy;9;27.5;25.2;14.0;13.2;2.1;28.1;52.8;4.2;2.1;1.21
2025-11-28;00:25;Suba;11;17.8;15.7;12.0;;1.2;43.7;33.5;;0.8;0.51
2025-11-28;00:25;Puente Aranda;13;26.5;49.7;10.5;0.1;1.9;24.6;75.7;-9999.0;1.0;0.85
2025-11-28;00:25;MinAmbiente;17;19.9;40.1;17.0;;1.7;39.0;60.0;;0.6;1.23
2025-11-28;00:25;San Cristobal;24;-9999.0;-9999.0;7.0;3.2;1.1;26.0;-9999.0;1.4;0.2;0.6
2025-11-28;00:25;Movil 7ma;26;;;5.8;;;37.5;;;;-9999.0
2025-11-28;00:25;Bolivia;27;19.1;10.0;3.3;;;14.2;29.0;;1.7;0.63
2025-11-28;00:25;Fontibon;30;24.0;25.6;17.0;6.6;-9999.0;-9999.0;49.6;4.4;0.8;0.56
2025-11-28;00:25;Usme;32;28.4;20.1;3.7;;3.0;28.5;48.6;;0.7;0.61
2025-11-28;00:25;Jazmin;34;26.3;48.4;8.7;;1.5;44.8;74.6;;0.3;1.06
2025-11-28;00:25;Ciudad Bolivar;37;33.8;19.7;19.7;4.3;1.2;54.8;53.5;3.4;5.0;0.45
2025-11-28;00:25;Colina;38;62.8;23.5;8.0;;0.4;2.4;86.3;;-9999.0;0.7
2025-11-28;00:25;Movil Fontibon;39;-9999.0;-9999.0;15.6;;;66.1;-9999.0;;;-9999.0
2025-11-28;01:37;Usaquen;1;-9999.0;-9999.0;2.0;;-9999.0;7.0;-9999.0;;-9999.0;-9999.0
2025-11-28;01:37;Carvajal - Sevillana;3;;;22.0;;1.8;83.0;;;;2.58
2025-11-28;01:37;Tunal;4;11.6;25.0;0.0;5.1;2.9;56.0;36.6;5.9;1.3;-9999.0
2025-11-28;01:37;Centro de Alto Rendimiento;5;13.5;35.2;9.4;9.6;1.3;26.0;48.8;6.2;0.0;0.85
2025-11-28;01:37;Las Ferias;6;21.3;19.6;13.0;;;12.1;40.9;;1.2;0.44
2025-11-28;01:37;Guaymaral;8;19.9;56.5;12.0;;1.9;37.0;76.3;;0.8;0.58
2025-11-28;01:37;Kennedy;9;26.8;23.9;11.1;14.0;2.5;28.2;50.7;4.1;2.0;1.19
2025-11-28;01:37;Suba;11;16.8;10.2;8.0;;1.5;39.6;27.0;;0.8;0.42
2025-11-28;01:37;Puente Aranda;13;26.4;50.6;14.2;0.1;1.8;23.5;76.7;-9999.0;1.0;0.65
2025-11-28;01:37;MinAmbiente;17;20.1;46.0;14.0;;1.7;39.0;66.1;;0.6;1.31
2025-11-28;01:37;San Cristobal;24;-9999.0;-9999.0;8.0;1.0;1.0;33.0;-9999.0;2.3;0.1;0.63
2025-11-28;01:37;Movil 7ma;26;;;12.8;;;58.8;;;;-9999.0
2025-11-28;01:37;Bolivia;27;19.1;10.0;3.3;;;14.2;29.0;;1.7;0.63
2025-11-28;01:37;Fontibon;30;24.0;20.4;16.0;4.3;-9999.0;-9999.0;44.3;3.3;0.8;0.36
2025-11-28;01:37;Usme;32;14.2;8.3;4.6;;1.0;44.6;22.5;;4.4;0.3
2025-11-28;01:37;Jazmin;34;26.5;46.1;15.6;;1.4;42.9;72.6;;0.3;1.0
2025-11-28;01:37;Ciudad Bolivar;37;39.0;29.8;19.3;6.8;1.0;47.9;68.8;4.3;2.6;0.53
2025-11-28;01:37;Colina;38;62.8;23.5;8.0;;0.4;2.4;86.3;;-9999.0;0.7
2025-11-28;01:37;Movil Fontibon;39;-9999.0;-9999.0;24.4;;;91.0;-9999.0;;;-9999.0
2025-11-28;02:24;Usaquen;1;-9999.0;-9999.0;0.1;;-9999.0;9.0;-9999.0;;-9999.0;-9999.0
2025-11-28;02:24;Carvajal - Sevillana;3;;;31.0;;2.1;112.0;;;;2.42
2025-11-28;02:24;Tunal;4;7.8;10.5;0.0;4.3;1.9;58.0;18.2;1.7;3.1;-9999.0
2025-11-28;02:24;Centro de Alto Rendimiento;5;13.7;46.0;9.6;5.9;1.2;26.6;59.7;7.8;0.0;0.94
2025-11-28;02:24;Las Ferias;6;19.6;9.7;12.0;;;12.7;29.3;;1.3;0.34
2025-11-28;02:24;Guaymaral;8;18.4;42.0;11.0;;1.7;36.0;60.4;;0.8;0.5
2025-11-28;02:24;Kennedy;9;25.5;13.5;13.1;9.5;3.2;32.4;39.0;2.9;2.2;0.91
2025-11-28;02:24;Suba;11;17.2;12.4;11.0;;1.8;36.2;29.6;;0.6;0.42
2025-11-28;02:24;Puente Aranda;13;26.1;41.6;11.6;0.1;2.5;29.2;67.3;-9999.0;1.0;0.45
2025-11-28;02:24;MinAmbiente;17;18.4;20.2;9.0;;1.7;35.0;38.6;;0.4;0.87
2025-11-28;02:24;San Cristobal;24;-9999.0;-9999.0;16.0;2.8;0.7;16.0;-9999.0;1.6;2.8;0.28
2025-11-28;02:24;Movil 7ma;26;;;15.3;;;57.2;;;;-9999.0
2025-11-28;02:24;Bolivia;27;19.1;10.0;3.3;;;14.2;29.0;;1.7;0.63
2025-11-28;02:24;Fontibon;30;21.9;18.7;13.0;7.7;-9999.0;-9999.0;40.6;3.7;0.7;0.37
2025-11-28;02:24;Usme;32;19.3;7.3;4.4;;8.0;24.1;26.7;;1.4;0.28
2025-11-28;02:24;Jazmin;34;26.6;36.3;12.4;;1.6;52.2;62.8;;0.2;0.79
2025-11-28;02:24;Ciudad Bolivar;37;36.1;18.7;22.5;10.2;1.0;46.5;54.8;4.1;1.4;0.41
2025-11-28;02:24;Colina;38;62.8;23.5;8.0;;0.4;2.4;86.3;;-9999.0;0.7
2025-11-28;02:24;Movil Fontibon;39;-9999.0;-9999.0;23.8;;;62.8;-9999.0;;;-9999.0
2025-11-28;03:33;Usaquen;1;-9999.0;-9999.0;2.6;;-9999.0;24.8;-9999.0;;-9999.0;-9999.0
2025-11-28;03:33;Carvajal - Sevillana;3;;;23.0;;2.1;58.0;;;;1.11
2025-11-28;03:33;Tunal;4;8.4;8.0;0.0;4.0;1.6;31.0;16.5;2.3;3.3;-9999.0
2025-11-28;03:33;Centro de Alto Rendimiento;5;10.4;22.7;15.9;9.0;1.1;38.2;33.1;4.9;0.0;0.73
2025-11-28;03:33;Las Ferias;6;19.3;13.3;9.0;;;15.9;32.6;;0.7;0.31
2025-11-28;03:33;Guaymaral;8;18.5;66.8;14.0;;2.2;38.0;85.4;;0.8;0.53
2025-11-28;03:33;Kennedy;9;24.7;32.4;21.4;8.8;2.6;40.0;57.1;4.5;1.9;1.06
