Fecha;Hora;name;stationId;Humedad;Presion Baro;Rad Solar;Vel Viento;Dir Viento;Temperatura;Temperatura 8M;Lluvia
2025-11-04;00:24;Usaquen;1;;;;0.7;83.0;12.2;;0.0
2025-11-04;00:24;Carvajal - Sevillana;3;;;;0.9;255.0;13.2;;0.0
2025-11-04;00:24;Tunal;4;79.0;564.0;1.0;0.6;212.0;;;0.0
2025-11-04;00:24;Centro de Alto Rendimiento;5;87.0;566.0;0.0;0.5;298.0;11.3;;0.0
2025-11-04;00:24;Las Ferias;6;78.0;565.0;;1.5;243.0;14.0;;0.0
2025-11-04;00:24;Guaymaral;8;82.0;565.0;0.0;0.5;323.0;10.9;11.0;0.0
2025-11-04;00:24;Kennedy;9;46.2;;615.0;1.7;174.0;;;0.0
2025-11-04;00:24;Suba;11;;;;0.5;346.0;11.7;;0.0
2025-11-04;00:24;Puente Aranda;13;91.0;565.0;0.0;1.3;248.0;14.2;;0.0
2025-11-04;00:24;MinAmbiente;17;;;;-9999.0;-9999.0;;;0.0
2025-11-04;00:24;San Cristobal;24;75.0;;0.0;2.3;106.0;11.0;;0.0
2025-11-04;00:24;Movil 7ma;26;61.9;563.0;0.0;0.2;86.0;14.2;;0.0
2025-11-04;00:24;Bolivia;27;94.0;566.0;0.0;0.9;330.0;12.6;;0.0
2025-11-04;00:24;Fontibon;30;91.0;565.0;;1.1;289.0;13.2;;0.0
2025-11-04;00:24;Usme;32;;563.0;0.0;;;11.9;;0.0
2025-11-04;00:24;Jazmin;34;83.0;565.0;0.0;0.6;231.0;14.2;;0.0
2025-11-04;00:24;Ciudad Bolivar;37;;558.0;0.0;;;12.5;;0.0
2025-11-04;00:24;Colina;38;;562.0;53.0;0.9;271.0;14.8;;0.3
2025-11-04;00:24;Movil Fontibon;39;;566.0;0.0;;;13.7;;
2025-11-04;01:36;Usaquen;1;;;;0.7;88.0;11.1;;0.0
2025-11-04;01:36;Carvajal - Sevillana;3;;;;1.6;247.0;12.3;;0.0
2025-11-04;01:36;Tunal;4;81.0;564.0;1.0;0.6;228.0;;;0.0
2025-11-04;01:36;Centro de Alto Rendimiento;5;87.0;566.0;0.0;0.6;334.0;10.6;;0.0
