Fecha;Hora;name;stationId;SO2;eBC;CO;BBP;OZONO;PM10;NO;NO2;PM25;NOX
2025-12-26;00:27;Usaquen;1;-9999.0;;-9999.0;;-9999.0;10.0;-9999.0;-9999.0;3.6;-9999.0
2025-12-26;00:27;Carvajal - Sevillana;3;1.1;;2.22;;;32.0;;;9.0;
2025-12-26;00:27;Tunal;4;-1.7;0.8;-9999.0;14.5;20.0;22.0;4.5;5.9;10.0;10.4
2025-12-26;00:27;Centro de Alto Rendimiento;5;1.2;1.0;0.16;10.6;-9999.0;12.8;0.5;5.3;12.4;5.8
2025-12-26;00:27;Las Ferias;6;;;0.29;;10.5;13.0;4.5;16.3;11.0;20.8
2025-12-26;00:27;Guaymaral;8;1.1;;0.23;;14.4;14.0;-1.5;4.1;9.0;2.6
2025-12-26;00:27;Kennedy;9;0.7;1.0;0.53;21.5;13.2;19.8;1.0;10.3;11.3;11.3
2025-12-26;00:27;Suba;11;0.6;;0.19;;8.5;3.9;0.1;6.1;7.0;6.2
2025-12-26;00:27;Puente Aranda;13;1.9;1.0;0.11;5.9;9.2;11.0;2.0;10.9;3.6;13.0
2025-12-26;00:27;MinAmbiente;17;1.0;;0.42;;15.0;13.0;0.9;9.3;8.0;10.2
2025-12-26;00:27;San Cristobal;24;1.2;0.9;0.3;4.0;9.8;25.0;1.3;0.1;11.0;1.4
2025-12-26;00:27;Movil 7ma;26;;;-9999.0;;;26.5;;;3.2;
2025-12-26;00:27;Bolivia;27;;;0.41;;5.9;31.1;2.2;11.3;6.2;13.5
2025-12-26;00:27;Fontibon;30;0.7;1.3;0.41;6.7;5.8;11.0;1.1;11.6;7.0;12.7
2025-12-26;00:27;Usme;32;2.9;;0.21;;31.7;25.3;1.1;11.0;24.4;12.1
2025-12-26;00:27;Jazmin;34;0.8;;0.25;;10.9;19.3;0.5;14.2;15.1;14.7
2025-12-26;00:27;Ciudad Bolivar;37;2.2;1.7;0.22;10.8;11.4;26.7;12.7;19.0;12.7;31.8
2025-12-26;00:27;Colina;38;0.4;;0.7;;-9999.0;2.4;23.5;62.8;8.0;86.3
2025-12-26;00:27;Movil Fontibon;39;;;-9999.0;;;24.4;-9999.0;-9999.0;9.1;-9999.0
2025-12-26;01:39;Usaquen;1;-9999.0;;-9999.0;;-9999.0;15.9;-9999.0;-9999.0;1.3;-9999.0
2025-12-26;01:39;Carvajal - Sevillana;3;1.1;;2.38;;;32.0;;;9.0;
2025-12-26;01:39;Tunal;4;-1.7;0.8;-9999.0;14.5;20.0;22.0;4.5;5.9;10.0;10.4
2025-12-26;01:39;Centro de Alto Rendimiento;5;0.9;0.8;0.14;12.0;-9999.0;16.1;0.6;6.0;9.0;6.6
2025-12-26;01:39;Las Ferias;6;;;0.23;;10.0;11.1;1.9;17.6;7.0;19.4
2025-12-26;01:39;Guaymaral;8;1.9;;0.47;;1.0;14.0;38.8;17.2;9.0;56.0
2025-12-26;01:39;Kennedy;9;0.5;0.8;0.49;21.0;13.8;18.6;0.8;10.4;11.6;11.2
2025-12-26;01:39;Suba;11;0.6;;0.18;;8.0;3.4;0.1;3.9;5.0;4.0
2025-12-26;01:39;Puente Aranda;13;1.2;1.1;0.08;6.8;7.3;8.2;1.2;12.2;3.5;13.4
2025-12-26;01:39;MinAmbiente;17;1.0;;0.33;;18.0;17.0;0.3;6.0;8.0;6.3
2025-12-26;01:39;San Cristobal;24;0.9;0.7;0.16;4.4;15.6;14.0;1.4;0.1;9.0;1.5
2025-12-26;01:39;Movil 7ma;26;;;-9999.0;;;22.9;;;3.0;
2025-12-26;01:39;Bolivia;27;;;0.4;;3.9;27.5;4.5;13.3;6.1;17.8
2025-12-26;01:39;Fontibon;30;0.8;1.1;0.43;10.3;5.7;15.0;0.9;10.8;10.0;11.7
2025-12-26;01:39;Usme;32;2.1;;0.25;;31.7;27.2;1.1;12.7;17.7;13.8
2025-12-26;01:39;Jazmin;34;0.4;;0.22;;11.1;19.8;-1.1;13.2;13.4;12.1
2025-12-26;01:39;Ciudad Bolivar;37;1.2;1.5;0.27;13.8;12.4;21.8;9.4;14.3;10.5;23.7
2025-12-26;01:39;Colina;38;0.4;;0.7;;-9999.0;2.4;23.5;62.8;8.0;86.3
2025-12-26;01:39;Movil Fontibon;39;;;-9999.0;;;17.0;-9999.0;-9999.0;7.2;-9999.0
2025-12-26;02:26;Usaquen;1;-9999.0;;-9999.0;;-9999.0;7.0;-9999.0;-9999.0;3.6;-9999.0
2025-12-26;02:26;Carvajal - Sevillana;3;0.9;;1.33;;;28.0;;;6.0;
2025-12-26;02:26;Tunal;4;-1.7;0.8;-9999.0;14.5;20.0;22.0;4.5;5.9;10.0;10.4
2025-12-26;02:26;Centro de Alto Rendimiento;5;0.7;0.8;0.13;9.9;-9999.0;12.1;0.6;5.3;7.4;6.0
2025-12-26;02:26;Las Ferias;6;;;0.26;;8.8;9.7;0.4;15.8;7.0;16.2
2025-12-26;02:26;Guaymaral;8;1.3;;0.33;;3.9;48.0;3.1;9.6;5.0;12.7
2025-12-26;02:26;Kennedy;9;0.5;1.0;0.51;15.6;13.3;14.2;0.6;11.0;11.2;11.6
2025-12-26;02:26;Suba;11;0.5;;0.2;;5.8;3.6;1.9;5.3;2.0;7.2
2025-12-26;02:26;Puente Aranda;13;1.2;1.4;0.07;6.3;6.6;6.5;1.9;14.4;3.4;16.4
2025-12-26;02:26;MinAmbiente;17;1.1;;0.35;;16.5;16.0;0.3;7.6;8.0;7.9
2025-12-26;02:26;San Cristobal;24;0.9;0.6;0.18;4.5;13.3;15.0;1.4;0.1;10.0;1.5
