Fecha;Hora;name;stationId;Presion Baro;Dir Viento;Temperatura 8M;Rad Solar;Humedad;Vel Viento;Lluvia;Temperatura
2025-12-02;00:24;Usaquen;1;;240.0;;;;0.9;0.0;13.7
2025-12-02;00:24;Carvajal - Sevillana;3;;45.0;;;;1.3;0.0;14.5
2025-12-02;00:24;Tunal;4;563.0;195.0;;1.0;77.0;0.6;0.0;
2025-12-02;00:24;Centro de Alto Rendimiento;5;564.0;293.0;;0.0;80.0;2.0;0.0;13.4
2025-12-02;00:24;Las Ferias;6;564.0;205.0;;;73.0;1.2;0.0;13.7
2025-12-02;00:24;Guaymaral;8;563.0;302.0;12.5;0.0;80.0;0.6;0.0;12.7
2025-12-02;00:24;Kennedy;9;;313.0;;0.0;78.8;1.4;0.0;
2025-12-02;00:24;Suba;11;;343.0;;;;0.7;0.0;12.1
2025-12-02;00:24;Puente Aranda;13;563.0;270.0;;0.0;86.0;1.4;0.0;14.2
2025-12-02;00:24;MinAmbiente;17;;-9999.0;;;;-9999.0;0.0;
2025-12-02;00:24;San Cristobal;24;;143.0;;0.0;82.0;0.1;0.0;12.1
2025-12-02;00:24;Movil 7ma;26;562.0;314.0;;0.0;67.6;0.7;0.0;14.5
2025-12-02;00:24;Bolivia;27;564.0;279.0;;0.0;88.0;0.8;0.0;12.9
2025-12-02;00:24;Fontibon;30;564.0;283.0;;;84.0;2.0;0.0;13.1
2025-12-02;00:24;Usme;32;562.0;;;0.0;;;0.0;12.2
2025-12-02;00:24;Jazmin;34;564.0;311.0;;0.0;84.0;1.0;0.0;14.1
2025-12-02;00:24;Ciudad Bolivar;37;557.0;;;0.0;;;0.0;13.2
2025-12-02;00:24;Colina;38;562.0;271.0;;53.0;;0.9;0.3;14.8
2025-12-02;00:24;Movil Fontibon;39;564.0;;;0.0;;;;13.7
2025-12-02;01:38;Usaquen;1;;234.0;;;;1.4;0.0;13.2
2025-12-02;01:38;Carvajal - Sevillana;3;;46.0;;;;1.9;0.2;13.9
2025-12-02;01:38;Tunal;4;563.0;298.0;;1.0;78.0;1.4;0.1;
2025-12-02;01:38;Centro de Alto Rendimiento;5;564.0;305.0;;0.0;82.0;2.1;0.2;13.3
2025-12-02;01:38;Las Ferias;6;563.0;236.0;;;76.0;2.2;0.3;13.0
2025-12-02;01:38;Guaymaral;8;563.0;316.0;12.3;0.0;80.0;0.6;0.0;12.6
2025-12-02;01:38;Kennedy;9;;313.0;;0.0;81.6;1.7;0.3;
2025-12-02;01:38;Suba;11;;281.0;;;;0.6;0.8;12.1
2025-12-02;01:38;Puente Aranda;13;563.0;266.0;;0.0;93.0;1.5;0.0;13.6
2025-12-02;01:38;MinAmbiente;17;;-9999.0;;;;-9999.0;0.1;
2025-12-02;01:38;San Cristobal;24;;329.0;;0.0;81.0;0.4;0.0;12.2
2025-12-02;01:38;Movil 7ma;26;562.0;300.0;;0.0;68.7;0.6;0.0;14.1
2025-12-02;01:38;Bolivia;27;564.0;296.0;;0.0;92.0;1.3;1.4;12.5
2025-12-02;01:38;Fontibon;30;564.0;286.0;;;87.0;2.1;0.4;12.6
2025-12-02;01:38;Usme;32;562.0;;;0.0;;;0.0;12.6
2025-12-02;01:38;Jazmin;34;563.0;304.0;;0.0;89.0;1.5;0.2;13.7
2025-12-02;01:38;Ciudad Bolivar;37;557.0;;;0.0;;;0.1;12.6
2025-12-02;01:38;Colina;38;562.0;271.0;;53.0;;0.9;0.3;14.8
2025-12-02;01:38;Movil Fontibon;39;564.0;;;0.0;;;;12.8
2025-12-02;02:26;Usaquen;1;;297.0;;;;0.9;0.1;12.1
2025-12-02;02:26;Carvajal - Sevillana;3;;53.0;;;;1.4;0.1;13.0
2025-12-02;02:26;Tunal;4;562.0;303.0;;1.0;83.0;1.1;0.0;
2025-12-02;02:26;Centro de Alto Rendimiento;5;564.0;302.0;;0.0;86.0;1.6;0.3;12.8
