Fecha;Hora;name;stationId;Presion Baro;Vel Viento;Lluvia;Humedad;Temperatura;Temperatura 8M;Dir Viento;Rad Solar
2026-01-09;00:30;Usaquen;1;;2.3;0.0;;13.2;;116.0;
2026-01-09;00:30;Carvajal - Sevillana;3;;1.6;0.0;;11.9;;243.0;
2026-01-09;00:30;Tunal;4;563.0;0.9;0.0;78.0;;;192.0;0.0
2026-01-09;00:30;Centro de Alto Rendimiento;5;565.0;0.6;0.0;90.0;10.0;;215.0;0.0
2026-01-09;00:30;Las Ferias;6;564.0;1.9;0.0;75.0;12.5;;360.0;
2026-01-09;00:30;Guaymaral;8;564.0;0.9;0.0;81.0;10.9;10.9;295.0;0.0
2026-01-09;00:30;Kennedy;9;;0.7;0.0;84.5;;;342.0;0.0
2026-01-09;00:30;Suba;11;;1.7;0.0;;10.3;;21.0;
2026-01-09;00:30;Puente Aranda;13;563.0;0.7;0.0;89.0;13.9;;267.0;0.0
2026-01-09;00:30;MinAmbiente;17;;-9999.0;0.0;;;;-9999.0;
2026-01-09;00:30;San Cristobal;24;;0.7;0.0;76.0;12.2;;89.0;0.0
2026-01-09;00:30;Movil 7ma;26;562.0;0.5;0.0;66.9;13.7;;290.0;0.0
2026-01-09;00:30;Bolivia;27;565.0;2.2;0.0;88.0;12.1;;51.0;0.0
2026-01-09;00:30;Fontibon;30;564.0;2.1;0.0;85.0;12.2;;42.0;
2026-01-09;00:30;Usme;32;562.0;;0.0;;14.3;;;0.0
2026-01-09;00:30;Jazmin;34;564.0;0.6;0.0;90.0;13.7;;279.0;0.0
2026-01-09;00:30;Ciudad Bolivar;37;557.0;;0.0;;13.1;;;0.0
2026-01-09;00:30;Colina;38;563.0;1.8;0.0;;16.5;;169.0;93.0
2026-01-09;00:30;Movil Fontibon;39;565.0;;;;13.1;;;0.0
2026-01-09;01:41;Usaquen;1;;2.1;0.0;;13.3;;97.0;
2026-01-09;01:41;Carvajal - Sevillana;3;;1.6;0.0;;11.9;;243.0;
2026-01-09;01:41;Tunal;4;563.0;0.7;0.0;75.0;;;191.0;0.0
2026-01-09;01:41;Centro de Alto Rendimiento;5;564.0;1.0;0.0;90.0;10.5;;305.0;0.0
2026-01-09;01:41;Las Ferias;6;564.0;2.0;0.0;72.0;13.3;;355.0;
2026-01-09;01:41;Guaymaral;8;564.0;0.6;0.0;83.0;11.4;11.3;315.0;0.0
2026-01-09;01:41;Kennedy;9;;1.0;0.0;85.9;;;337.0;0.0
2026-01-09;01:41;Suba;11;;1.8;0.0;;10.7;;15.0;
2026-01-09;01:41;Puente Aranda;13;563.0;0.9;0.0;88.0;13.9;;291.0;0.0
2026-01-09;01:41;MinAmbiente;17;;-9999.0;0.0;;;;-9999.0;
2026-01-09;01:41;San Cristobal;24;;0.9;0.0;75.0;12.4;;106.0;0.0
2026-01-09;01:41;Movil 7ma;26;562.0;0.2;0.0;66.9;13.8;;64.0;0.0
2026-01-09;01:41;Bolivia;27;565.0;2.2;0.0;87.0;12.2;;46.0;0.0
2026-01-09;01:41;Fontibon;30;564.0;2.3;0.0;85.0;12.3;;36.0;
2026-01-09;01:41;Usme;32;562.0;;0.0;;14.1;;;0.0
2026-01-09;01:41;Jazmin;34;564.0;0.9;0.0;88.0;13.7;;310.0;0.0
2026-01-09;01:41;Ciudad Bolivar;37;557.0;;0.0;;13.0;;;0.0
2026-01-09;01:41;Colina;38;563.0;1.8;0.0;;16.5;;169.0;93.0
2026-01-09;01:41;Movil Fontibon;39;564.0;;;;13.0;;;0.0
2026-01-09;02:29;Usaquen;1;;2.7;0.0;;13.1;;100.0;
2026-01-09;02:29;Carvajal - Sevillana;3;;1.6;0.0;;11.9;;243.0;
2026-01-09;02:29;Tunal;4;563.0;1.2;0.0;75.0;;;287.0;0.0
2026-01-09;02:29;Centro de Alto Rendimiento;5;564.0;1.2;0.0;90.0;11.8;;265.0;0.0
2026-01-09;02:29;Las Ferias;6;563.0;2.0;0.0;71.0;13.5;;16.0;
2026-01-09;02:29;Guaymaral;8;563.0;0.9;0.0;81.0;12.0;11.9;298.0;0.0
2026-01-09;02:29;Kennedy;9;;1.1;0.0;85.1;;;306.0;0.0
2026-01-09;02:29;Suba;11;;1.7;0.0;;11.4;;14.0;
2026-01-09;02:29;Puente Aranda;13;563.0;1.1;0.0;89.0;13.7;;267.0;0.0
2026-01-09;02:29;MinAmbiente;17;;-9999.0;0.0;;;;-9999.0;
2026-01-09;02:29;San Cristobal;24;;0.4;0.0;74.0;12.7;;57.0;0.0
2026-01-09;02:29;Movil 7ma;26;562.0;0.6;0.0;64.1;14.4;;269.0;0.0
2026-01-09;02:29;Bolivia;27;564.0;2.2;0.0;86.0;12.5;;43.0;0.0
2026-01-09;02:29;Fontibon;30;564.0;1.3;0.0;83.0;12.7;;18.0;
2026-01-09;02:29;Usme;32;562.0;;0.0;;14.0;;;0.0
2026-01-09;02:29;Jazmin;34;563.0;1.3;0.0;87.0;13.7;;296.0;0.0
2026-01-09;02:29;Ciudad Bolivar;37;557.0;;0.0;;12.1;;;0.0
2026-01-09;02:29;Colina;38;563.0;1.8;0.0;;16.5;;169.0;93.0
2026-01-09;02:29;Movil Fontibon;39;564.0;;;;12.7;;;1.0
2026-01-09;03:37;Usaquen;1;;1.4;0.0;;13.0;;141.0;
2026-01-09;03:37;Carvajal - Sevillana;3;;1.6;0.0;;11.9;;243.0;
2026-01-09;03:37;Tunal;4;562.0;1.1;0.0;78.0;;;316.0;0.0
2026-01-09;03:37;Centro de Alto Rendimiento;5;564.0;1.1;0.0;90.0;12.0;;242.0;0.0
2026-01-09;03:37;Las Ferias;6;563.0;1.8;0.0;70.0;13.5;;18.0;
2026-01-09;03:37;Guaymaral;8;563.0;0.6;0.0;79.0;12.1;11.8;259.0;0.0
2026-01-09;03:37;Kennedy;9;;0.8;0.0;84.5;;;300.0;0.0
2026-01-09;03:37;Suba;11;;1.3;0.0;;11.6;;24.0;
2026-01-09;03:37;Puente Aranda;13;563.0;1.3;0.0;90.0;13.2;;264.0;0.0
2026-01-09;03:37;MinAmbiente;17;;-9999.0;0.0;;;;-9999.0;
2026-01-09;03:37;San Cristobal;24;;0.3;0.0;79.0;12.1;;338.0;0.0
2026-01-09;03:37;Movil 7ma;26;561.0;0.7;0.0;66.0;14.3;;301.0;0.0
2026-01-09;03:37;Bolivia;27;564.0;1.5;0.0;86.0;12.7;;61.0;0.0
2026-01-09;03:37;Fontibon;30;564.0;0.7;0.0;83.0;12.6;;309.0;
2026-01-09;03:37;Usme;32;561.0;;0.0;;13.9;;;0.0
2026-01-09;03:37;Jazmin;34;563.0;1.0;0.0;88.0;13.3;;282.0;0.0
2026-01-09;03:37;Ciudad Bolivar;37;557.0;;0.0;;12.2;;;0.0
2026-01-09;03:37;Colina;38;563.0;1.8;0.0;;16.5;;169.0;93.0
2026-01-09;03:37;Movil Fontibon;39;564.0;;;;11.7;;;1.0
2026-01-09;04:33;Usaquen;1;;0.3;0;;12.8;;349;
2026-01-09;04:33;Carvajal - Sevillana;3;;1.6;0;;11.9;;243;
2026-01-09;04:33;Tunal;4;562;0.8;0;77;;;356;0
2026-01-09;04:33;Centro de Alto Rendimiento;5;564;0.7;0;90;11.9;;276;0
2026-01-09;04:33;Las Ferias;6;563;0.8;0;69;13.5;;71;
2026-01-09;04:33;Guaymaral;8;563;0.6;0;79;11.4;11.2;312;0
2026-01-09;04:33;Kennedy;9;;0.7;0;84.2;;;20;0
2026-01-09;04:33;Suba;11;;1.5;0;;11.7;;15;
2026-01-09;04:33;Puente Aranda;13;563;0.7;0;89;13.5;;254;0
2026-01-09;04:33;MinAmbiente;17;;-9999;0;;;;-9999;
2026-01-09;04:33;San Cristobal;24;;0.3;0;79;12;;82;0
2026-01-09;04:33;Movil 7ma;26;561;0.7;0;64.4;14.1;;267;0
2026-01-09;04:33;Bolivia;27;564;1.8;0;85;12.9;;50;0
2026-01-09;04:33;Fontibon;30;563;0.5;0;83;12.8;;13;
2026-01-09;04:33;Usme;32;561;;0;;13.8;;;0
2026-01-09;04:33;Jazmin;34;563;0.4;0;87;13.4;;302;0
2026-01-09;04:33;Ciudad Bolivar;37;556;;0;;12.2;;;0
2026-01-09;04:33;Colina;38;563;1.8;0;;16.5;;169;93
2026-01-09;04:33;Movil Fontibon;39;564;;;;12.4;;;1
