Fecha;Hora;name;stationId;NO2;NO;NOX;SO2;PM10;eBC;BBP;PM25;OZONO;CO
2025-10-16;00:22;Usaquen;1;-9999.0;-9999.0;-9999.0;-9999.0;6.2;;;4.2;-9999.0;-9999.0
2025-10-16;00:22;Carvajal - Sevillana;3;;;;2.3;116.0;;;41.0;;4.78
2025-10-16;00:22;Tunal;4;14.5;18.0;32.5;1.1;21.0;3.5;3.2;12.0;2.0;-9999.0
2025-10-16;00:22;Centro de Alto Rendimiento;5;14.2;28.7;42.9;0.3;23.4;5.0;8.0;12.4;8.5;0.82
2025-10-16;00:22;Las Ferias;6;27.1;38.0;65.2;;24.5;;;12.0;0.5;0.82
2025-10-16;00:22;Guaymaral;8;11.2;-1.3;9.9;-0.1;16.0;;;6.0;9.3;0.25
2025-10-16;00:22;Kennedy;9;22.0;57.1;79.0;1.2;35.7;9.8;8.1;13.7;1.0;1.64
2025-10-16;00:22;Suba;11;13.2;2.8;16.0;0.8;24.0;;;12.0;2.7;0.33
2025-10-16;00:22;Puente Aranda;13;24.7;14.1;38.8;1.3;7.8;1.4;5.0;7.7;1.9;0.31
2025-10-16;00:22;MinAmbiente;17;12.5;16.1;28.7;0.6;21.0;;;985.0;3.7;0.49
2025-10-16;00:22;San Cristobal;24;9.0;3.1;12.2;0.6;9.0;0.8;5.9;7.0;5.2;0.27
2025-10-16;00:22;Movil 7ma;26;;;;;56.7;;;12.8;;-9999.0
2025-10-16;00:22;Bolivia;27;18.8;8.3;27.1;;62.2;;;16.6;1.7;0.8
2025-10-16;00:22;Fontibon;30;31.9;22.6;54.5;0.6;12.1;5.0;9.2;19.4;0.8;0.66
2025-10-16;00:22;Usme;32;15.9;5.5;21.4;3.7;33.0;;;6.7;5.7;0.33
2025-10-16;00:22;Jazmin;34;23.2;13.8;37.0;1.1;17.5;;;6.0;1.4;0.51
2025-10-16;00:22;Ciudad Bolivar;37;23.0;33.7;56.6;1.5;23.4;20.1;8.7;16.2;3.6;0.98
2025-10-16;00:22;Colina;38;20.2;5.5;25.7;-0.3;9.9;;;7.5;1.5;0.44
2025-10-16;00:22;Movil Fontibon;39;-9999.0;-9999.0;-9999.0;;39.0;;;18.0;;-9999.0
2025-10-16;01:34;Usaquen;1;-9999.0;-9999.0;-9999.0;-9999.0;9.4;;;3.3;-9999.0;-9999.0
2025-10-16;01:34;Carvajal - Sevillana;3;;;;2.3;60.0;;;17.0;;4.78
2025-10-16;01:34;Tunal;4;13.3;10.3;23.6;1.4;15.0;2.8;2.0;12.0;3.2;-9999.0
2025-10-16;01:34;Centro de Alto Rendimiento;5;13.8;24.0;37.8;1.0;27.9;5.4;3.7;10.0;8.8;0.73
2025-10-16;01:34;Las Ferias;6;22.4;11.3;33.7;;18.2;;;12.0;1.4;0.43
2025-10-16;01:34;Guaymaral;8;9.1;3.8;12.9;0.0;14.0;;;10.0;12.1;0.22
2025-10-16;01:34;Kennedy;9;20.8;32.9;53.7;1.1;36.9;7.6;6.2;25.7;0.8;1.25
2025-10-16;01:34;Suba;11;12.7;3.7;16.4;0.5;16.8;;;9.0;2.7;0.27
2025-10-16;01:34;Puente Aranda;13;23.6;12.0;35.6;1.4;6.7;1.4;2.2;7.4;1.7;0.42
2025-10-16;01:34;MinAmbiente;17;15.0;7.4;22.4;0.3;6.0;;;985.0;3.0;0.53
2025-10-16;01:34;San Cristobal;24;4.0;0.9;5.0;0.5;10.0;0.4;1.8;4.0;9.9;0.13
2025-10-16;01:34;Movil 7ma;26;;;;;42.3;;;10.2;;-9999.0
2025-10-16;01:34;Bolivia;27;17.1;8.8;25.8;;57.0;;;12.7;3.3;0.52
2025-10-16;01:34;Fontibon;30;24.8;14.0;38.8;1.2;17.0;3.5;5.8;21.0;0.9;0.51
2025-10-16;01:34;Usme;32;20.3;9.2;29.5;13.1;27.6;;;8.9;2.3;0.38
2025-10-16;01:34;Jazmin;34;20.8;5.9;26.8;1.1;12.5;;;5.7;1.5;0.39
2025-10-16;01:34;Ciudad Bolivar;37;17.6;5.0;22.5;1.2;35.6;2.4;7.0;19.7;7.0;0.32
2025-10-16;01:34;Colina;38;18.1;4.8;22.9;-0.2;8.1;;;6.2;2.3;0.31
2025-10-16;01:34;Movil Fontibon;39;-9999.0;-9999.0;-9999.0;;40.4;;;20.2;;-9999.0
2025-10-16;02:23;Usaquen;1;-9999;-9999;-9999;-9999;9.4;;;1.6;-9999;-9999
2025-10-16;02:23;Carvajal - Sevillana;3;;;;1.9;89;;;24;;4.78
2025-10-16;02:23;Tunal;4;12.3;10.5;22.8;1.1;30;2.1;4;11;3.5;-9999
2025-10-16;02:23;Centro de Alto Rendimiento;5;13.4;5.1;18.5;0.7;20.6;2.7;4.2;11;9.8;0.32
2025-10-16;02:23;Las Ferias;6;16.4;3.2;19.6;;13;;;13;4.1;0.17
2025-10-16;02:23;Guaymaral;8;9.5;0.5;10;-0.1;21;;;8;7.8;0.19
2025-10-16;02:23;Kennedy;9;17.5;9.1;26.6;0.9;40.4;3.3;3.1;20.1;1.6;0.6
2025-10-16;02:23;Suba;11;7.4;0.6;8;0.5;12.7;;;11;4.8;0.23
2025-10-16;02:23;Puente Aranda;13;25.6;21.5;47;1.4;12.9;1.8;3.8;5.9;0.9;0.47
2025-10-16;02:23;MinAmbiente;17;16.2;9.6;25.8;0.3;19;;;985;2.3;0.56
2025-10-16;02:23;San Cristobal;24;9;1.1;10.1;0.4;13;0.6;4.9;7;8.6;0.16
2025-10-16;02:23;Movil 7ma;26;;;;;22.1;;;8.3;;-9999
2025-10-16;02:23;Bolivia;27;13;3.9;16.9;;41;;;16.9;3.4;0.48
2025-10-16;02:23;Fontibon;30;20.1;8.6;28.7;1;14.6;2.7;5.6;16;1.8;0.32
2025-10-16;02:23;Usme;32;13.7;3.3;17;5.5;42.9;;;12.6;6.4;0.3
2025-10-16;02:23;Jazmin;34;20.6;7.1;27.7;1.1;24.3;;;6.6;1.3;0.32
2025-10-16;02:23;Ciudad Bolivar;37;11.9;5.9;17.7;1.2;32.7;1.7;7.2;14.9;10.7;0.19
2025-10-16;02:23;Colina;38;12.3;2.6;14.9;-0.1;13.5;;;4.7;6.1;0.22
2025-10-16;02:23;Movil Fontibon;39;-9999;-9999;-9999;;38.3;;;15.7;;-9999
