Fecha;Hora;name;stationId;Dir Viento;Presion Baro;Rad Solar;Lluvia;Vel Viento;Temperatura;Humedad;Temperatura 8M
2025-10-17;00:21;Usaquen;1;160.0;;;0.0;0.5;13.0;;
2025-10-17;00:21;Carvajal - Sevillana;3;;;;0.0;;13.2;;
2025-10-17;00:21;Tunal;4;305.0;563.0;1.0;0.0;0.8;;81.0;
2025-10-17;00:21;Centro de Alto Rendimiento;5;314.0;565.0;0.0;0.0;0.8;11.3;85.0;
2025-10-17;00:21;Las Ferias;6;221.0;564.0;;0.0;1.8;13.3;76.0;
2025-10-17;00:21;Guaymaral;8;291.0;564.0;0.0;0.0;0.6;12.2;84.0;12.1
2025-10-17;00:21;Kennedy;9;266.0;;0.0;0.0;1.8;;86.9;
2025-10-17;00:21;Suba;11;291.0;;;0.0;0.5;11.4;;
2025-10-17;00:21;Puente Aranda;13;244.0;564.0;0.0;0.0;1.6;13.4;96.0;
2025-10-17;00:21;MinAmbiente;17;-9999.0;;;0.0;-9999.0;;;
2025-10-17;00:21;San Cristobal;24;98.0;;0.0;0.0;1.2;11.4;79.0;
2025-10-17;00:21;Movil 7ma;26;273.0;562.0;0.0;0.0;0.1;14.5;68.3;
2025-10-17;00:21;Bolivia;27;260.0;565.0;0.0;0.0;0.6;12.2;92.0;
2025-10-17;00:21;Fontibon;30;228.0;564.0;;0.0;2.6;12.4;90.0;
2025-10-17;00:21;Usme;32;;562.0;0.0;0.0;;12.7;;
2025-10-17;00:21;Jazmin;34;294.0;564.0;0.0;0.0;1.4;13.3;94.0;
2025-10-17;00:21;Ciudad Bolivar;37;;557.0;0.0;0.0;;12.3;;
2025-10-17;00:21;Colina;38;328.0;563.0;0.0;0.0;0.7;12.7;;
2025-10-17;00:21;Movil Fontibon;39;;565.0;0.0;;;12.8;;
2025-10-17;01:33;Usaquen;1;15;;;0;0.2;12.6;;
2025-10-17;01:33;Carvajal - Sevillana;3;;;;0;;13.1;;
2025-10-17;01:33;Tunal;4;306;563;1;0;0.5;;81;
2025-10-17;01:33;Centro de Alto Rendimiento;5;303;564;0;0;0.9;11.2;83;
2025-10-17;01:33;Las Ferias;6;237;564;;0;1.7;13.1;77;
2025-10-17;01:33;Guaymaral;8;323;563;0;0;0.6;12.1;82;11.8
2025-10-17;01:33;Kennedy;9;282;;0;0.1;1.3;;88.1;
2025-10-17;01:33;Suba;11;308;;;0;0.6;11.7;;
2025-10-17;01:33;Puente Aranda;13;255;563;0;0;1.4;13.3;96;
2025-10-17;01:33;MinAmbiente;17;-9999;;;0;-9999;;;
2025-10-17;01:33;San Cristobal;24;109;;0;0;1.5;11;80;
2025-10-17;01:33;Movil 7ma;26;219;562;0;0;0.1;14.1;71.1;
2025-10-17;01:33;Bolivia;27;265;564;0;0;0.8;12.4;92;
2025-10-17;01:33;Fontibon;30;260;564;;0;2.3;12.4;90;
2025-10-17;01:33;Usme;32;;562;0;0;;12.6;;
2025-10-17;01:33;Jazmin;34;299;564;0;0;0.9;13.3;94;
2025-10-17;01:33;Ciudad Bolivar;37;;557;0;0;;12.5;;
2025-10-17;01:33;Colina;38;328;563;0;0;0.7;12.7;;
2025-10-17;01:33;Movil Fontibon;39;;564;0;;;12.9;;
