Fecha;Hora;name;stationId;Lluvia;Rad Solar;Temperatura;Vel Viento;Dir Viento;Humedad;Presion Baro;Temperatura 8M
2025-12-06;00:23;Usaquen;1;0.0;;10.9;0.9;142.0;;;
2025-12-06;00:23;Carvajal - Sevillana;3;0.0;;12.3;0.5;256.0;;;
2025-12-06;00:23;Tunal;4;0.0;1.0;;0.3;246.0;85.0;564.0;
2025-12-06;00:23;Centro de Alto Rendimiento;5;0.0;0.0;11.3;0.7;264.0;90.0;565.0;
2025-12-06;00:23;Las Ferias;6;0.0;;11.5;0.6;334.0;83.0;564.0;
2025-12-06;00:23;Guaymaral;8;0.0;0.0;11.1;0.4;326.0;84.0;564.0;11.0
2025-12-06;00:23;Kennedy;9;0.0;0.0;;0.7;301.0;84.6;;
2025-12-06;00:23;Suba;11;0.0;;11.1;0.4;30.0;;;
2025-12-06;00:23;Puente Aranda;13;0.0;0.0;13.4;1.1;211.0;87.0;564.0;
2025-12-06;00:23;MinAmbiente;17;0.0;;;-9999.0;-9999.0;;;
2025-12-06;00:23;San Cristobal;24;0.0;0.0;9.8;1.8;106.0;81.0;;
2025-12-06;00:23;Movil 7ma;26;0.0;0.0;12.8;0.6;176.0;67.6;562.0;
2025-12-06;00:23;Bolivia;27;0.0;0.0;12.1;0.7;22.0;92.0;565.0;
2025-12-06;00:23;Fontibon;30;0.0;;11.9;0.3;324.0;89.0;565.0;
2025-12-06;00:23;Usme;32;0.0;0.0;11.1;;;;562.0;
2025-12-06;00:23;Jazmin;34;0.0;0.0;12.4;0.4;211.0;91.0;564.0;
2025-12-06;00:23;Ciudad Bolivar;37;0.0;0.0;11.7;;;;558.0;
2025-12-06;00:23;Colina;38;0.3;53.0;14.8;0.9;271.0;;562.0;
2025-12-06;00:23;Movil Fontibon;39;;0.0;12.7;;;;565.0;
2025-12-06;01:34;Usaquen;1;0.0;;10.8;0.8;142.0;;;
2025-12-06;01:34;Carvajal - Sevillana;3;0.0;;11.6;0.9;234.0;;;
2025-12-06;01:34;Tunal;4;0.0;1.0;;0.4;201.0;85.0;563.0;
2025-12-06;01:34;Centro de Alto Rendimiento;5;0.0;0.0;10.8;0.7;207.0;91.0;565.0;
2025-12-06;01:34;Las Ferias;6;0.0;;11.2;0.5;334.0;84.0;564.0;
2025-12-06;01:34;Guaymaral;8;0.0;0.0;10.5;0.4;3.0;84.0;564.0;10.4
2025-12-06;01:34;Kennedy;9;0.0;0.0;;0.8;342.0;86.9;;
2025-12-06;01:34;Suba;11;0.0;;10.4;0.4;22.0;;;
2025-12-06;01:34;Puente Aranda;13;0.2;0.0;12.8;0.9;211.0;87.0;564.0;
2025-12-06;01:34;MinAmbiente;17;0.0;;;-9999.0;-9999.0;;;
2025-12-06;01:34;San Cristobal;24;0.0;0.0;9.2;1.8;110.0;82.0;;
2025-12-06;01:34;Movil 7ma;26;0.0;0.0;12.4;0.6;172.0;69.0;562.0;
2025-12-06;01:34;Bolivia;27;0.0;0.0;11.6;0.7;341.0;94.0;565.0;
2025-12-06;01:34;Fontibon;30;0.0;;11.6;0.7;345.0;90.0;565.0;
2025-12-06;01:34;Usme;32;0.0;0.0;10.1;;;;562.0;
2025-12-06;01:34;Jazmin;34;0.0;0.0;11.8;0.3;208.0;93.0;564.0;
2025-12-06;01:34;Ciudad Bolivar;37;0.1;0.0;11.1;;;;557.0;
2025-12-06;01:34;Colina;38;0.3;53.0;14.8;0.9;271.0;;562.0;
2025-12-06;01:34;Movil Fontibon;39;;0.0;11.9;;;;565.0;
2025-12-06;02:22;Usaquen;1;0.0;;10.9;0.5;128.0;;;
2025-12-06;02:22;Carvajal - Sevillana;3;0.0;;10.9;1.6;246.0;;;
2025-12-06;02:22;Tunal;4;0.0;1.0;;0.5;217.0;85.0;563.0;
2025-12-06;02:22;Centro de Alto Rendimiento;5;0.0;0.0;10.1;1.0;249.0;91.0;565.0;
2025-12-06;02:22;Las Ferias;6;0.0;;11.2;0.4;243.0;85.0;563.0;
2025-12-06;02:22;Guaymaral;8;0.1;0.0;10.5;0.4;243.0;85.0;563.0;10.3
2025-12-06;02:22;Kennedy;9;0.0;0.0;;0.5;177.0;86.9;;
2025-12-06;02:22;Suba;11;0.0;;10.0;0.5;23.0;;;
2025-12-06;02:22;Puente Aranda;13;0.0;0.0;12.3;1.2;206.0;88.0;563.0;
2025-12-06;02:22;MinAmbiente;17;0.0;;;-9999.0;-9999.0;;;
2025-12-06;02:22;San Cristobal;24;0.0;0.0;8.8;1.8;110.0;81.0;;
2025-12-06;02:22;Movil 7ma;26;0.0;0.0;11.9;0.5;182.0;70.0;562.0;
2025-12-06;02:22;Bolivia;27;0.1;0.0;11.1;0.6;313.0;96.0;564.0;
2025-12-06;02:22;Fontibon;30;0.0;;11.2;0.4;301.0;91.0;564.0;
2025-12-06;02:22;Usme;32;0.0;0.0;9.2;;;;562.0;
2025-12-06;02:22;Jazmin;34;0.0;0.0;11.0;0.4;219.0;95.0;564.0;
2025-12-06;02:22;Ciudad Bolivar;37;0.0;0.0;11.0;;;;557.0;
2025-12-06;02:22;Colina;38;0.3;53.0;14.8;0.9;271.0;;562.0;
2025-12-06;02:22;Movil Fontibon;39;;0.0;11.5;;;;564.0;
2025-12-06;03:30;Usaquen;1;0.0;;10.2;1.0;158.0;;;
2025-12-06;03:30;Carvajal - Sevillana;3;0.0;;10.2;1.6;241.0;;;
2025-12-06;03:30;Tunal;4;0.0;1.0;;0.4;214.0;85.0;563.0;
2025-12-06;03:30;Centro de Alto Rendimiento;5;0.1;0.0;9.9;0.2;305.0;91.0;564.0;
2025-12-06;03:30;Las Ferias;6;0.0;;11.3;0.5;233.0;85.0;563.0;
2025-12-06;03:30;Guaymaral;8;0.0;0.0;9.8;0.4;319.0;85.0;563.0;9.7
2025-12-06;03:30;Kennedy;9;0.0;0.0;;0.5;186.0;84.9;;
2025-12-06;03:30;Suba;11;0.0;;9.5;0.3;340.0;;;
2025-12-06;03:30;Puente Aranda;13;0.0;0.0;11.6;1.1;209.0;87.0;563.0;
2025-12-06;03:30;MinAmbiente;17;0.0;;;-9999.0;-9999.0;;;
2025-12-06;03:30;San Cristobal;24;0.0;0.0;8.5;1.6;104.0;82.0;;
2025-12-06;03:30;Movil 7ma;26;0.0;0.0;11.6;0.5;182.0;71.0;561.0;
2025-12-06;03:30;Bolivia;27;0.0;0.0;10.5;0.6;260.0;96.0;564.0;
2025-12-06;03:30;Fontibon;30;0.0;;11.2;0.5;284.0;92.0;564.0;
2025-12-06;03:30;Usme;32;0.0;0.0;9.0;;;;561.0;
2025-12-06;03:30;Jazmin;34;0.0;0.0;10.5;0.4;225.0;93.0;563.0;
2025-12-06;03:30;Ciudad Bolivar;37;0.0;0.0;10.4;;;;557.0;
2025-12-06;03:30;Colina;38;0.3;53.0;14.8;0.9;271.0;;562.0;
2025-12-06;03:30;Movil Fontibon;39;;0.0;11.5;;;;564.0;
2025-12-06;04:23;Usaquen;1;0.0;;10.6;0.7;153.0;;;
2025-12-06;04:23;Carvajal - Sevillana;3;0.0;;10.2;1.8;244.0;;;
2025-12-06;04:23;Tunal;4;0.0;1.0;;0.4;216.0;86.0;562.0;
2025-12-06;04:23;Centro de Alto Rendimiento;5;0.0;0.0;10.4;0.7;46.0;91.0;564.0;
2025-12-06;04:23;Las Ferias;6;0.0;;11.5;0.5;180.0;84.0;563.0;
2025-12-06;04:23;Guaymaral;8;0.0;0.0;10.2;0.5;330.0;86.0;563.0;9.9
2025-12-06;04:23;Kennedy;9;0.0;0.0;;0.5;182.0;86.0;;
2025-12-06;04:23;Suba;11;0.0;;10.0;0.7;354.0;;;
2025-12-06;04:23;Puente Aranda;13;0.0;0.0;11.8;0.8;208.0;86.0;563.0;
2025-12-06;04:23;MinAmbiente;17;0.0;;;-9999.0;-9999.0;;;
2025-12-06;04:23;San Cristobal;24;0.0;0.0;9.1;1.6;107.0;80.0;;
2025-12-06;04:23;Movil 7ma;26;0.0;0.0;12.0;0.4;173.0;71.3;561.0;
2025-12-06;04:23;Bolivia;27;0.0;0.0;10.6;0.4;305.0;97.0;564.0;
2025-12-06;04:23;Fontibon;30;0.0;;11.4;0.7;212.0;92.0;564.0;
2025-12-06;04:23;Usme;32;0.0;0.0;9.3;;;;561.0;
2025-12-06;04:23;Jazmin;34;0.0;0.0;11.0;0.3;233.0;92.0;563.0;
2025-12-06;04:23;Ciudad Bolivar;37;0.0;0.0;10.4;;;;557.0;
2025-12-06;04:23;Colina;38;0.3;53.0;14.8;0.9;271.0;;562.0;
2025-12-06;04:23;Movil Fontibon;39;;0.0;11.6;;;;564.0;
2025-12-06;05:24;Usaquen;1;0;;10.7;0.6;153;;;
2025-12-06;05:24;Carvajal - Sevillana;3;0;;11.1;1.7;254;;;
2025-12-06;05:24;Tunal;4;0;1;;0.5;216;85;563;
2025-12-06;05:24;Centro de Alto Rendimiento;5;0;0;10.5;0.5;268;91;564;
2025-12-06;05:24;Las Ferias;6;0.1;;11.6;0.3;220;84;563;
2025-12-06;05:24;Guaymaral;8;0;0;10.3;0.4;328;86;563;10
