Fecha;Hora;name;stationId;Presion Baro;Humedad;Lluvia;Dir Viento;Rad Solar;Vel Viento;Temperatura 8M;Temperatura
2025-12-18;00:28;Usaquen;1;;;0.0;102.0;;0.8;;11.6
2025-12-18;00:28;Carvajal - Sevillana;3;;;0.0;47.0;;1.2;;14.5
2025-12-18;00:28;Tunal;4;563.0;76.0;0.0;233.0;0.0;0.5;;
2025-12-18;00:28;Centro de Alto Rendimiento;5;564.0;89.0;0.0;38.0;0.0;1.1;;13.3
2025-12-18;00:28;Las Ferias;6;563.0;75.0;0.0;14.0;;0.7;;13.4
2025-12-18;00:28;Guaymaral;8;563.0;84.0;0.0;348.0;0.0;0.4;11.7;11.9
2025-12-18;00:28;Kennedy;9;;80.7;0.0;341.0;0.0;1.2;;
2025-12-18;00:28;Suba;11;;;0.0;36.0;;0.7;;12.3
2025-12-18;00:28;Puente Aranda;13;563.0;90.0;0.0;276.0;0.0;0.7;;15.3
2025-12-18;00:28;MinAmbiente;17;;;0.0;-9999.0;;-9999.0;;
2025-12-18;00:28;San Cristobal;24;;78.0;0.0;105.0;0.0;1.5;;12.4
2025-12-18;00:28;Movil 7ma;26;562.0;69.6;0.0;193.0;0.0;0.4;;14.4
2025-12-18;00:28;Bolivia;27;564.0;92.0;0.0;347.0;0.0;0.7;;13.3
2025-12-18;00:28;Fontibon;30;564.0;86.0;0.0;355.0;;1.1;;13.7
2025-12-18;00:28;Usme;32;562.0;;0.0;;0.0;;;13.5
2025-12-18;00:28;Jazmin;34;563.0;88.0;0.0;289.0;0.0;0.9;;14.7
2025-12-18;00:28;Ciudad Bolivar;37;557.0;;0.0;;0.0;;;13.7
2025-12-18;00:28;Colina;38;562.0;;0.3;271.0;53.0;0.9;;14.8
2025-12-18;00:28;Movil Fontibon;39;564.0;;;;0.0;;;14.8
2025-12-18;01:39;Usaquen;1;;;0.0;117.0;;0.9;;10.8
2025-12-18;01:39;Carvajal - Sevillana;3;;;0.0;49.0;;1.3;;14.0
2025-12-18;01:39;Tunal;4;562.0;79.0;0.0;220.0;0.0;0.5;;
2025-12-18;01:39;Centro de Alto Rendimiento;5;564.0;89.0;0.0;106.0;0.0;0.8;;12.7
2025-12-18;01:39;Las Ferias;6;563.0;79.0;0.0;360.0;;0.7;;12.8
2025-12-18;01:39;Guaymaral;8;563.0;84.0;0.0;304.0;0.0;0.4;10.6;10.7
2025-12-18;01:39;Kennedy;9;;84.5;0.0;336.0;0.0;1.2;;
2025-12-18;01:39;Suba;11;;;0.0;29.0;;0.7;;11.5
2025-12-18;01:39;Puente Aranda;13;563.0;94.0;0.0;258.0;0.0;1.0;;14.6
2025-12-18;01:39;MinAmbiente;17;;;0.0;-9999.0;;-9999.0;;
2025-12-18;01:39;San Cristobal;24;;76.0;0.0;109.0;0.0;1.5;;12.2
2025-12-18;01:39;Movil 7ma;26;561.0;70.9;0.0;189.0;0.0;0.4;;14.0
2025-12-18;01:39;Bolivia;27;564.0;91.0;0.0;11.0;0.0;1.0;;13.0
2025-12-18;01:39;Fontibon;30;564.0;88.0;0.0;338.0;;0.8;;13.2
2025-12-18;01:39;Usme;32;561.0;;0.0;;0.0;;;12.5
2025-12-18;01:39;Jazmin;34;563.0;94.0;0.0;286.0;0.0;0.8;;14.2
2025-12-18;01:39;Ciudad Bolivar;37;557.0;;0.0;;0.0;;;13.2
2025-12-18;01:39;Colina;38;562.0;;0.3;271.0;53.0;0.9;;14.8
2025-12-18;01:39;Movil Fontibon;39;564.0;;;;0.0;;;14.1
2025-12-18;02:26;Usaquen;1;;;0.0;117.0;;0.8;;10.2
2025-12-18;02:26;Carvajal - Sevillana;3;;;0.0;6.0;;0.4;;13.7
2025-12-18;02:26;Tunal;4;562.0;78.0;0.0;225.0;0.0;0.5;;
2025-12-18;02:26;Centro de Alto Rendimiento;5;564.0;90.0;0.0;339.0;0.0;0.5;;12.1
2025-12-18;02:26;Las Ferias;6;563.0;80.0;0.0;348.0;;0.9;;12.4
2025-12-18;02:26;Guaymaral;8;563.0;85.0;0.0;300.0;0.0;0.6;9.8;9.8
2025-12-18;02:26;Kennedy;9;;86.5;0.0;315.0;0.0;0.9;;
2025-12-18;02:26;Suba;11;;;0.0;9.0;;0.4;;10.4
2025-12-18;02:26;Puente Aranda;13;562.0;97.0;0.1;248.0;0.0;1.2;;14.0
2025-12-18;02:26;MinAmbiente;17;;;0.0;-9999.0;;-9999.0;;
2025-12-18;02:26;San Cristobal;24;;78.0;0.0;106.0;0.0;1.6;;11.4
