Fecha;Hora;name;stationId;Dir Viento;Humedad;Rad Solar;Temperatura 8M;Temperatura;Vel Viento;Presion Baro;Lluvia
2025-11-07;00:24;Usaquen;1;148.0;;;;12.1;1.2;;0.0
2025-11-07;00:24;Carvajal - Sevillana;3;245.0;;;;12.6;1.0;;0.0
2025-11-07;00:24;Tunal;4;206.0;77.0;1.0;;;0.4;564.0;0.0
2025-11-07;00:24;Centro de Alto Rendimiento;5;299.0;85.0;0.0;;8.5;0.1;566.0;0.0
2025-11-07;00:24;Las Ferias;6;359.0;75.0;;;12.3;1.2;565.0;0.0
2025-11-07;00:24;Guaymaral;8;253.0;81.0;0.0;10.6;10.0;0.6;565.0;0.0
2025-11-07;00:24;Kennedy;9;174.0;46.2;615.0;;;1.7;;0.0
2025-11-07;00:24;Suba;11;31.0;;;;10.7;1.2;;0.0
2025-11-07;00:24;Puente Aranda;13;252.0;89.0;0.0;;13.5;1.1;565.0;0.0
2025-11-07;00:24;MinAmbiente;17;-9999.0;;;;;-9999.0;;0.0
2025-11-07;00:24;San Cristobal;24;111.0;78.0;0.0;;10.6;1.4;;0.0
2025-11-07;00:24;Movil 7ma;26;177.0;62.5;0.0;;12.2;1.0;563.0;0.0
2025-11-07;00:24;Bolivia;27;68.0;85.0;0.0;;12.6;1.1;566.0;0.0
2025-11-07;00:24;Fontibon;30;51.0;83.0;;;12.5;1.1;566.0;0.0
2025-11-07;00:24;Usme;32;;;0.0;;12.3;;563.0;0.0
2025-11-07;00:24;Jazmin;34;260.0;86.0;0.0;;12.5;0.3;565.0;0.0
2025-11-07;00:24;Ciudad Bolivar;37;;;0.0;;11.6;;559.0;0.0
2025-11-07;00:24;Colina;38;271.0;;53.0;;14.8;0.9;562.0;0.3
2025-11-07;00:24;Movil Fontibon;39;;;0.0;;12.2;;566.0;
2025-11-07;01:35;Usaquen;1;131.0;;;;12.1;1.6;;0.0
2025-11-07;01:35;Carvajal - Sevillana;3;240.0;;;;12.2;1.1;;0.0
2025-11-07;01:35;Tunal;4;167.0;81.0;1.0;;;0.6;564.0;0.0
2025-11-07;01:35;Centro de Alto Rendimiento;5;288.0;85.0;0.0;;7.9;0.3;566.0;0.0
2025-11-07;01:35;Las Ferias;6;291.0;78.0;;;11.4;0.5;565.0;0.0
2025-11-07;01:35;Guaymaral;8;336.0;83.0;0.0;9.4;9.0;0.6;564.0;0.0
2025-11-07;01:35;Kennedy;9;174.0;46.2;615.0;;;1.7;;0.0
2025-11-07;01:35;Suba;11;24.0;;;;9.9;0.9;;0.0
2025-11-07;01:35;Puente Aranda;13;237.0;90.0;0.0;;13.0;0.9;564.0;0.0
2025-11-07;01:35;MinAmbiente;17;-9999.0;;;;;-9999.0;;0.0
2025-11-07;01:35;San Cristobal;24;118.0;80.0;0.0;;10.0;1.0;;0.0
2025-11-07;01:35;Movil 7ma;26;276.0;65.4;0.0;;11.7;0.4;563.0;0.0
2025-11-07;01:35;Bolivia;27;355.0;87.0;0.0;;11.7;0.9;565.0;0.0
2025-11-07;01:35;Fontibon;30;270.0;86.0;;;11.6;0.5;565.0;0.0
2025-11-07;01:35;Usme;32;;;0.0;;12.7;;563.0;0.0
2025-11-07;01:35;Jazmin;34;273.0;89.0;0.0;;11.8;0.3;565.0;0.0
2025-11-07;01:35;Ciudad Bolivar;37;;;0.0;;11.3;;558.0;0.0
2025-11-07;01:35;Colina;38;271.0;;53.0;;14.8;0.9;562.0;0.3
2025-11-07;01:35;Movil Fontibon;39;;;0.0;;11.8;;565.0;
2025-11-07;02:23;Usaquen;1;309;;;;11.9;0.6;;0
2025-11-07;02:23;Carvajal - Sevillana;3;239;;;;12.1;1.1;;0
2025-11-07;02:23;Tunal;4;152;83;1;;;0.9;563;0
2025-11-07;02:23;Centro de Alto Rendimiento;5;283;86;0;;7.5;0.4;565;0
2025-11-07;02:23;Las Ferias;6;293;82;;;10.7;0.3;564;0
2025-11-07;02:23;Guaymaral;8;307;85;0;9.3;9.2;0.7;564;0
2025-11-07;02:23;Kennedy;9;174;46.2;615;;;1.7;;0
2025-11-07;02:23;Suba;11;23;;;;9.5;1.2;;0
2025-11-07;02:23;Puente Aranda;13;321;88;0;;13.1;0.8;564;0
2025-11-07;02:23;MinAmbiente;17;-9999;;;;;-9999;;0
2025-11-07;02:23;San Cristobal;24;104;81;0;;9.5;1.2;;0
2025-11-07;02:23;Movil 7ma;26;185;68.1;0;;11.1;0.7;562;0
2025-11-07;02:23;Bolivia;27;14;90;0;;11;0.6;565;0
2025-11-07;02:23;Fontibon;30;32;89;;;11.2;1.4;564;0
2025-11-07;02:23;Usme;32;;;0;;12.1;;562;0
2025-11-07;02:23;Jazmin;34;145;90;0;;11.6;0.4;564;0
2025-11-07;02:23;Ciudad Bolivar;37;;;0;;11.1;;557;0
2025-11-07;02:23;Colina;38;271;;53;;14.8;0.9;562;0.3
2025-11-07;02:23;Movil Fontibon;39;;;0;;11.9;;565;
