Fecha;Hora;name;stationId;OZONO;PM25;CO;BBP;eBC;SO2;NO;PM10;NO2;NOX
2025-12-10;00:26;Usaquen;1;-9999;1.7;-9999;;;-9999;-9999;35.3;-9999;-9999
2025-12-10;00:26;Carvajal - Sevillana;3;;39;1.21;;;2.1;;105;;
2025-12-10;00:26;Tunal;4;1.1;0;-9999;6.1;4.2;0.7;34.6;50;10.8;45.4
2025-12-10;00:26;Centro de Alto Rendimiento;5;-9999;12;2.14;10.2;14.7;0.3;94.1;38.4;12.6;106.7
2025-12-10;00:26;Las Ferias;6;0.1;18;1;;;;64.6;23.6;19.5;84.2
2025-12-10;00:26;Guaymaral;8;0.3;18;0.72;;;2.4;91.2;47;13.9;105.1
2025-12-10;00:26;Kennedy;9;0.1;21.4;1.76;7.6;9.7;0.9;99.6;43.3;29;128.6
2025-12-10;00:26;Suba;11;0.6;985;0.55;;;99.9;0;63.2;0;0
2025-12-10;00:26;Puente Aranda;13;1;28.2;1.72;0.1;-9999;1.9;123;51.6;23.9;146.1
2025-12-10;00:26;MinAmbiente;17;9.3;5;0.15;;;0.9;7;13;6.8;13.8
2025-12-10;00:26;San Cristobal;24;5.9;4;0.18;0.9;0.9;0.3;-9999;10;-9999;-9999
2025-12-10;00:26;Movil 7ma;26;;6.9;-9999;;;;;27.2;;
2025-12-10;00:26;Bolivia;27;0.3;20.5;0.47;;;;40.5;56.3;24.7;65.2
2025-12-10;00:26;Fontibon;30;1.7;15;0.78;6;5.9;-9999;53.7;-9999;22.8;76.6
2025-12-10;00:26;Usme;32;1.6;5.4;0.42;;;4.7;26;31.6;22.4;48.3
2025-12-10;00:26;Jazmin;34;0.1;17.3;0.86;;;0.7;51.9;35.7;23.9;75.8
2025-12-10;00:26;Ciudad Bolivar;37;6.6;5.6;0.75;8.7;4.8;1.2;46.7;17.8;22.5;69.2
2025-12-10;00:26;Colina;38;-9999;8;0.7;;;0.4;23.5;2.4;62.8;86.3
2025-12-10;00:26;Movil Fontibon;39;;14.2;-9999;;;;-9999;79.8;-9999;-9999
