Fecha;Hora;name;stationId;SO2;BBP;PM10;CO;OZONO;NOX;NO2;NO;eBC;PM25
2025-10-20;00:23;Usaquen;1;-9999.0;;7.6;-9999.0;-9999.0;-9999.0;-9999.0;-9999.0;;4.2
2025-10-20;00:23;Carvajal - Sevillana;3;2.0;;83.0;4.79;;;;;;29.0
2025-10-20;00:23;Tunal;4;1.6;0.8;13.0;-9999.0;4.5;36.9;15.2;21.8;2.3;12.0
2025-10-20;00:23;Centro de Alto Rendimiento;5;-0.4;5.0;5.6;0.32;4.4;0.0;0.0;0.0;2.3;2.3
2025-10-20;00:23;Las Ferias;6;;;5.8;0.49;4.9;25.8;19.1;6.7;;10.0
2025-10-20;00:23;Guaymaral;8;0.1;;22.0;0.44;0.9;22.4;14.4;8.0;;9.0
2025-10-20;00:23;Kennedy;9;0.7;-9999.0;29.1;0.84;1.8;30.0;20.3;9.7;-9999.0;9.6
2025-10-20;00:23;Suba;11;0.5;;22.5;0.37;2.4;20.1;13.0;7.1;;11.0
2025-10-20;00:23;Puente Aranda;13;1.6;4.1;1.8;0.49;1.7;46.5;25.9;20.8;0.7;3.1
2025-10-20;00:23;MinAmbiente;17;0.4;;6.0;0.33;16.6;8.0;5.6;2.4;;985.0
2025-10-20;00:23;San Cristobal;24;0.0;130.8;9.0;0.23;11.5;5.1;3.8;1.2;0.5;6.0
2025-10-20;00:23;Movil 7ma;26;;;13.6;-9999.0;;;;;;4.1
2025-10-20;00:23;Bolivia;27;;;27.6;0.92;1.3;29.4;17.6;11.8;;1.9
2025-10-20;00:23;Fontibon;30;1.3;8.8;30.3;0.79;1.0;48.6;28.9;19.7;2.7;18.6
2025-10-20;00:23;Usme;32;9.7;;20.6;0.27;4.7;27.6;18.9;8.7;;3.6
2025-10-20;00:23;Jazmin;34;0.9;;17.5;0.41;5.8;24.9;20.4;4.5;;1.4
2025-10-20;00:23;Ciudad Bolivar;37;0.7;13.6;12.8;0.38;9.0;29.2;18.6;10.7;2.9;3.0
2025-10-20;00:23;Colina;38;0.4;;2.4;0.7;-9999.0;86.3;62.8;23.5;;8.0
2025-10-20;00:23;Movil Fontibon;39;;;52.9;-9999.0;;-9999.0;-9999.0;-9999.0;;2.8
2025-10-20;01:35;Usaquen;1;-9999.0;;6.9;-9999.0;-9999.0;-9999.0;-9999.0;-9999.0;;3.0
2025-10-20;01:35;Carvajal - Sevillana;3;1.9;;79.0;4.79;;;;;;29.0
2025-10-20;01:35;Tunal;4;0.9;3.3;28.0;-9999.0;2.9;23.6;11.3;12.3;2.1;19.0
2025-10-20;01:35;Centro de Alto Rendimiento;5;0.6;4.1;4.9;0.46;4.3;0.0;0.0;0.0;2.3;2.5
2025-10-20;01:35;Las Ferias;6;;;5.8;0.67;0.6;46.0;23.9;22.2;;8.0
2025-10-20;01:35;Guaymaral;8;0.2;;21.0;0.41;0.9;32.7;14.8;17.9;;9.0
2025-10-20;01:35;Kennedy;9;0.9;-9999.0;36.7;0.77;1.6;27.7;19.6;8.1;-9999.0;7.6
2025-10-20;01:35;Suba;11;0.8;;25.3;0.43;1.5;19.0;14.7;4.3;;9.0
2025-10-20;01:35;Puente Aranda;13;1.4;5.8;1.7;0.68;1.1;55.0;27.0;28.0;1.4;6.0
2025-10-20;01:35;MinAmbiente;17;0.6;;1.0;0.24;13.6;7.4;5.6;1.8;;985.0
2025-10-20;01:35;San Cristobal;24;0.0;45.8;4.0;0.17;12.9;3.2;2.7;0.5;0.3;5.0
2025-10-20;01:35;Movil 7ma;26;;;18.3;-9999.0;;;;;;4.0
2025-10-20;01:35;Bolivia;27;;;35.1;0.82;1.3;32.0;18.2;13.8;;2.0
