Fecha;Hora;name;stationId;NO2;PM25;BBP;NOX;eBC;NO;SO2;OZONO;PM10;CO
2026-01-03;00:26;Usaquen;1;-9999.0;0.0;;-9999.0;;-9999.0;-9999.0;-9999.0;0.0;-9999.0
2026-01-03;00:26;Carvajal - Sevillana;3;;27.0;;;;;1.5;;55.0;1.03
2026-01-03;00:26;Tunal;4;4.8;11.0;6.3;38.0;1.1;33.2;1.7;5.5;33.0;-9999.0
2026-01-03;00:26;Centro de Alto Rendimiento;5;16.1;9.1;14.2;48.6;5.4;32.5;1.1;-9999.0;16.6;0.72
2026-01-03;00:26;Las Ferias;6;19.4;2.0;;47.3;;28.0;;0.2;12.1;0.65
2026-01-03;00:26;Guaymaral;8;9.5;1.0;;17.6;;8.1;0.3;7.5;15.0;0.33
2026-01-03;00:26;Kennedy;9;19.5;8.8;-9999.0;25.2;-9999.0;5.6;1.4;3.2;25.1;0.78
2026-01-03;00:26;Suba;11;11.5;12.0;;14.2;;2.7;0.5;1.5;36.8;0.27
2026-01-03;00:26;Puente Aranda;13;16.9;5.3;3.1;28.3;1.9;11.4;1.1;2.1;4.5;0.32
2026-01-03;00:26;MinAmbiente;17;12.4;5.0;;20.8;;8.4;0.8;3.4;19.0;0.54
2026-01-03;00:26;San Cristobal;24;0.1;16.0;5.1;1.4;0.6;1.3;1.2;9.2;9.0;0.28
2026-01-03;00:26;Movil 7ma;26;;5.9;;;;;;;41.2;-9999.0
2026-01-03;00:26;Bolivia;27;-9999.0;9.9;;-9999.0;;-9999.0;;-9999.0;39.0;-9999.0
2026-01-03;00:26;Fontibon;30;19.5;14.0;6.8;30.1;2.3;10.6;0.9;2.0;20.0;0.59
2026-01-03;00:26;Usme;32;7.3;2.6;;10.3;;3.0;4.0;9.6;21.7;0.2
2026-01-03;00:26;Jazmin;34;19.1;5.3;;26.1;;7.0;1.0;2.0;12.3;0.32
2026-01-03;00:26;Ciudad Bolivar;37;20.8;3.5;-9999.0;46.5;-9999.0;25.6;1.9;4.5;15.4;0.54
2026-01-03;00:26;Colina;38;5.8;0.0;;7.5;;1.8;0.8;14.8;0.0;0.35
2026-01-03;00:26;Movil Fontibon;39;-9999.0;12.3;;-9999.0;;-9999.0;;;43.2;-9999.0
2026-01-03;01:38;Usaquen;1;-9999;0.1;;-9999;;-9999;-9999;-9999;0;-9999
2026-01-03;01:38;Carvajal - Sevillana;3;;27;;;;;1.5;;55;1.03
2026-01-03;01:38;Tunal;4;4.5;7;4.8;35.7;0.8;31.1;1.9;7.8;21;-9999
2026-01-03;01:38;Centro de Alto Rendimiento;5;12.7;9.3;8.4;43.8;5.8;31;1;-9999;22;0.61
2026-01-03;01:38;Las Ferias;6;18.7;6;;29.8;;11.1;;0.6;12.8;0.51
2026-01-03;01:38;Guaymaral;8;9.2;3;;8.8;;-0.4;0.1;5;14;0.31
2026-01-03;01:38;Kennedy;9;19.9;8;-9999;32.4;-9999;12.5;2.5;2.1;19.1;0.72
2026-01-03;01:38;Suba;11;12.8;13;;15.1;;2.3;1;1.6;30.3;0.25
2026-01-03;01:38;Puente Aranda;13;19.2;4.6;3.1;36.3;3;17.2;1.5;0.6;3.2;0.29
2026-01-03;01:38;MinAmbiente;17;11.4;3;;16.9;;5.4;0.7;3;17;0.42
2026-01-03;01:38;San Cristobal;24;0.1;1;69.6;1.5;0.3;1.4;1.2;8.3;11;0.25
2026-01-03;01:38;Movil 7ma;26;;5.5;;;;;;;43.3;-9999
2026-01-03;01:38;Bolivia;27;-9999;20.9;;-9999;;-9999;;-9999;54.4;-9999
2026-01-03;01:38;Fontibon;30;21.9;9;10.6;55.9;3.1;34;1.6;1.5;20;0.66
2026-01-03;01:38;Usme;32;6.5;2.8;;9.6;;3.1;1.8;9.3;12.6;0.21
2026-01-03;01:38;Jazmin;34;21.4;4.6;;30.2;;8.8;1.2;1;15.6;0.36
2026-01-03;01:38;Ciudad Bolivar;37;14.1;3.5;-9999;23.5;-9999;9.4;1.9;9.2;20.6;0.17
2026-01-03;01:38;Colina;38;5.8;0;;7.5;;1.8;0.8;14.8;0;0.35
2026-01-03;01:38;Movil Fontibon;39;-9999;11.3;;-9999;;-9999;;;42.5;-9999
