Fecha;Hora;name;stationId;eBC;NOX;NO2;BBP;SO2;PM10;NO;CO;OZONO;PM25
2025-10-17;00:21;Usaquen;1;;-9999.0;-9999.0;;-9999.0;14.7;-9999.0;-9999.0;-9999.0;6.5
2025-10-17;00:21;Carvajal - Sevillana;3;;;;;1.0;119.0;;4.78;;54.0
2025-10-17;00:21;Tunal;4;11.8;79.6;27.1;4.2;4.1;92.0;52.5;-9999.0;1.4;50.0
2025-10-17;00:21;Centro de Alto Rendimiento;5;11.5;47.0;22.7;1.4;1.7;62.7;24.3;0.92;8.2;29.8
2025-10-17;00:21;Las Ferias;6;;63.6;34.9;;;42.9;28.7;0.82;0.7;39.0
2025-10-17;00:21;Guaymaral;8;;25.6;24.2;;0.3;45.0;1.4;0.64;0.9;20.0
2025-10-17;00:21;Kennedy;9;2.3;18.5;16.9;4.2;0.8;54.5;1.7;0.53;9.2;24.9
2025-10-17;00:21;Suba;11;;37.6;22.6;;0.7;50.7;15.0;0.66;0.6;26.0
2025-10-17;00:21;Puente Aranda;13;3.2;47.0;30.3;0.4;1.8;51.0;16.6;0.68;2.1;21.5
2025-10-17;00:21;MinAmbiente;17;;73.0;32.1;;1.0;77.0;40.8;1.38;0.9;28.0
2025-10-17;00:21;San Cristobal;24;1.0;14.3;10.7;7.3;0.6;17.0;3.6;0.34;4.5;9.0
2025-10-17;00:21;Movil 7ma;26;;;;;;77.2;;-9999.0;;24.4
2025-10-17;00:21;Bolivia;27;;52.9;23.7;;;146.0;29.3;1.2;0.2;39.2
2025-10-17;00:21;Fontibon;30;2.8;19.0;17.7;0.6;1.1;81.2;1.3;0.32;9.0;54.7
2025-10-17;00:21;Usme;32;;49.7;25.6;;2.8;64.3;24.1;0.94;0.6;29.5
2025-10-17;00:21;Jazmin;34;;53.6;35.1;;2.8;68.5;18.5;0.75;0.6;22.4
2025-10-17;00:21;Ciudad Bolivar;37;6.5;34.6;28.0;7.9;1.4;91.7;6.6;0.63;3.2;35.1
2025-10-17;00:21;Colina;38;;14.0;11.9;;-0.1;12.4;2.1;0.18;5.2;4.0
2025-10-17;00:21;Movil Fontibon;39;;-9999.0;-9999.0;;;123.4;-9999.0;-9999.0;;27.6
2025-10-17;01:33;Usaquen;1;;-9999;-9999;;-9999;27;-9999;-9999;-9999;5.9
2025-10-17;01:33;Carvajal - Sevillana;3;;;;;0.8;101;;4.79;;39
2025-10-17;01:33;Tunal;4;9.2;68.7;25.3;2.4;3.5;108;43.4;-9999;1.3;60
2025-10-17;01:33;Centro de Alto Rendimiento;5;5.5;31.8;20.9;2.6;1.4;71.5;10.9;0.48;11.2;35.4
2025-10-17;01:33;Las Ferias;6;;34.5;25.9;;;52;8.6;0.45;7.8;46
2025-10-17;01:33;Guaymaral;8;;33.1;23.7;;0.3;49;9.4;0.61;0.8;27
2025-10-17;01:33;Kennedy;9;2.7;22.7;21.1;4.5;0.8;45.4;1.6;0.64;6.1;36.2
2025-10-17;01:33;Suba;11;;31.2;23.2;;1.1;57;8.1;0.63;0.7;28
2025-10-17;01:33;Puente Aranda;13;2;38.8;29.9;1.9;1.4;51.7;8.9;0.35;2.4;18.7
2025-10-17;01:33;MinAmbiente;17;;59;30.5;;1.2;66;28.6;1.12;0.9;23
2025-10-17;01:33;San Cristobal;24;1;9.1;6.9;4.5;0.4;8;2.2;0.33;3.4;8
2025-10-17;01:33;Movil 7ma;26;;;;;;77.9;;-9999;;33.5
2025-10-17;01:33;Bolivia;27;;37.3;22.8;;;125;14.5;0.85;1.5;31.2
2025-10-17;01:33;Fontibon;30;1.7;13.1;12.6;1.4;0.8;28.3;0.5;0.2;14;15.3
2025-10-17;01:33;Usme;32;;75.5;28.6;;2.5;42.6;46.9;1.11;0.7;27.3
2025-10-17;01:33;Jazmin;34;;50.3;34.4;;2.8;68.9;15.9;0.6;0.4;28.7
2025-10-17;01:33;Ciudad Bolivar;37;5.8;37.8;24.9;6.5;1.6;85.3;12.9;0.47;4.4;39.3
2025-10-17;01:33;Colina;38;;14;11.9;;-0.1;12.4;2.1;0.18;5.2;4
2025-10-17;01:33;Movil Fontibon;39;;-9999;-9999;;;68.2;-9999;-9999;;31.9
