Fecha;Hora;name;stationId;eBC;NOX;NO2;BBP;SO2;PM10;NO;CO;OZONO;PM25
2025-10-17;00:21;Usaquen;1;;-9999;-9999;;-9999;14.7;-9999;-9999;-9999;6.5
2025-10-17;00:21;Carvajal - Sevillana;3;;;;;1;119;;4.78;;54
2025-10-17;00:21;Tunal;4;11.8;79.6;27.1;4.2;4.1;92;52.5;-9999;1.4;50
2025-10-17;00:21;Centro de Alto Rendimiento;5;11.5;47;22.7;1.4;1.7;62.7;24.3;0.92;8.2;29.8
2025-10-17;00:21;Las Ferias;6;;63.6;34.9;;;42.9;28.7;0.82;0.7;39
2025-10-17;00:21;Guaymaral;8;;25.6;24.2;;0.3;45;1.4;0.64;0.9;20
2025-10-17;00:21;Kennedy;9;2.3;18.5;16.9;4.2;0.8;54.5;1.7;0.53;9.2;24.9
2025-10-17;00:21;Suba;11;;37.6;22.6;;0.7;50.7;15;0.66;0.6;26
2025-10-17;00:21;Puente Aranda;13;3.2;47;30.3;0.4;1.8;51;16.6;0.68;2.1;21.5
2025-10-17;00:21;MinAmbiente;17;;73;32.1;;1;77;40.8;1.38;0.9;28
2025-10-17;00:21;San Cristobal;24;1;14.3;10.7;7.3;0.6;17;3.6;0.34;4.5;9
2025-10-17;00:21;Movil 7ma;26;;;;;;77.2;;-9999;;24.4
2025-10-17;00:21;Bolivia;27;;52.9;23.7;;;146;29.3;1.2;0.2;39.2
2025-10-17;00:21;Fontibon;30;2.8;19;17.7;0.6;1.1;81.2;1.3;0.32;9;54.7
2025-10-17;00:21;Usme;32;;49.7;25.6;;2.8;64.3;24.1;0.94;0.6;29.5
2025-10-17;00:21;Jazmin;34;;53.6;35.1;;2.8;68.5;18.5;0.75;0.6;22.4
2025-10-17;00:21;Ciudad Bolivar;37;6.5;34.6;28;7.9;1.4;91.7;6.6;0.63;3.2;35.1
2025-10-17;00:21;Colina;38;;14;11.9;;-0.1;12.4;2.1;0.18;5.2;4
2025-10-17;00:21;Movil Fontibon;39;;-9999;-9999;;;123.4;-9999;-9999;;27.6
