Fecha;Hora;name;stationId;Humedad;Rad Solar;Vel Viento;Temperatura;Presion Baro;Temperatura 8M;Dir Viento;Lluvia
2025-11-16;00:23;Usaquen;1;;;0.9;12.4;;;159.0;0.0
2025-11-16;00:23;Carvajal - Sevillana;3;;;1.4;13.7;;;45.0;0.0
2025-11-16;00:23;Tunal;4;88.0;1.0;0.3;;563.0;;224.0;0.0
2025-11-16;00:23;Centro de Alto Rendimiento;5;88.0;0.0;0.3;10.9;565.0;;324.0;0.0
2025-11-16;00:23;Las Ferias;6;82.0;;0.8;13.3;564.0;;202.0;0.0
2025-11-16;00:23;Guaymaral;8;83.0;0.0;0.4;13.2;564.0;13.1;332.0;0.0
2025-11-16;00:23;Kennedy;9;89.4;0.0;1.2;;;;293.0;0.1
2025-11-16;00:23;Suba;11;;;0.4;13.0;;;301.0;0.0
2025-11-16;00:23;Puente Aranda;13;99.0;0.0;1.2;14.0;563.0;;282.0;0.0
2025-11-16;00:23;MinAmbiente;17;;;-9999.0;;;;-9999.0;0.0
2025-11-16;00:23;San Cristobal;24;88.0;0.0;1.4;11.4;;;109.0;0.0
2025-11-16;00:23;Movil 7ma;26;72.5;0.0;0.5;10.3;562.0;;191.0;0.0
2025-11-16;00:23;Bolivia;27;93.0;0.0;1.2;13.2;565.0;;281.0;0.0
2025-11-16;00:23;Fontibon;30;92.0;;1.6;13.0;564.0;;274.0;0.0
2025-11-16;00:23;Usme;32;;0.0;;12.7;562.0;;;0.0
2025-11-16;00:23;Jazmin;34;98.0;0.0;0.5;13.9;564.0;;299.0;0.0
2025-11-16;00:23;Ciudad Bolivar;37;;0.0;;13.0;557.0;;;0.0
2025-11-16;00:23;Colina;38;;53.0;0.9;14.8;562.0;;271.0;0.3
2025-11-16;00:23;Movil Fontibon;39;;1.0;;13.5;564.0;;;
2025-11-16;01:33;Usaquen;1;;;1.0;12.4;;;159.0;0.0
2025-11-16;01:33;Carvajal - Sevillana;3;;;1.5;13.3;;;30.0;0.0
2025-11-16;01:33;Tunal;4;89.0;1.0;0.9;;563.0;;291.0;0.0
2025-11-16;01:33;Centro de Alto Rendimiento;5;88.0;0.0;0.5;11.3;564.0;;282.0;0.0
2025-11-16;01:33;Las Ferias;6;82.0;;1.9;13.3;563.0;;221.0;0.0
2025-11-16;01:33;Guaymaral;8;83.0;0.0;0.5;13.3;563.0;13.1;264.0;0.3
2025-11-16;01:33;Kennedy;9;89.8;0.0;1.8;;;;271.0;0.0
2025-11-16;01:33;Suba;11;;;0.5;12.8;;;271.0;0.0
2025-11-16;01:33;Puente Aranda;13;100.0;0.0;1.6;13.5;563.0;;248.0;0.0
2025-11-16;01:33;MinAmbiente;17;;;-9999.0;;;;-9999.0;0.0
2025-11-16;01:33;San Cristobal;24;87.0;0.0;1.4;11.4;;;106.0;0.0
2025-11-16;01:33;Movil 7ma;26;73.1;0.0;0.4;10.1;562.0;;284.0;0.0
2025-11-16;01:33;Bolivia;27;94.0;0.0;1.0;13.2;564.0;;290.0;0.0
2025-11-16;01:33;Fontibon;30;92.0;;3.0;12.8;564.0;;242.0;0.0
2025-11-16;01:33;Usme;32;;0.0;;12.7;562.0;;;0.0
2025-11-16;01:33;Jazmin;34;100.0;0.0;1.4;13.5;563.0;;286.0;0.0
2025-11-16;01:33;Ciudad Bolivar;37;;0.0;;12.3;557.0;;;0.0
2025-11-16;01:33;Colina;38;;53.0;0.9;14.8;562.0;;271.0;0.3
2025-11-16;01:33;Movil Fontibon;39;;1.0;;13.2;564.0;;;
