Fecha;Hora;name;stationId;BBP;CO;SO2;NO2;OZONO;PM10;eBC;PM25;NO;NOX
2025-10-27;00:25;Usaquen;1;;-9999;-9999;-9999;-9999;5.9;;2;-9999;-9999
2025-10-27;00:25;Carvajal - Sevillana;3;;4.84;2;;;42;;14;;
2025-10-27;00:25;Tunal;4;7.3;-9999;1;6.9;8.2;5;0.9;2;4.9;11.8
2025-10-27;00:25;Centro de Alto Rendimiento;5;8.5;0.29;0.8;11.1;6.6;21.2;2.8;4.7;9.2;20.2
2025-10-27;00:25;Las Ferias;6;;0.33;;14.9;2.2;8.1;;8;7;21.9
2025-10-27;00:25;Guaymaral;8;;0.22;0.4;8.9;6.5;21;;2;-2.5;6.4
2025-10-27;00:25;Kennedy;9;4.7;0.48;3.9;16.3;10.5;17.7;1.5;4;2.1;18.4
2025-10-27;00:25;Suba;11;;0.35;1.5;10.2;2.5;15.3;;8;0.7;10.9
2025-10-27;00:25;Puente Aranda;13;7.8;0.5;1.6;26.9;1;3.5;1.1;1;18.2;45.1
2025-10-27;00:25;MinAmbiente;17;;0.42;0.2;8.5;7.1;5;;4;4.6;13.1
2025-10-27;00:25;San Cristobal;24;6.7;0.22;0.2;8.3;5.7;11;0.5;7;2;10.4
2025-10-27;00:25;Movil 7ma;26;;-9999;;;;28.6;;1;;
2025-10-27;00:25;Bolivia;27;;0.61;;15.5;16;46.5;;14.9;3.2;18.6
2025-10-27;00:25;Fontibon;30;10.2;0.39;1.1;20.9;3;12.7;1.8;11.6;6.6;27.5
2025-10-27;00:25;Usme;32;;0.26;4.5;11;8.5;22.2;;2.7;3.4;14.4
2025-10-27;00:25;Jazmin;34;;0.23;1;12.6;6.7;7.3;;3.4;2;14.6
2025-10-27;00:25;Ciudad Bolivar;37;5.4;0.39;2.4;15.7;6.7;14.1;2.1;2.9;8;23.7
2025-10-27;00:25;Colina;38;;0.7;0.4;62.8;-9999;2.4;;8;23.5;86.3
2025-10-27;00:25;Movil Fontibon;39;;-9999;;-9999;;40.3;;9;-9999;-9999
