Fecha;Hora;name;stationId;PM25;SO2;eBC;OZONO;NO2;PM10;CO;NOX;BBP;NO
2025-11-05;00:24;Usaquen;1;1.6;-9999.0;;-9999.0;-9999.0;24.2;-9999.0;-9999.0;;-9999.0
2025-11-05;00:24;Carvajal - Sevillana;3;53.0;1.4;;;;108.0;1.31;;;
2025-11-05;00:24;Tunal;4;26.0;3.3;7.2;1.2;18.0;47.0;-9999.0;67.2;4.0;49.3
2025-11-05;00:24;Centro de Alto Rendimiento;5;26.6;1.5;12.8;2.7;19.3;70.5;1.18;65.4;8.6;46.1
2025-11-05;00:24;Las Ferias;6;30.0;;;0.6;33.7;42.9;0.97;86.1;;52.4
2025-11-05;00:24;Guaymaral;8;12.0;1.7;;-0.3;21.3;43.0;0.73;98.1;;76.9
2025-11-05;00:24;Kennedy;9;16.7;-0.5;3.0;15.7;12.4;31.6;0.69;28.5;4.5;16.1
2025-11-05;00:24;Suba;11;17.0;0.9;;0.9;19.4;85.0;0.54;36.3;;16.8
2025-11-05;00:24;Puente Aranda;13;24.7;2.4;2.7;1.0;27.4;39.7;1.07;80.5;7.0;53.6
2025-11-05;00:24;MinAmbiente;17;8.0;0.7;;4.5;19.3;29.0;0.68;31.3;;12.0
2025-11-05;00:24;San Cristobal;24;7.0;0.9;0.5;9.6;4.7;11.0;0.14;6.2;12.0;1.5
2025-11-05;00:24;Movil 7ma;26;11.8;;;;;48.4;-9999.0;;;
2025-11-05;00:24;Bolivia;27;31.7;;;0.5;21.3;104.3;0.92;46.7;;25.4
2025-11-05;00:24;Fontibon;30;39.0;1.2;6.7;0.8;25.7;67.6;0.44;32.8;0.0;7.1
2025-11-05;00:24;Usme;32;36.4;14.1;;2.6;19.9;71.7;0.4;28.8;;8.9
2025-11-05;00:24;Jazmin;34;24.8;1.1;;0.1;23.0;44.6;1.12;69.0;;46.0
2025-11-05;00:24;Ciudad Bolivar;37;32.4;1.5;17.2;1.0;-0.2;70.1;1.92;0.0;10.5;0.2
2025-11-05;00:24;Colina;38;8.0;0.4;;-9999.0;62.8;2.4;0.7;86.3;;23.5
2025-11-05;00:24;Movil Fontibon;39;29.6;;;;-9999.0;133.2;-9999.0;-9999.0;;-9999.0
2025-11-05;01:35;Usaquen;1;5.8;-9999.0;;-9999.0;-9999.0;25.3;-9999.0;-9999.0;;-9999.0
2025-11-05;01:35;Carvajal - Sevillana;3;49.0;1.4;;;;76.0;1.23;;;
2025-11-05;01:35;Tunal;4;13.0;2.4;3.6;1.2;12.9;63.0;-9999.0;28.3;3.2;15.5
2025-11-05;01:35;Centro de Alto Rendimiento;5;42.8;1.4;11.6;7.5;13.5;55.8;0.95;55.9;4.0;42.4
