Fecha;Hora;name;stationId;Rad Solar;Lluvia;Temperatura;Vel Viento;Temperatura 8M;Humedad;Presion Baro;Dir Viento
2025-12-12;00:27;Usaquen;1;;0.0;13.3;0.9;;;;347.0
2025-12-12;00:27;Carvajal - Sevillana;3;;0.0;14.4;0.5;;;;91.0
2025-12-12;00:27;Tunal;4;1.0;0.0;;0.9;;74.0;563.0;272.0
2025-12-12;00:27;Centro de Alto Rendimiento;5;0.0;0.0;12.6;2.3;;78.0;565.0;30.0
2025-12-12;00:27;Las Ferias;6;;0.0;13.5;1.3;;68.0;564.0;318.0
2025-12-12;00:27;Guaymaral;8;0.0;0.0;11.3;0.9;11.4;79.0;564.0;303.0
2025-12-12;00:27;Kennedy;9;0.0;0.0;;1.3;;78.1;;344.0
2025-12-12;00:27;Suba;11;;0.0;11.5;1.2;;;;19.0
2025-12-12;00:27;Puente Aranda;13;0.0;0.0;14.6;1.2;;78.0;563.0;285.0
2025-12-12;00:27;MinAmbiente;17;;0.0;;-9999.0;;;;-9999.0
2025-12-12;00:27;San Cristobal;24;0.0;0.0;12.2;0.1;;70.0;;138.0
2025-12-12;00:27;Movil 7ma;26;0.0;0.0;15.0;0.3;;56.6;562.0;146.0
2025-12-12;00:27;Bolivia;27;0.0;0.0;12.9;1.7;;83.0;565.0;18.0
2025-12-12;00:27;Fontibon;30;;0.0;13.4;3.3;;76.0;564.0;32.0
2025-12-12;00:27;Usme;32;0.0;0.0;14.1;;;;562.0;
2025-12-12;00:27;Jazmin;34;0.0;0.0;14.1;1.3;;76.0;564.0;319.0
2025-12-12;00:27;Ciudad Bolivar;37;0.0;0.0;13.8;;;;557.0;
2025-12-12;00:27;Colina;38;53.0;0.3;14.8;0.9;;;562.0;271.0
2025-12-12;00:27;Movil Fontibon;39;0.0;;14.0;;;;565.0;
2025-12-12;01:39;Usaquen;1;;0.0;12.3;1.3;;;;109.0
2025-12-12;01:39;Carvajal - Sevillana;3;;0.0;13.2;0.6;;;;299.0
2025-12-12;01:39;Tunal;4;1.0;0.0;;0.7;;74.0;563.0;220.0
2025-12-12;01:39;Centro de Alto Rendimiento;5;0.0;0.0;12.4;0.9;;77.0;565.0;121.0
2025-12-12;01:39;Las Ferias;6;;0.0;12.8;1.0;;70.0;563.0;44.0
2025-12-12;01:39;Guaymaral;8;0.0;0.0;11.0;0.9;11.2;81.0;563.0;216.0
2025-12-12;01:39;Kennedy;9;0.0;0.0;;0.6;;77.2;;244.0
2025-12-12;01:39;Suba;11;;0.0;11.2;1.0;;;;97.0
2025-12-12;01:39;Puente Aranda;13;0.0;0.0;14.4;1.4;;77.0;563.0;87.0
2025-12-12;01:39;MinAmbiente;17;;0.0;;-9999.0;;;;-9999.0
2025-12-12;01:39;San Cristobal;24;0.0;0.0;10.9;1.5;;74.0;;112.0
2025-12-12;01:39;Movil 7ma;26;0.0;0.0;13.9;0.4;;59.1;562.0;231.0
2025-12-12;01:39;Bolivia;27;0.0;0.0;13.1;1.2;;84.0;564.0;97.0
2025-12-12;01:39;Fontibon;30;;0.0;12.7;1.4;;79.0;564.0;45.0
2025-12-12;01:39;Usme;32;0.0;0.0;12.4;;;;562.0;
2025-12-12;01:39;Jazmin;34;0.0;0.0;13.5;0.6;;81.0;564.0;224.0
2025-12-12;01:39;Ciudad Bolivar;37;0.0;0.0;12.3;;;;557.0;
2025-12-12;01:39;Colina;38;53.0;0.3;14.8;0.9;;;562.0;271.0
2025-12-12;01:39;Movil Fontibon;39;0.0;;13.0;;;;564.0;
2025-12-12;02:27;Usaquen;1;;0.0;11.6;0.6;;;;1.0
2025-12-12;02:27;Carvajal - Sevillana;3;;0.0;13.1;2.7;;;;242.0
2025-12-12;02:27;Tunal;4;1.0;0.0;;1.0;;78.0;562.0;178.0
2025-12-12;02:27;Centro de Alto Rendimiento;5;0.0;0.0;11.2;1.2;;80.0;564.0;156.0
2025-12-12;02:27;Las Ferias;6;;0.0;12.0;0.9;;70.0;563.0;42.0
2025-12-12;02:27;Guaymaral;8;0.0;0.0;12.2;1.5;12.4;78.0;563.0;121.0
2025-12-12;02:27;Kennedy;9;0.0;0.0;;0.5;;80.8;;174.0
2025-12-12;02:27;Suba;11;;0.0;10.6;0.9;;;;25.0
2025-12-12;02:27;Puente Aranda;13;0.0;0.0;13.8;1.0;;80.0;563.0;163.0
2025-12-12;02:27;MinAmbiente;17;;0.0;;-9999.0;;;;-9999.0
2025-12-12;02:27;San Cristobal;24;0.0;0.0;10.7;0.7;;74.0;;148.0
2025-12-12;02:27;Movil 7ma;26;0.0;0.0;13.3;0.0;;59.3;561.0;182.0
2025-12-12;02:27;Bolivia;27;0.0;0.0;12.2;0.9;;84.0;564.0;1.0
2025-12-12;02:27;Fontibon;30;;0.0;12.4;0.6;;80.0;563.0;144.0
2025-12-12;02:27;Usme;32;0.0;0.0;12.5;;;;561.0;
2025-12-12;02:27;Jazmin;34;0.0;0.0;12.8;0.7;;82.0;563.0;262.0
2025-12-12;02:27;Ciudad Bolivar;37;0.0;0.0;12.8;;;;556.0;
2025-12-12;02:27;Colina;38;53.0;0.3;14.8;0.9;;;562.0;271.0
2025-12-12;02:27;Movil Fontibon;39;0.0;;12.8;;;;564.0;
2025-12-12;03:36;Usaquen;1;;0.0;12.2;0.4;;;;20.0
2025-12-12;03:36;Carvajal - Sevillana;3;;0.0;13.3;2.2;;;;241.0
2025-12-12;03:36;Tunal;4;1.0;0.0;;0.9;;78.0;562.0;188.0
2025-12-12;03:36;Centro de Alto Rendimiento;5;0.0;0.0;10.3;1.3;;82.0;564.0;338.0
2025-12-12;03:36;Las Ferias;6;;0.0;11.9;0.5;;68.0;563.0;298.0
2025-12-12;03:36;Guaymaral;8;0.0;0.0;10.8;0.8;11.2;75.0;563.0;2.0
2025-12-12;03:36;Kennedy;9;0.0;0.0;;0.5;;80.9;;141.0
2025-12-12;03:36;Suba;11;;0.0;10.2;0.8;;;;34.0
2025-12-12;03:36;Puente Aranda;13;0.0;0.0;13.9;1.0;;74.0;562.0;240.0
2025-12-12;03:36;MinAmbiente;17;;0.0;;-9999.0;;;;-9999.0
2025-12-12;03:36;San Cristobal;24;0.0;0.0;11.0;0.4;;72.0;;269.0
2025-12-12;03:36;Movil 7ma;26;0.0;0.0;13.7;0.6;;56.6;561.0;351.0
2025-12-12;03:36;Bolivia;27;0.0;0.0;11.6;0.9;;85.0;564.0;10.0
2025-12-12;03:36;Fontibon;30;;0.0;11.9;0.4;;81.0;563.0;331.0
2025-12-12;03:36;Usme;32;0.0;0.0;13.1;;;;561.0;
2025-12-12;03:36;Jazmin;34;0.0;0.0;12.4;0.8;;82.0;563.0;291.0
2025-12-12;03:36;Ciudad Bolivar;37;0.0;0.0;12.9;;;;556.0;
2025-12-12;03:36;Colina;38;53.0;0.3;14.8;0.9;;;562.0;271.0
2025-12-12;03:36;Movil Fontibon;39;0.0;;12.4;;;;563.0;
2025-12-12;04:30;Usaquen;1;;0.0;11.2;1.0;;;;7.0
2025-12-12;04:30;Carvajal - Sevillana;3;;0.0;13.3;1.3;;;;244.0
2025-12-12;04:30;Tunal;4;1.0;0.0;;1.0;;80.0;562.0;178.0
2025-12-12;04:30;Centro de Alto Rendimiento;5;0.0;0.0;9.6;1.1;;86.0;564.0;298.0
2025-12-12;04:30;Las Ferias;6;;0.0;12.1;1.5;;69.0;563.0;354.0
2025-12-12;04:30;Guaymaral;8;0.0;0.0;9.8;0.7;10.0;81.0;563.0;298.0
2025-12-12;04:30;Kennedy;9;0.0;0.0;;0.9;;81.5;;334.0
2025-12-12;04:30;Suba;11;;0.0;9.6;0.9;;;;29.0
2025-12-12;04:30;Puente Aranda;13;0.0;0.0;13.9;0.7;;76.0;562.0;290.0
2025-12-12;04:30;MinAmbiente;17;;0.0;;-9999.0;;;;-9999.0
2025-12-12;04:30;San Cristobal;24;0.0;0.0;10.5;0.5;;75.0;;95.0
2025-12-12;04:30;Movil 7ma;26;0.0;0.0;13.1;0.3;;59.6;561.0;167.0
2025-12-12;04:30;Bolivia;27;0.0;0.0;11.5;1.5;;87.0;564.0;327.0
2025-12-12;04:30;Fontibon;30;;0.0;11.5;1.3;;83.0;563.0;7.0
2025-12-12;04:30;Usme;32;0.0;0.0;12.8;;;;561.0;
2025-12-12;04:30;Jazmin;34;0.0;0.0;12.1;0.7;;82.0;563.0;316.0
2025-12-12;04:30;Ciudad Bolivar;37;0.0;0.0;12.7;;;;556.0;
2025-12-12;04:30;Colina;38;53.0;0.3;14.8;0.9;;;562.0;271.0
2025-12-12;04:30;Movil Fontibon;39;0.0;;12.0;;;;564.0;
2025-12-12;05:29;Usaquen;1;;0;10.7;0.4;;;;70
2025-12-12;05:29;Carvajal - Sevillana;3;;0;13.5;1.1;;;;206
2025-12-12;05:29;Tunal;4;1;0;;0.7;;75;562;168
2025-12-12;05:29;Centro de Alto Rendimiento;5;0;0;10.6;0.6;;85;564;38
2025-12-12;05:29;Las Ferias;6;;0;12.1;1.5;;71;563;2
2025-12-12;05:29;Guaymaral;8;0;0;8.9;0.5;9.3;82;563;307
2025-12-12;05:29;Kennedy;9;0;0;;0.8;;83.9;;48
2025-12-12;05:29;Suba;11;;0;9.6;1.1;;;;9
2025-12-12;05:29;Puente Aranda;13;0;0;13.7;0.6;;78;563;263
2025-12-12;05:29;MinAmbiente;17;;0;;-9999;;;;-9999
2025-12-12;05:29;San Cristobal;24;0;0;10.5;0.7;;76;;108
2025-12-12;05:29;Movil 7ma;26;0;0;13.2;0.3;;61.2;561;179
2025-12-12;05:29;Bolivia;27;0;0;12;1.6;;85;564;49
2025-12-12;05:29;Fontibon;30;;0;12;1.8;;81;563;47
2025-12-12;05:29;Usme;32;0;0;12.6;;;;561;
2025-12-12;05:29;Jazmin;34;0;0;12.8;0.6;;81;563;282
2025-12-12;05:29;Ciudad Bolivar;37;0;0;12.8;;;;556;
2025-12-12;05:29;Colina;38;53;0.3;14.8;0.9;;;562;271
2025-12-12;05:29;Movil Fontibon;39;0;;12.7;;;;564;
