Fecha;Hora;name;stationId;NO;CO;PM25;eBC;NOX;BBP;SO2;PM10;NO2;OZONO
2026-01-04;00:30;Usaquen;1;-9999.0;-9999.0;1.1;;-9999.0;;-9999.0;0.0;-9999.0;-9999.0
2026-01-04;00:30;Carvajal - Sevillana;3;;1.03;27.0;;;;1.5;55.0;;
2026-01-04;00:30;Tunal;4;30.7;-9999.0;5.0;0.9;35.7;4.9;1.9;19.0;5.1;14.3
2026-01-04;00:30;Centro de Alto Rendimiento;5;17.9;0.61;9.2;3.6;31.2;7.3;1.1;12.3;13.3;-9999.0
2026-01-04;00:30;Las Ferias;6;8.8;0.38;13.0;;27.7;;;8.8;19.0;1.4
2026-01-04;00:30;Guaymaral;8;1.6;0.32;3.0;;12.0;;0.3;13.0;10.5;5.2
2026-01-04;00:30;Kennedy;9;17.9;0.85;4.4;-9999.0;41.4;-9999.0;0.9;15.1;23.5;1.4
2026-01-04;00:30;Suba;11;0.1;0.25;4.0;;6.4;;0.7;11.1;6.3;5.4
2026-01-04;00:30;Puente Aranda;13;30.5;0.54;5.3;3.1;50.2;2.3;1.3;3.9;20.1;0.7
2026-01-04;00:30;MinAmbiente;17;7.5;0.49;3.0;;17.5;;0.8;11.0;10.0;5.9
2026-01-04;00:30;San Cristobal;24;1.4;0.26;2.0;0.3;1.5;11.9;1.3;9.0;0.1;16.7
2026-01-04;00:30;Movil 7ma;26;;-9999.0;5.9;;;;;29.3;;
2026-01-04;00:30;Bolivia;27;-9999.0;-9999.0;6.3;;-9999.0;;;22.7;-9999.0;-9999.0
2026-01-04;00:30;Fontibon;30;12.6;0.55;5.0;2.2;30.7;11.1;1.1;14.0;18.1;1.7
2026-01-04;00:30;Usme;32;4.0;0.29;5.4;;15.1;;3.7;9.3;11.1;14.0
2026-01-04;00:30;Jazmin;34;38.4;0.78;12.0;;65.9;;1.2;11.6;27.5;0.3
2026-01-04;00:30;Ciudad Bolivar;37;9.9;0.21;5.0;-9999.0;19.1;-9999.0;0.8;14.8;9.2;16.7
2026-01-04;00:30;Colina;38;1.8;0.35;0.0;;7.5;;0.8;0.0;5.8;14.8
2026-01-04;00:30;Movil Fontibon;39;-9999.0;-9999.0;6.2;;-9999.0;;;28.7;-9999.0;
2026-01-04;01:38;Usaquen;1;-9999.0;-9999.0;0.1;;-9999.0;;-9999.0;0.0;-9999.0;-9999.0
2026-01-04;01:38;Carvajal - Sevillana;3;;1.03;27.0;;;;1.5;55.0;;
2026-01-04;01:38;Tunal;4;35.5;-9999.0;6.0;1.2;41.6;7.1;2.0;14.0;6.1;9.0
2026-01-04;01:38;Centro de Alto Rendimiento;5;10.8;0.46;10.7;2.5;19.0;6.4;0.7;13.9;8.2;-9999.0
2026-01-04;01:38;Las Ferias;6;1.9;0.27;7.0;;15.8;;;6.5;13.9;4.6
2026-01-04;01:38;Guaymaral;8;1.8;0.27;4.0;;11.6;;0.3;13.0;9.8;6.8
2026-01-04;01:38;Kennedy;9;10.8;0.72;6.4;-9999.0;32.9;-9999.0;0.5;12.0;22.1;1.5
2026-01-04;01:38;Suba;11;0.5;0.32;4.0;;7.6;;0.7;11.2;7.2;4.2
2026-01-04;01:38;Puente Aranda;13;21.1;0.38;4.5;2.3;39.5;3.3;1.1;7.5;18.5;0.9
2026-01-04;01:38;MinAmbiente;17;5.3;0.39;2.0;;14.3;;0.6;8.0;9.0;5.5
2026-01-04;01:38;San Cristobal;24;1.4;0.18;0.0;0.2;1.5;7.9;1.4;5.0;0.1;12.8
2026-01-04;01:38;Movil 7ma;26;;-9999.0;5.1;;;;;23.8;;
2026-01-04;01:38;Bolivia;27;-9999.0;-9999.0;5.4;;-9999.0;;;16.6;-9999.0;-9999.0
2026-01-04;01:38;Fontibon;30;6.5;0.46;4.0;1.6;21.2;10.6;1.0;12.0;14.8;2.2
2026-01-04;01:38;Usme;32;3.0;0.31;4.9;;16.3;;0.9;13.6;13.2;7.3
2026-01-04;01:38;Jazmin;34;28.5;0.54;9.0;;54.1;;0.9;9.7;25.6;0.1
2026-01-04;01:38;Ciudad Bolivar;37;31.2;0.52;5.0;-9999.0;61.7;-9999.0;0.7;11.9;30.5;1.0
2026-01-04;01:38;Colina;38;1.8;0.35;0.0;;7.5;;0.8;0.0;5.8;14.8
2026-01-04;01:38;Movil Fontibon;39;-9999.0;-9999.0;9.2;;-9999.0;;;14.8;-9999.0;
2026-01-04;02:25;Usaquen;1;-9999.0;-9999.0;0.1;;-9999.0;;-9999.0;2.3;-9999.0;-9999.0
2026-01-04;02:25;Carvajal - Sevillana;3;;1.03;27.0;;;;1.5;55.0;;
2026-01-04;02:25;Tunal;4;46.1;-9999.0;13.0;2.8;56.1;8.1;2.4;29.0;10.0;1.4
2026-01-04;02:25;Centro de Alto Rendimiento;5;3.0;0.31;11.3;1.1;10.7;6.5;0.7;16.1;7.7;-9999.0
2026-01-04;02:25;Las Ferias;6;1.6;0.21;5.0;;11.8;;;9.0;10.2;8.5
2026-01-04;02:25;Guaymaral;8;-1.3;0.22;3.0;;4.1;;0.3;10.0;5.4;8.1
2026-01-04;02:25;Kennedy;9;6.8;0.71;5.6;-9999.0;26.9;-9999.0;0.5;15.0;20.2;1.2
2026-01-04;02:25;Suba;11;0.3;0.29;3.0;;7.4;;0.8;9.1;7.1;4.3
2026-01-04;02:25;Puente Aranda;13;9.0;0.25;4.1;1.4;26.3;4.8;1.1;6.9;17.3;1.3
2026-01-04;02:25;MinAmbiente;17;3.5;0.33;3.0;;10.5;;0.7;6.0;7.0;7.5
2026-01-04;02:25;San Cristobal;24;1.4;0.23;0.0;0.3;1.5;37.9;1.3;6.0;0.1;7.8
2026-01-04;02:25;Movil 7ma;26;;-9999.0;4.8;;;;;12.1;;
2026-01-04;02:25;Bolivia;27;-9999.0;-9999.0;7.1;;-9999.0;;;11.8;-9999.0;-9999.0
2026-01-04;02:25;Fontibon;30;4.2;0.47;6.0;1.6;20.0;10.9;0.9;7.0;15.8;1.8
2026-01-04;02:25;Usme;32;3.5;0.27;4.5;;13.6;;0.8;11.0;10.2;9.7
2026-01-04;02:25;Jazmin;34;17.3;0.47;10.4;;42.3;;0.8;28.4;25.0;0.1
2026-01-04;02:25;Ciudad Bolivar;37;28.7;0.49;4.6;-9999.0;60.3;-9999.0;0.7;15.3;31.7;0.6
2026-01-04;02:25;Colina;38;1.8;0.35;0.0;;7.5;;0.8;0.0;5.8;14.8
2026-01-04;02:25;Movil Fontibon;39;-9999.0;-9999.0;7.6;;-9999.0;;;8.2;-9999.0;
