Fecha;Hora;name;stationId;PM25;SO2;OZONO;eBC;PM10;NO2;BBP;CO;NO;NOX
2025-11-03;00:24;Usaquen;1;0.1;-9999.0;-9999.0;;7.1;-9999.0;;-9999.0;-9999.0;-9999.0
2025-11-03;00:24;Carvajal - Sevillana;3;19.0;1.6;;;45.0;;;0.36;;
2025-11-03;00:24;Tunal;4;12.0;2.9;1.3;3.1;32.0;11.0;0.6;-9999.0;45.8;56.8
2025-11-03;00:24;Centro de Alto Rendimiento;5;2.9;1.1;11.7;1.7;8.3;0.0;10.4;0.3;0.0;0.0
2025-11-03;00:24;Las Ferias;6;9.0;;2.6;;4.8;14.0;;0.36;6.0;20.0
2025-11-03;00:24;Guaymaral;8;8.0;-9999.0;1.2;;26.0;12.2;;0.52;38.0;50.2
2025-11-03;00:24;Kennedy;9;16.7;-0.5;15.7;3.0;31.6;12.4;4.5;0.69;16.1;28.5
2025-11-03;00:24;Suba;11;10.0;0.5;2.5;;19.3;10.5;;0.35;5.1;15.6
2025-11-03;00:24;Puente Aranda;13;2.0;1.0;1.0;0.7;2.1;20.3;8.9;0.37;15.2;35.5
2025-11-03;00:24;MinAmbiente;17;6.0;0.2;12.3;;9.0;4.7;;0.26;3.6;8.3
2025-11-03;00:24;San Cristobal;24;5.0;1.0;5.9;0.4;7.0;4.8;30.3;0.28;3.4;8.1
2025-11-03;00:24;Movil 7ma;26;3.1;;;;33.7;;;-9999.0;;
2025-11-03;00:24;Bolivia;27;3.5;;1.0;;13.0;15.3;;0.72;15.5;30.8
2025-11-03;00:24;Fontibon;30;16.9;1.8;1.7;3.0;17.8;20.3;10.0;0.51;30.9;51.2
2025-11-03;00:24;Usme;32;4.0;6.6;2.9;;46.6;14.7;;0.37;4.9;19.6
2025-11-03;00:24;Jazmin;34;2.3;0.6;0.1;;7.0;20.2;;0.54;22.8;43.0
2025-11-03;00:24;Ciudad Bolivar;37;5.0;1.6;0.8;6.5;26.9;-0.2;8.7;0.89;0.1;-0.1
2025-11-03;00:24;Colina;38;8.0;0.4;-9999.0;;2.4;62.8;;0.7;23.5;86.3
2025-11-03;00:24;Movil Fontibon;39;6.0;;;;25.4;-9999.0;;-9999.0;-9999.0;-9999.0
2025-11-03;01:37;Usaquen;1;0.1;-9999.0;-9999.0;;0.9;-9999.0;;-9999.0;-9999.0;-9999.0
2025-11-03;01:37;Carvajal - Sevillana;3;21.0;1.5;;;63.0;;;0.67;;
2025-11-03;01:37;Tunal;4;9.0;2.7;1.4;3.4;33.0;11.3;4.0;-9999.0;53.6;64.9
2025-11-03;01:37;Centro de Alto Rendimiento;5;2.6;1.2;4.2;2.4;8.5;0.0;13.4;0.62;0.0;0.0
2025-11-03;01:37;Las Ferias;6;11.0;;1.8;;4.8;14.8;;0.33;5.6;20.4
2025-11-03;01:37;Guaymaral;8;5.0;-9999.0;0.8;;15.0;11.2;;0.38;20.7;31.8
2025-11-03;01:37;Kennedy;9;16.7;-0.5;15.7;3.0;31.6;12.4;4.5;0.69;16.1;28.5
2025-11-03;01:37;Suba;11;8.0;0.6;0.7;;14.1;10.6;;0.37;10.2;20.7
2025-11-03;01:37;Puente Aranda;13;2.2;1.0;0.9;0.8;1.6;19.4;6.7;0.44;28.0;47.4
2025-11-03;01:37;MinAmbiente;17;4.0;0.0;14.6;;6.0;2.4;;0.19;2.1;4.6
2025-11-03;01:37;San Cristobal;24;3.0;0.9;7.1;0.3;9.0;3.3;1.3;0.2;2.1;5.4
2025-11-03;01:37;Movil 7ma;26;3.1;;;;23.0;;;-9999.0;;
2025-11-03;01:37;Bolivia;27;3.5;;1.3;;32.7;13.1;;0.59;7.1;20.3
2025-11-03;01:37;Fontibon;30;16.1;1.5;1.8;2.4;18.4;20.9;13.0;0.38;28.5;49.3
2025-11-03;01:37;Usme;32;4.3;7.6;3.6;;27.9;13.1;;0.3;8.1;21.3
2025-11-03;01:37;Jazmin;34;2.5;0.8;0.3;;15.0;18.5;;0.81;47.8;66.3
2025-11-03;01:37;Ciudad Bolivar;37;6.0;1.6;0.8;5.6;34.5;-0.2;9.6;0.78;0.1;-0.1
2025-11-03;01:37;Colina;38;8.0;0.4;-9999.0;;2.4;62.8;;0.7;23.5;86.3
2025-11-03;01:37;Movil Fontibon;39;6.5;;;;39.2;-9999.0;;-9999.0;-9999.0;-9999.0
2025-11-03;02:23;Usaquen;1;0.1;-9999.0;-9999.0;;0.0;-9999.0;;-9999.0;-9999.0;-9999.0
2025-11-03;02:23;Carvajal - Sevillana;3;27.0;1.7;;;88.0;;;1.32;;
2025-11-03;02:23;Tunal;4;8.0;1.5;2.6;0.8;27.0;6.9;5.2;-9999.0;9.2;16.1
