Fecha;Hora;name;stationId;Vel Viento;Temperatura;Rad Solar;Presion Baro;Dir Viento;Lluvia;Temperatura 8M;Humedad
2025-12-11;00:27;Usaquen;1;0.9;12.3;;;108.0;0.0;;
2025-12-11;00:27;Carvajal - Sevillana;3;1.7;14.5;;;280.0;0.0;;
2025-12-11;00:27;Tunal;4;0.9;;1.0;563.0;254.0;0.0;;77.0
2025-12-11;00:27;Centro de Alto Rendimiento;5;1.2;12.5;0.0;564.0;25.0;0.0;;77.0
2025-12-11;00:27;Las Ferias;6;1.4;12.9;;563.0;346.0;0.0;;70.0
2025-12-11;00:27;Guaymaral;8;0.7;11.3;0.0;563.0;24.0;0.0;11.4;78.0
2025-12-11;00:27;Kennedy;9;1.0;;0.0;;336.0;0.0;;75.9
2025-12-11;00:27;Suba;11;1.0;11.0;;;46.0;0.0;;
2025-12-11;00:27;Puente Aranda;13;0.9;14.9;0.0;563.0;60.0;0.0;;75.0
2025-12-11;00:27;MinAmbiente;17;-9999.0;;;;-9999.0;0.0;;
2025-12-11;00:27;San Cristobal;24;0.8;11.9;0.0;;90.0;0.0;;75.0
2025-12-11;00:27;Movil 7ma;26;0.3;14.3;0.0;562.0;204.0;0.0;;59.8
2025-12-11;00:27;Bolivia;27;2.1;12.7;0.0;564.0;57.0;0.0;;83.0
2025-12-11;00:27;Fontibon;30;1.9;13.0;;564.0;29.0;0.0;;76.0
2025-12-11;00:27;Usme;32;;13.6;0.0;562.0;;0.0;;
2025-12-11;00:27;Jazmin;34;0.8;14.2;0.0;563.0;286.0;0.0;;78.0
2025-12-11;00:27;Ciudad Bolivar;37;;13.2;0.0;557.0;;0.0;;
2025-12-11;00:27;Colina;38;0.9;14.8;53.0;562.0;271.0;0.3;;
2025-12-11;00:27;Movil Fontibon;39;;13.8;0.0;564.0;;;;
2025-12-11;01:40;Usaquen;1;1.6;12.2;;;120.0;0.0;;
2025-12-11;01:40;Carvajal - Sevillana;3;1.6;14.4;;;248.0;0.0;;
2025-12-11;01:40;Tunal;4;0.6;;1.0;562.0;217.0;0.0;;76.0
2025-12-11;01:40;Centro de Alto Rendimiento;5;1.8;12.7;0.0;564.0;73.0;0.0;;76.0
2025-12-11;01:40;Las Ferias;6;1.4;12.6;;563.0;27.0;0.0;;71.0
2025-12-11;01:40;Guaymaral;8;0.8;10.9;0.0;563.0;177.0;0.0;11.2;80.0
2025-12-11;01:40;Kennedy;9;0.9;;0.0;;348.0;0.0;;77.3
2025-12-11;01:40;Suba;11;0.9;10.3;;;312.0;0.0;;
2025-12-11;01:40;Puente Aranda;13;1.0;14.4;0.0;563.0;24.0;0.0;;77.0
2025-12-11;01:40;MinAmbiente;17;-9999.0;;;;-9999.0;0.0;;
2025-12-11;01:40;San Cristobal;24;0.6;11.7;0.0;;100.0;0.0;;75.0
2025-12-11;01:40;Movil 7ma;26;0.3;14.1;0.0;561.0;224.0;0.0;;60.3
2025-12-11;01:40;Bolivia;27;1.5;12.0;0.0;564.0;5.0;0.0;;86.0
2025-12-11;01:40;Fontibon;30;1.8;12.7;;564.0;12.0;0.0;;79.0
2025-12-11;01:40;Usme;32;;13.5;0.0;561.0;;0.0;;
2025-12-11;01:40;Jazmin;34;0.8;14.0;0.0;563.0;323.0;0.0;;78.0
2025-12-11;01:40;Ciudad Bolivar;37;;12.9;0.0;557.0;;0.0;;
2025-12-11;01:40;Colina;38;0.9;14.8;53.0;562.0;271.0;0.3;;
2025-12-11;01:40;Movil Fontibon;39;;13.6;0.0;564.0;;;;
2025-12-11;02:28;Usaquen;1;2.2;12.3;;;124.0;0.0;;
2025-12-11;02:28;Carvajal - Sevillana;3;1.6;14.2;;;234.0;0.0;;
2025-12-11;02:28;Tunal;4;0.6;;1.0;562.0;179.0;0.0;;75.0
2025-12-11;02:28;Centro de Alto Rendimiento;5;1.3;12.5;0.0;564.0;134.0;0.0;;78.0
2025-12-11;02:28;Las Ferias;6;1.6;12.9;;563.0;36.0;0.0;;70.0
2025-12-11;02:28;Guaymaral;8;0.7;10.8;0.0;563.0;311.0;0.0;10.8;80.0
2025-12-11;02:28;Kennedy;9;0.5;;0.0;;159.0;0.0;;78.0
2025-12-11;02:28;Suba;11;0.9;9.9;;;22.0;0.0;;
2025-12-11;02:28;Puente Aranda;13;0.6;14.2;0.0;562.0;234.0;0.0;;78.0
2025-12-11;02:28;MinAmbiente;17;-9999.0;;;;-9999.0;0.0;;
2025-12-11;02:28;San Cristobal;24;0.6;11.8;0.0;;115.0;0.0;;76.0
2025-12-11;02:28;Movil 7ma;26;0.6;13.9;0.0;561.0;191.0;0.0;;61.5
2025-12-11;02:28;Bolivia;27;1.3;12.1;0.0;564.0;44.0;0.0;;86.0
2025-12-11;02:28;Fontibon;30;0.4;12.4;;563.0;17.0;0.0;;80.0
2025-12-11;02:28;Usme;32;;13.3;0.0;561.0;;0.0;;
