Fecha;Hora;name;stationId;CO;SO2;PM25;NOX;OZONO;eBC;NO2;BBP;NO;PM10
2025-10-12;00:20;Usaquen;1;-9999.0;-9999.0;4.2;-9999.0;-9999.0;;-9999.0;;-9999.0;18.4
2025-10-12;00:20;Carvajal - Sevillana;3;1.03;-0.1;27.0;;;;;;;29.0
2025-10-12;00:20;Tunal;4;-9999.0;1.0;19.0;47.3;1.7;4.5;19.9;5.0;27.4;29.0
2025-10-12;00:20;Centro de Alto Rendimiento;5;0.81;1.0;18.3;40.3;7.2;4.7;10.3;11.0;30.0;31.7
2025-10-12;00:20;Las Ferias;6;0.5;;14.0;32.5;0.6;;19.3;;13.2;14.2
2025-10-12;00:20;Guaymaral;8;0.34;0.7;13.0;17.6;1.0;;15.3;;2.3;24.0
2025-10-12;00:20;Kennedy;9;1.66;1.9;7.3;54.5;2.0;7.3;19.8;4.5;34.7;38.7
2025-10-12;00:20;Suba;11;0.5;1.9;19.0;15.9;1.5;;13.9;;2.0;16.0
2025-10-12;00:20;Puente Aranda;13;0.63;1.3;16.9;55.4;0.9;1.7;29.6;4.8;25.8;19.3
2025-10-12;00:20;MinAmbiente;17;0.49;0.0;985.0;23.7;1.1;;9.0;;14.7;13.0
2025-10-12;00:20;San Cristobal;24;0.32;0.2;8.0;12.6;1.5;0.6;6.2;5.3;6.3;10.0
2025-10-12;00:20;Movil 7ma;26;-9999.0;;18.7;;;;;;;57.3
2025-10-12;00:20;Bolivia;27;0.7;;13.0;23.7;2.0;;17.7;;6.0;17.2
2025-10-12;00:20;Fontibon;30;0.41;1.4;17.3;35.9;0.8;2.5;24.1;6.3;11.8;21.0
2025-10-12;00:20;Usme;32;0.71;1.0;21.7;40.2;0.2;;27.1;;13.1;40.7
2025-10-12;00:20;Jazmin;34;0.57;1.2;17.3;37.4;1.2;;27.7;;9.6;25.0
2025-10-12;00:20;Ciudad Bolivar;37;0.7;0.8;18.0;40.1;2.4;4.3;23.8;7.6;16.4;46.3
2025-10-12;00:20;Colina;38;0.29;0.9;13.6;24.4;0.7;;18.7;;5.6;19.3
2025-10-12;00:20;Movil Fontibon;39;-9999.0;;11.9;-9999.0;;;-9999.0;;-9999.0;32.5
2025-10-12;01:30;Usaquen;1;-9999.0;-9999.0;3.9;-9999.0;-9999.0;;-9999.0;;-9999.0;8.8
2025-10-12;01:30;Carvajal - Sevillana;3;1.3;0.0;32.0;;;;;;;30.0
2025-10-12;01:30;Tunal;4;-9999.0;1.3;42.0;54.8;1.1;5.7;18.8;3.2;36.0;38.0
2025-10-12;01:30;Centro de Alto Rendimiento;5;0.82;0.6;21.5;43.9;2.1;4.8;9.8;11.5;34.2;22.8
2025-10-12;01:30;Las Ferias;6;0.74;;16.0;52.6;0.5;;20.2;;32.4;12.0
2025-10-12;01:30;Guaymaral;8;0.3;0.7;9.0;11.8;2.1;;12.5;;-0.7;21.0
2025-10-12;01:30;Kennedy;9;1.66;1.9;7.3;54.5;2.0;7.3;19.8;4.5;34.7;38.7
2025-10-12;01:30;Suba;11;0.49;2.2;13.0;19.0;1.2;;13.8;;5.2;19.4
2025-10-12;01:30;Puente Aranda;13;0.4;1.8;13.1;44.6;0.9;1.4;25.2;4.3;19.4;25.6
2025-10-12;01:30;MinAmbiente;17;0.52;-0.1;985.0;20.1;1.0;;10.0;;10.1;11.0
2025-10-12;01:30;San Cristobal;24;0.21;-0.1;5.0;6.5;2.1;0.6;4.5;9.7;2.0;7.0
2025-10-12;01:30;Movil 7ma;26;-9999.0;;25.4;;;;;;;32.6
2025-10-12;01:30;Bolivia;27;0.82;;10.5;26.7;1.4;;16.1;;10.5;17.3
2025-10-12;01:30;Fontibon;30;0.38;1.2;14.4;31.5;1.2;2.6;20.6;0.1;10.9;20.7
2025-10-12;01:30;Usme;32;0.56;0.5;22.7;36.6;0.2;;21.9;;14.7;42.2
2025-10-12;01:30;Jazmin;34;0.49;1.8;22.7;45.5;0.2;;25.4;;20.1;26.4
2025-10-12;01:30;Ciudad Bolivar;37;0.55;0.6;21.6;31.5;1.5;3.6;22.4;9.4;9.1;33.8
2025-10-12;01:30;Colina;38;0.43;0.9;13.7;20.9;1.1;;16.1;;4.8;15.3
2025-10-12;01:30;Movil Fontibon;39;-9999.0;;9.1;-9999.0;;;-9999.0;;-9999.0;27.2
2025-10-12;02:19;Usaquen;1;-9999;-9999;2.4;-9999;-9999;;-9999;;-9999;8.8
2025-10-12;02:19;Carvajal - Sevillana;3;1.12;0;18;;;;;;;28
2025-10-12;02:19;Tunal;4;-9999;1.2;18;27.3;2.1;3.3;13.3;0.8;14;34
2025-10-12;02:19;Centro de Alto Rendimiento;5;0.69;0.6;16.5;36.8;7.4;4.5;11.4;4.2;25.4;20.1
2025-10-12;02:19;Las Ferias;6;0.45;;18;30.7;0.5;;19;;11.7;13.4
2025-10-12;02:19;Guaymaral;8;0.41;1;13;28.8;1.4;;13.5;;15.3;25
2025-10-12;02:19;Kennedy;9;1.66;1.9;7.3;54.5;2;7.3;19.8;4.5;34.7;38.7
2025-10-12;02:19;Suba;11;0.46;2;18;19.4;1.1;;12.9;;6.5;14.9
2025-10-12;02:19;Puente Aranda;13;0.31;2.2;12.3;36.9;1.2;1.3;21.8;0.9;15.2;17.9
