Fecha;Hora;name;stationId;SO2;BBP;PM10;eBC;PM25;OZONO;NO;NO2;NOX;CO
2025-11-09;00:21;Usaquen;1;-9999.0;;5.8;;8.1;-9999.0;-9999.0;-9999.0;-9999.0;-9999.0
2025-11-09;00:21;Carvajal - Sevillana;3;2.3;;58.0;;18.0;;;;;0.9
2025-11-09;00:21;Tunal;4;0.5;13.0;26.0;1.5;13.0;9.4;7.2;8.6;15.8;-9999.0
2025-11-09;00:21;Centro de Alto Rendimiento;5;1.6;11.6;54.0;8.0;20.9;0.0;29.3;22.6;51.9;1.02
2025-11-09;00:21;Las Ferias;6;;;37.6;;35.0;8.0;9.3;16.4;25.7;0.33
2025-11-09;00:21;Guaymaral;8;0.4;;19.0;;10.0;4.5;3.2;16.3;19.5;0.3
2025-11-09;00:21;Kennedy;9;-0.5;4.5;31.6;3.0;16.7;15.7;16.1;12.4;28.5;0.69
2025-11-09;00:21;Suba;11;1.6;;45.5;;14.0;2.3;3.6;16.3;19.9;0.47
2025-11-09;00:21;Puente Aranda;13;1.4;0.1;29.4;-9999.0;16.4;1.9;20.9;26.1;47.0;0.29
2025-11-09;00:21;MinAmbiente;17;0.6;;23.0;;6.0;16.6;4.0;4.6;8.7;0.42
2025-11-09;00:21;San Cristobal;24;1.0;7.3;23.0;0.9;9.0;5.2;5.9;15.3;21.2;0.58
2025-11-09;00:21;Movil 7ma;26;;;43.2;;11.8;;;;;-9999.0
2025-11-09;00:21;Bolivia;27;;;78.0;;28.1;2.1;12.3;21.5;33.8;0.88
2025-11-09;00:21;Fontibon;30;-9999.0;12.9;-9999.0;4.6;30.0;0.5;29.3;30.7;60.0;0.69
2025-11-09;00:21;Usme;32;1.1;;28.6;;9.4;5.9;9.0;19.6;28.5;0.49
2025-11-09;00:21;Jazmin;34;0.6;;35.5;;20.4;3.2;5.5;21.2;26.7;0.37
2025-11-09;00:21;Ciudad Bolivar;37;1.2;10.6;29.7;2.3;13.3;11.0;-9999.0;-9999.0;-9999.0;0.23
2025-11-09;00:21;Colina;38;0.4;;2.4;;8.0;-9999.0;23.5;62.8;86.3;0.7
2025-11-09;00:21;Movil Fontibon;39;;;89.4;;18.8;;-9999.0;-9999.0;-9999.0;-9999.0
2025-11-09;01:32;Usaquen;1;-9999.0;;3.0;;5.7;-9999.0;-9999.0;-9999.0;-9999.0;-9999.0
2025-11-09;01:32;Carvajal - Sevillana;3;2.0;;45.0;;21.0;;;;;0.48
2025-11-09;01:32;Tunal;4;0.4;13.6;26.0;1.2;9.0;9.5;5.6;6.3;11.9;-9999.0
2025-11-09;01:32;Centro de Alto Rendimiento;5;1.9;5.8;40.1;3.7;35.0;0.0;10.4;14.4;24.8;0.5
