Fecha;Hora;name;stationId;PM10;BBP;NO2;PM25;NO;OZONO;eBC;NOX;CO;SO2
2025-10-21;00:22;Usaquen;1;13.2;;-9999.0;5.5;-9999.0;-9999.0;;-9999.0;-9999.0;-9999.0
2025-10-21;00:22;Carvajal - Sevillana;3;106.0;;;36.0;;;;;4.8;3.9
2025-10-21;00:22;Tunal;4;35.0;6.8;9.8;14.0;12.2;2.3;2.1;22.0;-9999.0;1.1
2025-10-21;00:22;Centro de Alto Rendimiento;5;44.3;7.6;16.4;9.7;75.2;4.1;14.1;91.6;1.62;0.8
2025-10-21;00:22;Las Ferias;6;29.4;;28.4;17.0;83.7;0.5;;112.1;1.52;
2025-10-21;00:22;Guaymaral;8;39.0;;12.5;18.0;80.6;0.7;;93.1;0.74;1.6
2025-10-21;00:22;Kennedy;9;43.7;-9999.0;24.2;25.1;41.0;1.2;-9999.0;65.2;1.51;0.8
2025-10-21;00:22;Suba;11;52.9;;16.3;23.0;51.2;0.5;;67.5;0.75;0.9
2025-10-21;00:22;Puente Aranda;13;29.3;1.9;25.1;12.5;34.1;1.0;2.7;59.1;0.69;2.5
2025-10-21;00:22;MinAmbiente;17;25.0;;21.8;985.0;14.0;1.0;;35.8;0.74;0.3
2025-10-21;00:22;San Cristobal;24;10.0;30.3;5.4;5.0;2.0;7.2;0.4;7.4;0.26;0.0
2025-10-21;00:22;Movil 7ma;26;63.3;;;7.3;;;;;-9999.0;
2025-10-21;00:22;Bolivia;27;90.6;;18.9;28.4;59.1;0.4;;78.0;1.44;
2025-10-21;00:22;Fontibon;30;65.0;4.2;25.5;35.3;40.3;0.6;8.2;65.5;0.86;1.8
2025-10-21;00:22;Usme;32;70.6;;17.8;7.0;14.5;2.4;;32.3;0.4;6.3
2025-10-21;00:22;Jazmin;34;32.6;;23.2;6.8;36.8;0.2;;60.0;0.73;1.7
2025-10-21;00:22;Ciudad Bolivar;37;60.8;12.0;27.3;15.2;58.7;1.0;9.9;86.0;1.35;3.4
2025-10-21;00:22;Colina;38;2.4;;62.8;8.0;23.5;-9999.0;;86.3;0.7;0.4
2025-10-21;00:22;Movil Fontibon;39;104.9;;-9999.0;26.5;-9999.0;;;-9999.0;-9999.0;
2025-10-21;01:34;Usaquen;1;35.3;;-9999.0;7.4;-9999.0;-9999.0;;-9999.0;-9999.0;-9999.0
2025-10-21;01:34;Carvajal - Sevillana;3;89.0;;;31.0;;;;;4.8;3.4
2025-10-21;01:34;Tunal;4;44.0;8.3;12.1;13.0;13.9;1.4;2.4;25.9;-9999.0;1.2
2025-10-21;01:34;Centro de Alto Rendimiento;5;47.9;5.9;14.2;20.1;61.9;3.9;12.5;76.1;1.21;0.9
2025-10-21;01:34;Las Ferias;6;25.3;;29.0;30.0;107.5;0.6;;136.3;1.53;
2025-10-21;01:34;Guaymaral;8;31.0;;10.7;13.0;38.8;0.6;;49.5;0.54;1.0
2025-10-21;01:34;Kennedy;9;42.2;-9999.0;21.3;21.0;70.8;1.1;-9999.0;92.1;1.66;0.8
2025-10-21;01:34;Suba;11;38.6;;14.2;15.0;13.8;0.6;;28.0;0.51;0.4
2025-10-21;01:34;Puente Aranda;13;31.7;2.9;23.6;11.9;33.9;0.9;1.9;57.5;0.53;2.5
2025-10-21;01:34;MinAmbiente;17;19.0;;16.7;985.0;8.5;1.9;;25.2;0.55;0.7
2025-10-21;01:34;San Cristobal;24;9.0;1469.3;3.8;5.0;1.2;7.5;0.5;5.0;0.19;-0.1
2025-10-21;01:34;Movil 7ma;26;58.7;;;9.3;;;;;-9999.0;
2025-10-21;01:34;Bolivia;27;95.2;;20.6;24.0;73.8;0.2;;94.4;1.35;
2025-10-21;01:34;Fontibon;30;56.8;2.7;23.8;30.9;21.2;0.8;6.7;45.0;0.72;1.0
2025-10-21;01:34;Usme;32;59.3;;17.9;9.6;25.0;0.7;;42.9;0.38;1.5
2025-10-21;01:34;Jazmin;34;34.2;;22.4;12.9;18.0;0.2;;40.4;0.42;2.2
2025-10-21;01:34;Ciudad Bolivar;37;70.0;7.1;21.9;18.4;35.0;1.6;8.0;56.9;0.97;1.6
2025-10-21;01:34;Colina;38;2.4;;62.8;8.0;23.5;-9999.0;;86.3;0.7;0.4
2025-10-21;01:34;Movil Fontibon;39;92.3;;-9999.0;21.2;-9999.0;;;-9999.0;-9999.0;
2025-10-21;02:23;Usaquen;1;40.3;;-9999.0;15.4;-9999.0;-9999.0;;-9999.0;-9999.0;-9999.0
2025-10-21;02:23;Carvajal - Sevillana;3;107.0;;;29.0;;;;;4.8;2.8
2025-10-21;02:23;Tunal;4;59.0;8.9;10.9;13.0;13.1;1.2;2.3;24.0;-9999.0;0.9
2025-10-21;02:23;Centro de Alto Rendimiento;5;53.4;6.1;11.5;21.8;56.0;4.2;12.2;67.5;1.07;0.7
2025-10-21;02:23;Las Ferias;6;35.1;;26.6;37.0;85.9;0.4;;112.5;1.1;
2025-10-21;02:23;Guaymaral;8;25.0;;9.5;12.0;20.8;0.6;;30.3;0.39;0.5
2025-10-21;02:23;Kennedy;9;48.0;-9999.0;18.4;29.6;53.3;1.0;-9999.0;71.6;1.02;1.0
2025-10-21;02:23;Suba;11;35.4;;13.8;21.0;49.6;0.5;;63.4;0.7;0.6
2025-10-21;02:23;Puente Aranda;13;33.8;0.9;24.3;12.4;44.1;0.9;2.3;68.4;0.47;2.5
2025-10-21;02:23;MinAmbiente;17;7.0;;13.3;985.0;5.9;1.8;;19.2;0.47;0.6
2025-10-21;02:23;San Cristobal;24;6.0;99.2;3.5;7.0;0.9;6.7;0.5;4.4;0.17;-0.1
2025-10-21;02:23;Movil 7ma;26;57.4;;;7.4;;;;;-9999.0;
2025-10-21;02:23;Bolivia;27;99.2;;18.4;27.7;71.1;0.2;;89.5;1.41;
