Fecha;Hora;name;stationId;SO2;NOX;OZONO;PM10;eBC;CO;BBP;PM25;NO;NO2
2025-10-07;00:21;Usaquen;1;-9999.0;-9999.0;-9999.0;7.8;;-9999.0;;3.6;-9999.0;-9999.0
2025-10-07;00:21;Carvajal - Sevillana;3;0.7;;;106.0;;3.06;;38.0;;
2025-10-07;00:21;Tunal;4;0.3;18.6;5.2;32.0;2.0;-9999.0;2.1;8.0;7.5;11.1
2025-10-07;00:21;Centro de Alto Rendimiento;5;1.2;43.0;1.7;23.0;6.2;0.91;9.4;6.8;29.1;13.9
2025-10-07;00:21;Las Ferias;6;;45.5;2.6;25.6;;0.53;;17.0;19.1;26.5
2025-10-07;00:21;Guaymaral;8;1.1;28.7;0.5;22.0;;0.42;;7.0;7.0;21.6
2025-10-07;00:21;Kennedy;9;0.9;53.7;0.6;50.2;5.3;0.93;8.3;24.7;27.0;26.8
2025-10-07;00:21;Suba;11;2.8;25.5;1.0;59.4;;0.45;;13.0;4.6;20.8
2025-10-07;00:21;Puente Aranda;13;1.6;96.8;1.1;36.5;3.8;1.27;2.6;15.2;61.0;36.5
2025-10-07;00:21;MinAmbiente;17;0.3;10.5;20.0;11.0;;0.32;;1.0;3.9;6.7
2025-10-07;00:21;San Cristobal;24;0.9;8.7;9.4;11.0;0.6;0.26;38.7;6.0;1.8;6.8
2025-10-07;00:21;Movil 7ma;26;;;;24.1;;-9999.0;;4.4;;
2025-10-07;00:21;Bolivia;27;;-0.9;1.4;72.9;;0.71;;21.1;-0.6;-0.3
2025-10-07;00:21;Fontibon;30;1.4;69.5;0.6;54.1;4.5;0.57;8.0;33.9;30.9;38.6
2025-10-07;00:21;Usme;32;3.0;48.0;5.6;25.2;;0.48;;7.5;21.1;27.0
2025-10-07;00:21;Jazmin;34;1.0;38.9;0.6;29.0;;0.66;;16.7;10.7;28.2
2025-10-07;00:21;Ciudad Bolivar;37;1.4;54.0;1.3;12.4;8.2;0.94;5.1;6.4;26.1;28.0
2025-10-07;00:21;Colina;38;1.1;29.6;1.4;18.6;;0.3;;9.4;5.6;24.0
2025-10-07;00:21;Movil Fontibon;39;;-9999.0;;116.1;;-9999.0;;27.5;-9999.0;-9999.0
2025-10-07;01:34;Usaquen;1;-9999.0;-9999.0;-9999.0;9.8;;-9999.0;;0.5;-9999.0;-9999.0
2025-10-07;01:34;Carvajal - Sevillana;3;0.4;;;82.0;;1.98;;39.0;;
2025-10-07;01:34;Tunal;4;0.9;50.3;4.2;24.0;5.8;-9999.0;1.0;39.0;31.7;18.6
2025-10-07;01:34;Centro de Alto Rendimiento;5;0.8;41.7;5.8;26.1;7.0;0.82;5.2;16.2;29.9;11.8
2025-10-07;01:34;Las Ferias;6;;41.3;4.2;18.2;;0.49;;11.0;18.6;22.7
2025-10-07;01:34;Guaymaral;8;1.0;21.2;0.6;18.0;;0.34;;5.0;0.2;21.0
2025-10-07;01:34;Kennedy;9;1.0;44.4;0.7;48.3;4.1;0.7;10.8;32.2;20.4;24.0
2025-10-07;01:34;Suba;11;2.6;24.6;1.5;42.6;;0.43;;12.0;4.9;19.7
2025-10-07;01:34;Puente Aranda;13;1.5;80.9;0.9;49.2;3.6;0.82;3.9;29.1;49.2;31.7
2025-10-07;01:34;MinAmbiente;17;0.4;7.5;14.7;7.0;;0.18;;1.0;1.6;5.9
2025-10-07;01:34;San Cristobal;24;0.7;6.4;10.3;7.0;0.6;0.2;272.6;4.0;0.7;5.7
2025-10-07;01:34;Movil 7ma;26;;;;25.1;;-9999.0;;8.6;;
2025-10-07;01:34;Bolivia;27;;-0.2;2.3;63.0;;0.58;;17.9;0.1;-0.3
2025-10-07;01:34;Fontibon;30;1.8;67.4;0.4;30.2;3.8;0.41;8.5;15.8;34.9;32.6
2025-10-07;01:34;Usme;32;2.2;14.4;13.9;34.5;;0.23;;14.1;2.1;12.3
2025-10-07;01:34;Jazmin;34;1.4;94.9;0.3;37.2;;1.02;;13.1;59.6;35.3
2025-10-07;01:34;Ciudad Bolivar;37;1.4;44.1;1.1;9.9;6.9;0.71;8.5;16.2;17.5;26.6
2025-10-07;01:34;Colina;38;0.9;23.6;4.3;15.3;;0.32;;7.6;3.3;20.3
2025-10-07;01:34;Movil Fontibon;39;;-9999.0;;100.0;;-9999.0;;25.5;-9999.0;-9999.0
2025-10-07;02:22;Usaquen;1;-9999.0;-9999.0;-9999.0;9.5;;-9999.0;;1.3;-9999.0;-9999.0
2025-10-07;02:22;Carvajal - Sevillana;3;0.4;;;49.0;;1.02;;20.0;;
2025-10-07;02:22;Tunal;4;1.1;64.2;1.5;64.0;7.6;-9999.0;5.3;21.0;42.6;21.6
2025-10-07;02:22;Centro de Alto Rendimiento;5;0.8;25.6;14.6;29.6;3.3;0.31;19.2;11.9;13.7;11.9
2025-10-07;02:22;Las Ferias;6;;10.3;19.2;13.5;;0.22;;12.0;4.4;6.0
2025-10-07;02:22;Guaymaral;8;1.2;34.2;-0.6;22.0;;0.34;;11.0;15.1;19.0
