Fecha;Hora;name;stationId;Lluvia;Presion Baro;Humedad;Temperatura;Dir Viento;Rad Solar;Vel Viento;Temperatura 8M
2025-12-04;00:25;Usaquen;1;0;;;13.7;343;;0.4;
2025-12-04;00:25;Carvajal - Sevillana;3;0;;;14.7;50;;1.1;
2025-12-04;00:25;Tunal;4;0;564;73;;281;1;1.2;
2025-12-04;00:25;Centro de Alto Rendimiento;5;0;565;83;13.2;302;0;1.8;
2025-12-04;00:25;Las Ferias;6;0;564;72;13.9;227;;2;
2025-12-04;00:25;Guaymaral;8;0;564;80;11.9;315;0;0.6;11.8
2025-12-04;00:25;Kennedy;9;0;;79.6;;343;0;0.8;
2025-12-04;00:25;Suba;11;0;;;11.2;318;;0.7;
2025-12-04;00:25;Puente Aranda;13;0;564;87;14.4;258;0;1.5;
2025-12-04;00:25;MinAmbiente;17;0;;;;-9999;;-9999;
2025-12-04;00:25;San Cristobal;24;0;;81;12.6;109;0;0.2;
2025-12-04;00:25;Movil 7ma;26;0;563;63.7;15.3;326;0;0.4;
2025-12-04;00:25;Bolivia;27;0;565;91;12.3;260;0;1.1;
2025-12-04;00:25;Fontibon;30;0;565;83;13;245;;1.2;
2025-12-04;00:25;Usme;32;0;563;;14.3;;0;;
2025-12-04;00:25;Jazmin;34;0;565;82;14.7;279;0;1.2;
2025-12-04;00:25;Ciudad Bolivar;37;0;558;;13.5;;0;;
2025-12-04;00:25;Colina;38;0.3;562;;14.8;271;53;0.9;
2025-12-04;00:25;Movil Fontibon;39;;565;;13.4;;0;;
