Fecha;Hora;name;stationId;NO2;OZONO;SO2;eBC;PM25;CO;BBP;NOX;NO;PM10
2025-12-27;00:26;Usaquen;1;-9999.0;-9999.0;-9999.0;;8.4;-9999.0;;-9999.0;-9999.0;29.1
2025-12-27;00:26;Carvajal - Sevillana;3;;;1.0;;30.0;2.04;;;;80.0
2025-12-27;00:26;Tunal;4;5.9;20.0;-1.7;0.8;10.0;-9999.0;14.5;10.4;4.5;22.0
2025-12-27;00:26;Centro de Alto Rendimiento;5;13.8;-9999.0;0.9;2.6;26.3;0.33;6.0;17.1;3.3;20.6
2025-12-27;00:26;Las Ferias;6;29.2;4.5;;;18.0;0.52;;42.0;12.9;7.0
2025-12-27;00:26;Guaymaral;8;18.6;2.9;0.7;;11.0;0.42;;27.9;9.3;30.0
2025-12-27;00:26;Kennedy;9;20.4;10.0;0.6;1.7;23.5;0.7;13.4;22.3;1.9;33.2
2025-12-27;00:26;Suba;11;15.4;2.9;0.8;;11.0;0.34;;15.9;0.6;25.5
2025-12-27;00:26;Puente Aranda;13;21.9;6.4;1.3;1.9;12.0;0.45;4.0;26.3;4.3;24.9
2025-12-27;00:26;MinAmbiente;17;18.8;2.2;0.8;;16.0;0.82;;27.9;9.1;30.0
2025-12-27;00:26;San Cristobal;24;0.1;3.1;1.2;1.9;17.0;0.49;2.5;1.5;1.4;25.0
2025-12-27;00:26;Movil 7ma;26;;;;;12.4;-9999.0;;;;53.2
2025-12-27;00:26;Bolivia;27;16.5;4.4;;;13.0;-0.04;;19.1;2.6;44.0
2025-12-27;00:26;Fontibon;30;25.5;1.7;1.1;5.0;33.0;0.8;9.1;42.1;16.6;38.0
2025-12-27;00:26;Usme;32;26.7;55.8;1.3;;9.9;0.78;;57.0;30.3;26.1
2025-12-27;00:26;Jazmin;34;25.9;7.6;0.7;;17.1;0.43;;28.1;2.2;24.1
2025-12-27;00:26;Ciudad Bolivar;37;31.1;5.9;3.4;5.1;18.9;0.62;12.9;47.5;16.4;63.0
2025-12-27;00:26;Colina;38;62.8;-9999.0;0.4;;8.0;0.7;;86.3;23.5;2.4
2025-12-27;00:26;Movil Fontibon;39;-9999.0;;;;17.4;-9999.0;;-9999.0;-9999.0;45.2
2025-12-27;01:37;Usaquen;1;-9999;-9999;-9999;;7.6;-9999;;-9999;-9999;26.7
2025-12-27;01:37;Carvajal - Sevillana;3;;;1.3;;30;2.01;;;;80
2025-12-27;01:37;Tunal;4;5.9;20;-1.7;0.8;10;-9999;14.5;10.4;4.5;22
2025-12-27;01:37;Centro de Alto Rendimiento;5;11.7;-9999;0.6;2.9;19;0.31;7;12.9;1.2;25.3
2025-12-27;01:37;Las Ferias;6;21;7.7;;;15;0.35;;23.8;2.7;8.7
2025-12-27;01:37;Guaymaral;8;20.5;1.1;1.6;;16;0.65;;80.6;60.1;39
2025-12-27;01:37;Kennedy;9;17.5;9.5;0.5;1.4;17.2;0.57;13.3;18.2;0.7;35.8
2025-12-27;01:37;Suba;11;18.1;1;0.5;;11;0.35;;20.3;2.2;25.3
2025-12-27;01:37;Puente Aranda;13;16.3;7.6;1.2;1.4;17.2;0.2;3.7;18.1;1.9;21.6
2025-12-27;01:37;MinAmbiente;17;14.8;8.5;1;;7;0.49;;19.1;4.4;13
2025-12-27;01:37;San Cristobal;24;0.1;5.6;1;1.6;17;0.38;1.1;1.5;1.4;29
2025-12-27;01:37;Movil 7ma;26;;;;;13.5;-9999;;;;56.3
2025-12-27;01:37;Bolivia;27;16.6;3.7;;;10.1;-0.07;;20.7;4.1;41.1
2025-12-27;01:37;Fontibon;30;22.2;2.4;1.1;2.7;18;0.57;11.8;26.6;4.4;50
2025-12-27;01:37;Usme;32;23;55.8;0.7;;11.1;0.57;;51.3;28.3;58.1
2025-12-27;01:37;Jazmin;34;19.4;10.2;0.3;;19.2;0.29;;21.3;1.9;30.2
2025-12-27;01:37;Ciudad Bolivar;37;28.8;6.8;3.1;3.5;28;0.42;11.3;46.9;18.1;61.2
2025-12-27;01:37;Colina;38;62.8;-9999;0.4;;8;0.7;;86.3;23.5;2.4
2025-12-27;01:37;Movil Fontibon;39;-9999;;;;13.1;-9999;;-9999;-9999;35
