Fecha;Hora;name;stationId;SO2;NO2;BBP;PM25;NOX;NO;CO;OZONO;eBC;PM10
2026-01-01;00:32;Usaquen;1;-9999.0;-9999.0;;0.1;-9999.0;-9999.0;-9999.0;-9999.0;;2.1
2026-01-01;00:32;Carvajal - Sevillana;3;1.5;;;27.0;;;1.03;;;55.0
2026-01-01;00:32;Tunal;4;1.1;4.6;36.4;11.0;39.5;34.9;-9999.0;7.1;1.3;31.0
2026-01-01;00:32;Centro de Alto Rendimiento;5;1.0;10.9;32.9;3.0;13.8;2.9;0.3;-9999.0;1.3;5.0
2026-01-01;00:32;Las Ferias;6;;15.5;;9.0;18.5;3.0;0.43;3.6;;4.4
2026-01-01;00:32;Guaymaral;8;0.4;9.9;;8.0;32.8;22.9;0.71;1.0;;14.0
2026-01-01;00:32;Kennedy;9;1.8;20.4;52.3;5.3;34.8;14.3;1.11;3.3;5.2;21.6
2026-01-01;00:32;Suba;11;0.9;16.3;;33.0;25.1;8.9;0.71;0.7;;18.5
2026-01-01;00:32;Puente Aranda;13;1.5;17.4;30.6;3.1;24.8;7.3;0.44;3.5;2.1;1.4
2026-01-01;00:32;MinAmbiente;17;0.7;5.7;;3.0;8.8;3.1;0.25;9.3;;5.0
2026-01-01;00:32;San Cristobal;24;1.4;0.1;45.9;22.0;1.5;1.4;0.37;6.7;1.1;25.0
2026-01-01;00:32;Movil 7ma;26;;;;2.6;;;-9999.0;;;27.5
2026-01-01;00:32;Bolivia;27;;-9999.0;;8.6;-9999.0;-9999.0;-9999.0;-9999.0;;41.9
2026-01-01;00:32;Fontibon;30;1.5;19.5;43.9;43.0;43.7;24.2;1.03;1.7;4.7;59.0
2026-01-01;00:32;Usme;32;1.6;10.7;;4.0;16.4;5.7;0.54;8.1;;22.6
2026-01-01;00:32;Jazmin;34;1.5;18.5;;4.8;23.3;4.8;0.53;3.9;;16.3
2026-01-01;00:32;Ciudad Bolivar;37;1.9;16.7;62.2;3.1;30.1;13.4;0.4;10.2;2.7;33.8
2026-01-01;00:32;Colina;38;0.8;5.8;;0.0;7.5;1.8;0.35;14.8;;0.0
2026-01-01;00:32;Movil Fontibon;39;;-9999.0;;18.3;-9999.0;-9999.0;-9999.0;;;46.9
2026-01-01;01:40;Usaquen;1;-9999;-9999;;1.8;-9999;-9999;-9999;-9999;;5.1
2026-01-01;01:40;Carvajal - Sevillana;3;1.5;;;27;;;1.03;;;55
2026-01-01;01:40;Tunal;4;2.7;6.4;28.8;93;42.4;36.1;-9999;7.3;5.6;17
2026-01-01;01:40;Centro de Alto Rendimiento;5;0.8;10.8;32;3.1;18;7.2;0.42;-9999;3.8;4.9
2026-01-01;01:40;Las Ferias;6;;17.3;;22;22.2;4.8;0.45;1.4;;4.9
2026-01-01;01:40;Guaymaral;8;0.3;8.4;;10;21.1;12.7;0.58;0.6;;19
2026-01-01;01:40;Kennedy;9;1.9;20.6;49.1;13.3;38.1;17.5;1.01;0.9;7.2;34.9
2026-01-01;01:40;Suba;11;0.6;15.6;;43;21.6;6;0.73;0.8;;26
2026-01-01;01:40;Puente Aranda;13;1.4;17.5;39.3;3.2;31.5;14.1;0.53;1.6;2.3;1.1
2026-01-01;01:40;MinAmbiente;17;0.4;7.4;;3;11.7;4.3;0.31;5.3;;7
2026-01-01;01:40;San Cristobal;24;1.9;0.1;35;26;1.4;1.4;0.51;4.5;2.1;84
2026-01-01;01:40;Movil 7ma;26;;;;2.5;;;-9999;;;15.4
2026-01-01;01:40;Bolivia;27;;-9999;;13.3;-9999;-9999;-9999;-9999;;54.3
2026-01-01;01:40;Fontibon;30;1.4;18.6;32.4;152;40.1;21.5;0.93;1.9;16.4;59.6
2026-01-01;01:40;Usme;32;3.3;9.4;;7.8;13.4;4;0.29;12.1;;37
2026-01-01;01:40;Jazmin;34;4;21.8;;5.5;37.2;15.4;0.67;2.4;;21.5
2026-01-01;01:40;Ciudad Bolivar;37;4.5;20.8;35.8;4.1;34.9;14.1;0.26;10.2;13.8;47.3
2026-01-01;01:40;Colina;38;0.8;5.8;;0;7.5;1.8;0.35;14.8;;0
2026-01-01;01:40;Movil Fontibon;39;;-9999;;18.8;-9999;-9999;-9999;;;48
