Fecha;Hora;name;stationId;Humedad;Lluvia;Temperatura;Rad Solar;Presion Baro;Vel Viento;Dir Viento;Temperatura 8M
2025-10-13;00:23;Usaquen;1;;0.0;12.8;;;0.4;332.0;
2025-10-13;00:23;Carvajal - Sevillana;3;;0.0;13.0;;;;;
2025-10-13;00:23;Tunal;4;85.0;0.0;;1.0;563.0;0.7;296.0;
2025-10-13;00:23;Centro de Alto Rendimiento;5;85.0;0.0;10.6;0.0;565.0;0.1;276.0;
2025-10-13;00:23;Las Ferias;6;78.0;0.0;13.0;;564.0;1.2;244.0;
2025-10-13;00:23;Guaymaral;8;80.0;0.3;12.6;0.0;564.0;0.6;327.0;12.3
2025-10-13;00:23;Kennedy;9;76.1;0.0;;0.0;;1.3;234.0;
2025-10-13;00:23;Suba;11;;0.4;12.0;;;0.6;315.0;
2025-10-13;00:23;Puente Aranda;13;97.0;0.0;13.4;0.0;564.0;1.2;252.0;
2025-10-13;00:23;MinAmbiente;17;;0.6;;;;-9999.0;-9999.0;
2025-10-13;00:23;San Cristobal;24;89.0;0.0;11.0;0.0;;1.2;108.0;
2025-10-13;00:23;Movil 7ma;26;71.4;0.0;13.7;0.0;562.0;0.2;189.0;
2025-10-13;00:23;Bolivia;27;94.0;0.1;12.2;0.0;565.0;0.7;279.0;
2025-10-13;00:23;Fontibon;30;89.0;0.0;12.5;;564.0;1.4;282.0;
2025-10-13;00:23;Usme;32;;0.0;12.8;0.0;562.0;;;
2025-10-13;00:23;Jazmin;34;97.0;0.4;13.2;0.0;564.0;0.6;291.0;
2025-10-13;00:23;Ciudad Bolivar;37;;0.0;12.0;0.0;558.0;;;
2025-10-13;00:23;Colina;38;;0.1;13.0;0.0;564.0;0.3;254.0;
2025-10-13;00:23;Movil Fontibon;39;;;13.0;0.0;565.0;;;
2025-10-13;01:36;Usaquen;1;;0.0;12.4;;;0.9;330.0;
2025-10-13;01:36;Carvajal - Sevillana;3;;0.3;12.8;;;;;
2025-10-13;01:36;Tunal;4;86.0;0.1;;1.0;563.0;1.0;292.0;
2025-10-13;01:36;Centro de Alto Rendimiento;5;85.0;0.0;11.0;0.0;565.0;1.1;325.0;
2025-10-13;01:36;Las Ferias;6;80.0;0.0;12.7;;564.0;1.6;247.0;
2025-10-13;01:36;Guaymaral;8;82.0;0.1;12.4;0.0;563.0;0.4;325.0;12.0
2025-10-13;01:36;Kennedy;9;76.1;0.0;;0.0;;1.3;234.0;
2025-10-13;01:36;Suba;11;;0.1;11.7;;;0.6;322.0;
2025-10-13;01:36;Puente Aranda;13;98.0;0.0;13.2;0.0;563.0;1.4;271.0;
2025-10-13;01:36;MinAmbiente;17;;0.1;;;;-9999.0;-9999.0;
2025-10-13;01:36;San Cristobal;24;90.0;0.1;10.7;0.0;;1.0;102.0;
2025-10-13;01:36;Movil 7ma;26;72.6;0.0;13.6;0.0;562.0;0.1;223.0;
2025-10-13;01:36;Bolivia;27;93.0;0.1;12.0;0.0;565.0;1.0;303.0;
2025-10-13;01:36;Fontibon;30;91.0;0.1;12.1;;564.0;1.6;308.0;
2025-10-13;01:36;Usme;32;;0.1;12.5;0.0;562.0;;;
2025-10-13;01:36;Jazmin;34;100.0;0.3;13.0;0.0;564.0;1.0;302.0;
2025-10-13;01:36;Ciudad Bolivar;37;;0.2;12.2;0.0;557.0;;;
2025-10-13;01:36;Colina;38;;0.1;12.8;0.0;564.0;0.2;260.0;
2025-10-13;01:36;Movil Fontibon;39;;;12.6;0.0;564.0;;;
2025-10-13;02:23;Usaquen;1;;0;12.4;;;0.6;298;
2025-10-13;02:23;Carvajal - Sevillana;3;;0;12.7;;;;;
2025-10-13;02:23;Tunal;4;86;0;;1;563;1.4;305;
2025-10-13;02:23;Centro de Alto Rendimiento;5;84;0;11.1;0;564;1.1;305;
2025-10-13;02:23;Las Ferias;6;80;0;12.5;;563;1.8;235;
2025-10-13;02:23;Guaymaral;8;83;0.2;12.3;0;563;0.6;276;11.9
2025-10-13;02:23;Kennedy;9;76.1;0;;0;;1.3;234;
2025-10-13;02:23;Suba;11;;0.8;11.6;;;0.3;344;
2025-10-13;02:23;Puente Aranda;13;99;0;12.7;0;563;1.4;268;
2025-10-13;02:23;MinAmbiente;17;;0;;;;-9999;-9999;
2025-10-13;02:23;San Cristobal;24;90;0;10.7;0;;1.1;106;
2025-10-13;02:23;Movil 7ma;26;74;0;13.4;0;561;0.2;216;
2025-10-13;02:23;Bolivia;27;94;4.1;11.8;0;564;1;271;
2025-10-13;02:23;Fontibon;30;92;0;11.9;;564;0.9;292;
2025-10-13;02:23;Usme;32;;0;12.4;0;562;;;
2025-10-13;02:23;Jazmin;34;100;0;12.6;0;563;1.3;310;
2025-10-13;02:23;Ciudad Bolivar;37;;0;12.1;0;557;;;
2025-10-13;02:23;Colina;38;;0.6;12.7;0;563;0.4;279;
2025-10-13;02:23;Movil Fontibon;39;;;12.3;1;564;;;
