Fecha;Hora;name;stationId;CO;PM10;OZONO;PM25;eBC;NO;SO2;BBP;NOX;NO2
2025-10-31;00:24;Usaquen;1;-9999.0;2.3;-9999.0;0.2;;-9999.0;-9999.0;;-9999.0;-9999.0
2025-10-31;00:24;Carvajal - Sevillana;3;0.06;71.0;;17.0;;;3.4;;;
2025-10-31;00:24;Tunal;4;-9999.0;27.0;11.1;7.0;1.5;6.0;0.9;6.8;16.0;10.0
2025-10-31;00:24;Centro de Alto Rendimiento;5;0.64;22.5;1.1;11.6;8.7;34.2;0.2;4.6;49.7;15.5
2025-10-31;00:24;Las Ferias;6;0.21;18.3;6.7;14.0;;5.5;;;21.8;16.3
2025-10-31;00:24;Guaymaral;8;0.45;39.0;0.9;7.0;;35.1;1.2;;53.0;17.8
2025-10-31;00:24;Kennedy;9;0.69;31.6;15.7;16.7;3.0;16.1;-0.5;4.5;28.5;12.4
2025-10-31;00:24;Suba;11;0.46;62.8;0.9;12.0;;5.9;1.0;;22.9;17.0
2025-10-31;00:24;Puente Aranda;13;0.16;14.4;3.5;8.8;1.0;8.4;1.1;6.1;31.7;23.2
2025-10-31;00:24;MinAmbiente;17;0.27;5.0;18.1;2.0;;3.2;0.4;;8.3;5.1
2025-10-31;00:24;San Cristobal;24;0.24;12.0;8.9;4.0;0.8;2.5;1.1;8.6;11.0;8.5
2025-10-31;00:24;Movil 7ma;26;-9999.0;23.1;;3.3;;;;;;
2025-10-31;00:24;Bolivia;27;0.67;74.5;0.8;16.6;;31.8;;;58.6;26.9
2025-10-31;00:24;Fontibon;30;0.52;61.7;1.4;41.5;5.4;29.2;1.5;7.4;66.6;37.4
2025-10-31;00:24;Usme;32;0.26;16.9;9.7;5.9;;4.8;3.3;;22.6;17.8
2025-10-31;00:24;Jazmin;34;0.33;25.5;2.9;11.8;;8.8;1.0;;32.5;23.7
2025-10-31;00:24;Ciudad Bolivar;37;0.06;26.5;17.9;6.9;1.0;0.1;1.7;2.4;-0.1;-0.2
2025-10-31;00:24;Colina;38;0.7;2.4;-9999.0;8.0;;23.5;0.4;;86.3;62.8
2025-10-31;00:24;Movil Fontibon;39;-9999.0;75.8;;24.1;;-9999.0;;;-9999.0;-9999.0
2025-10-31;01:35;Usaquen;1;-9999.0;4.8;-9999.0;0.7;;-9999.0;-9999.0;;-9999.0;-9999.0
2025-10-31;01:35;Carvajal - Sevillana;3;0.0;60.0;;30.0;;;2.8;;;
2025-10-31;01:35;Tunal;4;-9999.0;24.0;10.6;7.0;1.3;4.6;0.9;7.8;10.7;6.2
2025-10-31;01:35;Centro de Alto Rendimiento;5;0.57;28.9;15.7;14.5;6.9;29.6;0.8;6.8;42.2;12.6
2025-10-31;01:35;Las Ferias;6;0.34;13.0;2.5;7.0;;9.6;;;29.1;19.4
2025-10-31;01:35;Guaymaral;8;0.39;33.0;1.5;9.0;;29.1;1.3;;45.4;16.2
2025-10-31;01:35;Kennedy;9;0.69;31.6;15.7;16.7;3.0;16.1;-0.5;4.5;28.5;12.4
2025-10-31;01:35;Suba;11;0.37;53.1;0.9;17.0;;6.8;1.1;;22.9;16.1
2025-10-31;01:35;Puente Aranda;13;0.22;17.7;3.0;8.1;1.0;12.5;1.5;6.6;34.9;22.4
2025-10-31;01:35;MinAmbiente;17;0.29;4.0;13.2;1.0;;3.2;0.7;;9.8;6.6
2025-10-31;01:35;San Cristobal;24;0.16;7.0;9.7;7.0;0.5;0.9;1.2;10.7;5.6;4.7
2025-10-31;01:35;Movil 7ma;26;-9999.0;24.4;;3.5;;;;;;
2025-10-31;01:35;Bolivia;27;0.52;68.4;1.4;17.9;;10.2;;;27.9;17.7
2025-10-31;01:35;Fontibon;30;0.32;34.1;1.6;27.0;3.9;25.1;1.5;8.6;56.5;31.5
2025-10-31;01:35;Usme;32;0.29;23.7;11.3;5.3;;3.4;4.1;;14.9;11.5
2025-10-31;01:35;Jazmin;34;0.3;21.2;3.9;9.3;;3.2;1.5;;23.6;20.4
2025-10-31;01:35;Ciudad Bolivar;37;0.09;19.7;12.8;5.9;2.0;0.2;1.5;5.5;-0.1;-0.2
2025-10-31;01:35;Colina;38;0.7;2.4;-9999.0;8.0;;23.5;0.4;;86.3;62.8
2025-10-31;01:35;Movil Fontibon;39;-9999.0;67.4;;21.1;;-9999.0;;;-9999.0;-9999.0
2025-10-31;02:22;Usaquen;1;-9999.0;7.3;-9999.0;4.7;;-9999.0;-9999.0;;-9999.0;-9999.0
2025-10-31;02:22;Carvajal - Sevillana;3;1.42;87.0;;26.0;;;2.0;;;
2025-10-31;02:22;Tunal;4;-9999.0;14.0;3.5;10.0;3.0;17.4;1.2;5.4;27.6;10.2
2025-10-31;02:22;Centro de Alto Rendimiento;5;0.34;34.6;11.3;11.2;4.2;14.1;0.6;9.7;26.9;12.8
2025-10-31;02:22;Las Ferias;6;0.36;10.3;0.6;11.0;;14.0;;;33.3;19.4
2025-10-31;02:22;Guaymaral;8;0.4;27.0;0.7;9.0;;25.4;1.1;;41.8;16.3
2025-10-31;02:22;Kennedy;9;0.69;31.6;15.7;16.7;3.0;16.1;-0.5;4.5;28.5;12.4
2025-10-31;02:22;Suba;11;0.33;48.4;1.1;9.0;;4.3;1.3;;19.1;14.9
2025-10-31;02:22;Puente Aranda;13;0.37;18.1;0.9;7.0;1.5;27.8;1.5;5.4;52.3;24.5
2025-10-31;02:22;MinAmbiente;17;0.31;4.0;7.9;0.0;;5.5;0.6;;13.3;7.8
2025-10-31;02:22;San Cristobal;24;0.13;8.0;10.8;7.0;0.3;0.8;1.0;16.1;3.9;3.1
2025-10-31;02:22;Movil 7ma;26;-9999.0;27.6;;5.8;;;;;;
2025-10-31;02:22;Bolivia;27;0.46;51.5;2.7;15.5;;4.7;;;18.9;14.2
2025-10-31;02:22;Fontibon;30;0.18;27.2;1.7;24.8;2.7;8.5;1.0;9.0;32.9;24.4
2025-10-31;02:22;Usme;32;0.27;31.0;8.0;9.9;;3.3;9.7;;15.2;11.9
2025-10-31;02:22;Jazmin;34;0.47;21.7;1.2;13.9;;19.4;1.4;;43.4;23.9
2025-10-31;02:22;Ciudad Bolivar;37;0.41;19.2;1.1;6.7;5.8;0.2;2.4;9.6;0.0;-0.2
2025-10-31;02:22;Colina;38;0.7;2.4;-9999.0;8.0;;23.5;0.4;;86.3;62.8
2025-10-31;02:22;Movil Fontibon;39;-9999.0;47.1;;15.4;;-9999.0;;;-9999.0;-9999.0
2025-10-31;03:30;Usaquen;1;-9999.0;9.3;-9999.0;3.4;;-9999.0;-9999.0;;-9999.0;-9999.0
2025-10-31;03:30;Carvajal - Sevillana;3;1.17;71.0;;21.0;;;1.5;;;
2025-10-31;03:30;Tunal;4;-9999.0;31.0;5.2;7.0;1.8;9.0;1.1;5.4;17.7;8.7
2025-10-31;03:30;Centro de Alto Rendimiento;5;0.33;24.9;3.9;8.1;4.1;13.6;0.6;9.1;24.2;10.6
2025-10-31;03:30;Las Ferias;6;0.3;15.2;0.9;18.0;;13.2;;;32.6;19.3
2025-10-31;03:30;Guaymaral;8;0.42;28.0;0.8;13.0;;43.6;1.4;;58.8;15.2
2025-10-31;03:30;Kennedy;9;0.69;31.6;15.7;16.7;3.0;16.1;-0.5;4.5;28.5;12.4
2025-10-31;03:30;Suba;11;0.29;35.0;1.3;13.0;;4.5;1.1;;18.9;14.4
2025-10-31;03:30;Puente Aranda;13;0.43;23.8;1.0;11.7;1.6;30.3;1.5;3.4;54.5;24.2
2025-10-31;03:30;MinAmbiente;17;0.28;8.0;7.8;1.0;;3.6;0.7;;9.9;6.3
2025-10-31;03:30;San Cristobal;24;0.13;8.0;9.0;4.0;0.3;0.7;1.1;2.6;3.2;2.5
2025-10-31;03:30;Movil 7ma;26;-9999.0;26.2;;5.5;;;;;;
2025-10-31;03:30;Bolivia;27;0.45;41.6;2.6;16.3;;9.4;;;25.5;16.1
2025-10-31;03:30;Fontibon;30;0.19;21.3;1.4;11.0;2.8;12.0;1.2;11.1;34.8;22.9
2025-10-31;03:30;Usme;32;0.22;38.7;2.1;8.8;;7.2;7.8;;24.5;17.4
2025-10-31;03:30;Jazmin;34;0.45;17.5;0.4;12.9;;24.0;1.4;;47.3;23.4
2025-10-31;03:30;Ciudad Bolivar;37;0.5;29.2;0.9;16.4;6.3;0.2;1.9;9.0;0.0;-0.2
2025-10-31;03:30;Colina;38;0.7;2.4;-9999.0;8.0;;23.5;0.4;;86.3;62.8
2025-10-31;03:30;Movil Fontibon;39;-9999.0;44.3;;25.5;;-9999.0;;;-9999.0;-9999.0
2025-10-31;04:26;Usaquen;1;-9999.0;10.3;-9999.0;1.0;;-9999.0;-9999.0;;-9999.0;-9999.0
2025-10-31;04:26;Carvajal - Sevillana;3;1.28;123.0;;40.0;;;1.5;;;
2025-10-31;04:26;Tunal;4;-9999.0;18.0;2.1;5.0;2.5;16.2;1.4;1.3;26.7;10.5
2025-10-31;04:26;Centro de Alto Rendimiento;5;0.31;32.9;4.1;15.4;4.1;15.9;0.4;5.5;24.3;8.4
2025-10-31;04:26;Las Ferias;6;0.25;16.9;1.1;8.0;;8.9;;;26.7;17.8
2025-10-31;04:26;Guaymaral;8;0.43;42.0;0.8;18.0;;77.7;2.0;;90.9;13.2
2025-10-31;04:26;Kennedy;9;0.69;31.6;15.7;16.7;3.0;16.1;-0.5;4.5;28.5;12.4
2025-10-31;04:26;Suba;11;0.35;36.3;0.8;15.0;;18.2;1.5;;34.0;15.8
2025-10-31;04:26;Puente Aranda;13;0.39;28.6;0.9;10.3;2.1;34.3;1.6;0.8;57.4;23.1
2025-10-31;04:26;MinAmbiente;17;0.29;8.0;7.6;2.0;;4.6;0.7;;11.3;6.7
2025-10-31;04:26;San Cristobal;24;0.12;5.0;8.6;0.0;0.3;0.6;1.0;1.2;3.5;2.8
2025-10-31;04:26;Movil 7ma;26;-9999.0;24.5;;5.2;;;;;;
2025-10-31;04:26;Bolivia;27;0.48;28.6;1.7;12.5;;9.2;;;24.6;15.4
2025-10-31;04:26;Fontibon;30;0.17;21.7;1.5;11.3;2.6;10.8;1.3;11.4;31.9;21.1
2025-10-31;04:26;Usme;32;0.3;27.0;1.3;7.4;;38.2;5.4;;57.3;19.1
2025-10-31;04:26;Jazmin;34;0.31;25.7;0.3;10.2;;15.9;1.2;;37.1;21.2
2025-10-31;04:26;Ciudad Bolivar;37;0.47;33.9;0.8;12.3;6.0;0.2;1.3;6.2;0.0;-0.2
2025-10-31;04:26;Colina;38;0.7;2.4;-9999.0;8.0;;23.5;0.4;;86.3;62.8
2025-10-31;04:26;Movil Fontibon;39;-9999.0;42.6;;19.1;;-9999.0;;;-9999.0;-9999.0
2025-10-31;05:25;Usaquen;1;-9999;6.6;-9999;2.8;;-9999;-9999;;-9999;-9999
2025-10-31;05:25;Carvajal - Sevillana;3;1.72;85;;33;;;1.6;;;
2025-10-31;05:25;Tunal;4;-9999;32;1.3;17;7.1;66.4;2.9;3.5;80.8;14.4
2025-10-31;05:25;Centro de Alto Rendimiento;5;0.27;23.3;4.1;11.4;4.1;17.2;0.5;5.1;25.5;8.3
2025-10-31;05:25;Las Ferias;6;0.32;12.2;0.5;6;;21.5;;;39.6;18.1
2025-10-31;05:25;Guaymaral;8;0.46;46;4.3;17;;112.4;2.8;;115.9;11.3
2025-10-31;05:25;Kennedy;9;0.69;31.6;15.7;16.7;3;16.1;-0.5;4.5;28.5;12.4
2025-10-31;05:25;Suba;11;0.38;35.7;0.7;20;;29.9;1.5;;47.3;17.3
2025-10-31;05:25;Puente Aranda;13;0.5;27.4;0.9;15;2.3;43.5;1.5;1.7;68.8;25.8
2025-10-31;05:25;MinAmbiente;17;0.43;17;2.9;11;;17;0.7;;29.6;12.6
2025-10-31;05:25;San Cristobal;24;0.16;4;9.9;1;1;3.9;1;3;11.9;7.9
2025-10-31;05:25;Movil 7ma;26;-9999;25.9;;4.9;;;;;;
2025-10-31;05:25;Bolivia;27;0.53;43;0.8;9.3;;19.4;;;39.4;20
2025-10-31;05:25;Fontibon;30;0.25;21.9;1.4;13.3;4.2;21.1;1.4;7.9;43.4;22.3
2025-10-31;05:25;Usme;32;0.33;30.1;4.4;14.2;;11.1;23.2;;29.6;18.5
2025-10-31;05:25;Jazmin;34;0.52;33.2;0.2;8.1;;38.2;1.4;;59.6;21.5
2025-10-31;05:25;Ciudad Bolivar;37;0.51;47.8;0.9;12.5;8.1;0.2;1.9;8.2;0;-0.2
