Fecha;Hora;name;stationId;NO;OZONO;SO2;PM10;BBP;PM25;CO;NOX;NO2;eBC
2025-10-14;00:21;Usaquen;1;-9999.0;-9999.0;-9999.0;7.0;;2.4;-9999.0;-9999.0;-9999.0;
2025-10-14;00:21;Carvajal - Sevillana;3;;;0.2;42.0;;27.0;1.05;;;
2025-10-14;00:21;Tunal;4;26.6;2.8;0.8;29.0;3.2;5.0;-9999.0;41.1;14.5;3.8
2025-10-14;00:21;Centro de Alto Rendimiento;5;4.4;16.7;0.6;5.2;2.2;8.4;0.23;10.9;6.5;0.8
2025-10-14;00:21;Las Ferias;6;33.6;1.1;;7.1;;8.0;0.74;56.6;23.1;
2025-10-14;00:21;Guaymaral;8;43.2;0.6;1.3;32.0;;11.0;0.69;56.6;13.5;
2025-10-14;00:21;Kennedy;9;34.7;2.0;1.9;38.7;4.5;7.3;1.66;54.5;19.8;7.3
2025-10-14;00:21;Suba;11;12.1;1.1;1.0;8.8;;10.0;0.52;29.5;17.4;
2025-10-14;00:21;Puente Aranda;13;45.2;0.6;1.2;2.4;5.1;4.5;1.17;76.5;31.7;2.0
2025-10-14;00:21;MinAmbiente;17;3.4;7.3;0.1;4.0;;985.0;0.4;14.0;10.7;
2025-10-14;00:21;San Cristobal;24;0.9;16.8;0.2;7.0;27.2;5.0;0.13;6.5;5.7;0.5
2025-10-14;00:21;Movil 7ma;26;;;;17.3;;6.6;-9999.0;;;
2025-10-14;00:21;Bolivia;27;15.9;0.9;;14.0;;1.7;0.77;37.1;21.2;
2025-10-14;00:21;Fontibon;30;38.0;0.7;1.4;12.0;3.6;16.0;0.91;65.7;27.7;4.2
2025-10-14;00:21;Usme;32;2.1;17.4;3.1;12.8;;5.2;0.19;11.5;9.5;
2025-10-14;00:21;Jazmin;34;55.4;0.2;1.2;8.4;;14.6;1.4;88.2;32.8;
2025-10-14;00:21;Ciudad Bolivar;37;11.2;6.0;0.6;11.1;4.6;10.4;0.39;33.4;22.2;2.1
2025-10-14;00:21;Colina;38;3.5;1.8;1.2;7.3;;4.0;0.37;19.9;16.4;
2025-10-14;00:21;Movil Fontibon;39;-9999.0;;;18.3;;8.9;-9999.0;-9999.0;-9999.0;
2025-10-14;01:34;Usaquen;1;-9999.0;-9999.0;-9999.0;7.3;;0.7;-9999.0;-9999.0;-9999.0;
2025-10-14;01:34;Carvajal - Sevillana;3;;;0.0;26.0;;19.0;0.83;;;
2025-10-14;01:34;Tunal;4;8.7;7.2;0.6;13.0;6.2;15.0;-9999.0;18.7;10.0;2.1
2025-10-14;01:34;Centro de Alto Rendimiento;5;2.4;13.6;0.9;4.7;1.6;6.6;0.21;10.1;7.7;1.2
2025-10-14;01:34;Las Ferias;6;17.8;1.0;;6.3;;12.0;0.43;38.6;20.8;
2025-10-14;01:34;Guaymaral;8;28.3;0.7;1.1;28.0;;7.0;0.45;40.1;11.8;
2025-10-14;01:34;Kennedy;9;34.7;2.0;1.9;38.7;4.5;7.3;1.66;54.5;19.8;7.3
2025-10-14;01:34;Suba;11;11.0;0.6;0.6;7.0;;6.0;0.49;27.2;16.2;
2025-10-14;01:34;Puente Aranda;13;31.1;2.6;1.0;1.8;4.8;6.4;0.49;56.6;25.5;1.7
2025-10-14;01:34;MinAmbiente;17;0.8;14.1;0.1;5.0;;985.0;0.26;5.4;4.5;
2025-10-14;01:34;San Cristobal;24;0.8;11.2;0.0;7.0;15.8;3.0;0.18;8.6;7.7;0.4
2025-10-14;01:34;Movil 7ma;26;;;;10.6;;6.1;-9999.0;;;
2025-10-14;01:34;Bolivia;27;17.2;0.8;;10.2;;2.3;0.69;38.5;21.2;
2025-10-14;01:34;Fontibon;30;34.8;0.7;1.7;12.9;6.8;15.3;0.58;60.6;25.9;3.4
2025-10-14;01:34;Usme;32;1.6;18.7;1.6;14.7;;7.1;0.15;9.6;8.0;
2025-10-14;01:34;Jazmin;34;43.7;0.6;0.9;6.5;;11.2;1.07;75.6;31.9;
2025-10-14;01:34;Ciudad Bolivar;37;11.2;8.5;0.6;18.8;3.8;8.4;0.27;31.1;19.9;1.5
2025-10-14;01:34;Colina;38;6.1;0.4;1.1;12.5;;5.1;0.34;25.8;19.6;
2025-10-14;01:34;Movil Fontibon;39;-9999.0;;;33.1;;7.6;-9999.0;-9999.0;-9999.0;
2025-10-14;02:23;Usaquen;1;-9999.0;-9999.0;-9999.0;7.6;;2.5;-9999.0;-9999.0;-9999.0;
2025-10-14;02:23;Carvajal - Sevillana;3;;;0.3;64.0;;33.0;2.13;;;
2025-10-14;02:23;Tunal;4;32.9;1.8;1.0;17.0;0.9;26.0;-9999.0;49.4;16.5;6.8
2025-10-14;02:23;Centro de Alto Rendimiento;5;3.9;8.9;1.2;3.7;4.6;6.1;0.28;14.3;10.4;1.8
2025-10-14;02:23;Las Ferias;6;6.6;5.9;;7.0;;11.0;0.24;21.8;15.2;
2025-10-14;02:23;Guaymaral;8;-5.0;10.6;0.4;17.0;;2.0;0.21;6.8;11.7;
2025-10-14;02:23;Kennedy;9;34.7;2.0;1.9;38.7;4.5;7.3;1.66;54.5;19.8;7.3
2025-10-14;02:23;Suba;11;7.2;0.6;0.6;13.0;;12.0;0.38;23.1;16.0;
2025-10-14;02:23;Puente Aranda;13;26.5;1.2;0.8;1.4;2.8;9.5;0.34;50.7;24.2;1.5
2025-10-14;02:23;MinAmbiente;17;1.5;8.6;0.1;11.0;;985.0;0.29;6.3;4.8;
2025-10-14;02:23;San Cristobal;24;0.6;8.1;0.1;6.0;25.4;3.0;0.17;8.5;7.8;0.5
2025-10-14;02:23;Movil 7ma;26;;;;6.6;;5.6;-9999.0;;;
2025-10-14;02:23;Bolivia;27;6.4;0.9;;9.2;;5.0;0.59;23.7;17.3;
2025-10-14;02:23;Fontibon;30;9.8;1.1;1.2;15.0;8.0;11.0;0.4;35.2;25.4;2.6
2025-10-14;02:23;Usme;32;0.5;13.6;2.3;9.3;;6.4;0.17;10.2;9.7;
2025-10-14;02:23;Jazmin;34;22.0;2.1;0.8;6.7;;8.9;0.58;49.7;27.7;
2025-10-14;02:23;Ciudad Bolivar;37;18.2;0.9;0.6;14.7;8.1;6.4;0.54;44.6;26.3;4.1
2025-10-14;02:23;Colina;38;7.7;0.4;1.0;14.4;;5.1;0.32;26.0;18.3;
2025-10-14;02:23;Movil Fontibon;39;-9999.0;;;23.0;;14.9;-9999.0;-9999.0;-9999.0;
