Fecha;Hora;name;stationId;Rad Solar;Temperatura 8M;Dir Viento;Lluvia;Presion Baro;Temperatura;Humedad;Vel Viento
2025-11-20;00:24;Usaquen;1;;;111.0;0.0;;12.8;;0.8
2025-11-20;00:24;Carvajal - Sevillana;3;;;268.0;0.0;;14.2;;0.5
2025-11-20;00:24;Tunal;4;1.0;;186.0;0.0;563.0;;76.0;0.6
2025-11-20;00:24;Centro de Alto Rendimiento;5;0.0;;309.0;0.0;565.0;9.0;82.0;0.2
2025-11-20;00:24;Las Ferias;6;;;337.0;0.0;564.0;12.8;69.0;1.0
2025-11-20;00:24;Guaymaral;8;0.0;11.8;197.0;0.0;564.0;11.7;74.0;0.5
2025-11-20;00:24;Kennedy;9;0.0;;301.0;0.0;;;78.6;0.6
2025-11-20;00:24;Suba;11;;;21.0;0.0;;12.0;;1.2
2025-11-20;00:24;Puente Aranda;13;0.0;;225.0;0.0;564.0;14.9;77.0;1.0
2025-11-20;00:24;MinAmbiente;17;;;-9999.0;0.0;;;;-9999.0
2025-11-20;00:24;San Cristobal;24;0.0;;104.0;0.0;;11.3;74.0;2.0
2025-11-20;00:24;Movil 7ma;26;0.0;;269.0;0.0;562.0;13.4;59.0;0.5
2025-11-20;00:24;Bolivia;27;0.0;;52.0;0.0;565.0;13.4;83.0;1.9
2025-11-20;00:24;Fontibon;30;;;33.0;0.0;565.0;13.6;75.0;1.5
2025-11-20;00:24;Usme;32;0.0;;;0.0;562.0;13.6;;
2025-11-20;00:24;Jazmin;34;0.0;;245.0;0.0;564.0;14.5;75.0;0.7
2025-11-20;00:24;Ciudad Bolivar;37;0.0;;;0.0;558.0;12.9;;
2025-11-20;00:24;Colina;38;53.0;;271.0;0.3;562.0;14.8;;0.9
2025-11-20;00:24;Movil Fontibon;39;0.0;;;;565.0;14.6;;
2025-11-20;01:35;Usaquen;1;;;76.0;0.0;;11.9;;0.8
2025-11-20;01:35;Carvajal - Sevillana;3;;;42.0;0.0;;13.6;;1.7
2025-11-20;01:35;Tunal;4;1.0;;278.0;0.0;563.0;;76.0;0.7
2025-11-20;01:35;Centro de Alto Rendimiento;5;0.0;;286.0;0.0;565.0;9.0;83.0;0.2
2025-11-20;01:35;Las Ferias;6;;;353.0;0.0;564.0;12.8;72.0;1.2
2025-11-20;01:35;Guaymaral;8;0.0;11.1;346.0;0.0;564.0;11.0;79.0;0.6
2025-11-20;01:35;Kennedy;9;0.0;;302.0;0.0;;;82.0;1.0
2025-11-20;01:35;Suba;11;;;26.0;0.0;;11.6;;1.3
2025-11-20;01:35;Puente Aranda;13;0.0;;261.0;0.0;564.0;14.1;86.0;1.2
2025-11-20;01:35;MinAmbiente;17;;;-9999.0;0.0;;;;-9999.0
2025-11-20;01:35;San Cristobal;24;0.0;;107.0;0.0;;10.9;76.0;1.8
2025-11-20;01:35;Movil 7ma;26;0.0;;193.0;0.0;562.0;13.1;57.9;0.5
2025-11-20;01:35;Bolivia;27;0.0;;355.0;0.0;565.0;12.8;85.0;1.0
2025-11-20;01:35;Fontibon;30;;;9.0;0.0;565.0;13.2;79.0;1.2
2025-11-20;01:35;Usme;32;0.0;;;0.0;562.0;13.1;;
2025-11-20;01:35;Jazmin;34;0.0;;286.0;0.0;564.0;13.8;81.0;0.7
2025-11-20;01:35;Ciudad Bolivar;37;0.0;;;0.0;557.0;12.6;;
2025-11-20;01:35;Colina;38;53.0;;271.0;0.3;562.0;14.8;;0.9
2025-11-20;01:35;Movil Fontibon;39;0.0;;;;565.0;13.7;;
2025-11-20;02:23;Usaquen;1;;;84.0;0.0;;11.8;;0.8
2025-11-20;02:23;Carvajal - Sevillana;3;;;55.0;0.0;;13.3;;1.4
2025-11-20;02:23;Tunal;4;1.0;;359.0;0.0;563.0;;78.0;0.9
2025-11-20;02:23;Centro de Alto Rendimiento;5;0.0;;56.0;0.0;565.0;9.5;84.0;0.5
2025-11-20;02:23;Las Ferias;6;;;26.0;0.0;563.0;12.6;72.0;1.0
2025-11-20;02:23;Guaymaral;8;0.0;11.2;306.0;0.0;563.0;11.2;80.0;0.4
2025-11-20;02:23;Kennedy;9;0.0;;346.0;0.0;;;80.9;0.5
2025-11-20;02:23;Suba;11;;;23.0;0.0;;11.9;;1.0
2025-11-20;02:23;Puente Aranda;13;0.0;;288.0;0.0;563.0;14.1;85.0;0.9
2025-11-20;02:23;MinAmbiente;17;;;-9999.0;0.0;;;;-9999.0
2025-11-20;02:23;San Cristobal;24;0.0;;94.0;0.0;;11.0;75.0;1.7
2025-11-20;02:23;Movil 7ma;26;0.0;;194.0;0.0;562.0;12.9;59.8;0.6
2025-11-20;02:23;Bolivia;27;0.0;;70.0;0.0;564.0;13.0;85.0;1.4
2025-11-20;02:23;Fontibon;30;;;56.0;0.0;564.0;13.1;80.0;1.5
2025-11-20;02:23;Usme;32;0.0;;;0.0;562.0;12.4;;
2025-11-20;02:23;Jazmin;34;0.0;;304.0;0.0;564.0;13.6;86.0;0.5
2025-11-20;02:23;Ciudad Bolivar;37;0.0;;;0.0;557.0;12.5;;
2025-11-20;02:23;Colina;38;53.0;;271.0;0.3;562.0;14.8;;0.9
2025-11-20;02:23;Movil Fontibon;39;0.0;;;;564.0;13.7;;
2025-11-20;03:33;Usaquen;1;;;112;0;;11.5;;0.9
2025-11-20;03:33;Carvajal - Sevillana;3;;;315;0;;13.1;;0.7
2025-11-20;03:33;Tunal;4;1;;227;0;562;;78;0.5
2025-11-20;03:33;Centro de Alto Rendimiento;5;0;;323;0;564;9.1;84;0.1
2025-11-20;03:33;Las Ferias;6;;;55;0;563;12.1;72;0.6
2025-11-20;03:33;Guaymaral;8;0;10.7;305;0;563;10.7;79;0.6
2025-11-20;03:33;Kennedy;9;0;;190;0;;;81.4;0.6
2025-11-20;03:33;Suba;11;;;33;0;;11.3;;0.8
2025-11-20;03:33;Puente Aranda;13;0;;169;0;563;13.9;84;0.8
2025-11-20;03:33;MinAmbiente;17;;;-9999;0;;;;-9999
2025-11-20;03:33;San Cristobal;24;0;;111;0;;10.4;75;1.6
2025-11-20;03:33;Movil 7ma;26;0;;243;0;561;12.4;59.6;0.4
2025-11-20;03:33;Bolivia;27;0;;77;0;564;12.8;84;1
2025-11-20;03:33;Fontibon;30;;;70;0;563;12.9;79;0.7
2025-11-20;03:33;Usme;32;0;;;0;561;11.9;;
2025-11-20;03:33;Jazmin;34;0;;205;0;563;13.4;86;0.5
2025-11-20;03:33;Ciudad Bolivar;37;0;;;0;556;12;;
2025-11-20;03:33;Colina;38;53;;271;0.3;562;14.8;;0.9
2025-11-20;03:33;Movil Fontibon;39;0;;;;564;13.7;;
