Fecha;Hora;name;stationId;Temperatura 8M;Vel Viento;Temperatura;Dir Viento;Lluvia;Humedad;Rad Solar;Presion Baro
2026-01-10;00:26;Usaquen;1;;1.8;13.5;140.0;0.0;;;
2026-01-10;00:26;Carvajal - Sevillana;3;;1.6;11.9;243.0;0.0;;;
2026-01-10;00:26;Tunal;4;;0.7;;192.0;0.0;69.0;0.0;563.0
2026-01-10;00:26;Centro de Alto Rendimiento;5;;0.8;12.3;303.0;0.0;89.0;0.0;565.0
2026-01-10;00:26;Las Ferias;6;;0.8;13.4;337.0;0.0;71.0;;564.0
2026-01-10;00:26;Guaymaral;8;11.9;0.7;11.9;275.0;0.0;78.0;0.0;564.0
2026-01-10;00:26;Kennedy;9;;1.4;;252.0;0.0;75.5;0.0;
2026-01-10;00:26;Suba;11;;1.2;11.8;12.0;0.0;;;
2026-01-10;00:26;Puente Aranda;13;;1.2;15.1;223.0;0.0;77.0;0.0;564.0
2026-01-10;00:26;MinAmbiente;17;;-9999.0;;-9999.0;0.0;;;
2026-01-10;00:26;San Cristobal;24;;1.2;12.7;99.0;0.0;70.0;0.0;
2026-01-10;00:26;Movil 7ma;26;;0.4;15.3;300.0;0.0;60.2;0.0;562.0
2026-01-10;00:26;Bolivia;27;;1.0;13.2;42.0;0.0;82.0;0.0;565.0
2026-01-10;00:26;Fontibon;30;;0.8;13.5;61.0;0.0;78.0;;564.0
2026-01-10;00:26;Usme;32;;;14.4;;0.0;;0.0;562.0
2026-01-10;00:26;Jazmin;34;;0.7;15.3;205.0;0.0;70.0;0.0;564.0
2026-01-10;00:26;Ciudad Bolivar;37;;;13.4;;0.0;;0.0;558.0
2026-01-10;00:26;Colina;38;;1.8;16.5;169.0;0.0;;93.0;563.0
2026-01-10;00:26;Movil Fontibon;39;;;14.3;;;;1.0;565.0
2026-01-10;01:37;Usaquen;1;;0.5;13.0;211.0;0.0;;;
2026-01-10;01:37;Carvajal - Sevillana;3;;1.6;11.9;243.0;0.0;;;
2026-01-10;01:37;Tunal;4;;0.5;;190.0;0.0;72.0;0.0;563.0
